FeatureCode,DateCode,Measurement,Units,Value,DCLG Temporary Housing Types Concept Scheme
E06000021,2012 Q2,Households-Accommodated-By-LA,,7,Bed and breakfast
E06000021,2012 Q4,Households-Accommodated-By-LA,,5,LA / HA stock
E06000021,2013 Q3,Households-Accommodated-By-LA,,11,All temporary housing types
E06000021,2016 Q4,Households-Accommodated-By-LA,,7,Bed and breakfast
E06000021,2017 Q3,Households-Accommodated-By-LA,,20,All temporary housing types
E06000021,2018 Q1,Households-Accommodated-By-LA,,25,All temporary housing types
E06000021,2016 Q2,Households-Accommodated-By-LA,,18,All temporary housing types
E06000021,2012 Q4,Households-Accommodated-By-LA,,16,All temporary housing types
E06000021,2014 Q4,Households-Accommodated-By-LA,,21,All temporary housing types
E06000021,2017 Q1,Households-Accommodated-By-LA,,11,LA / HA stock
E06000021,2012 Q4,Households-Accommodated-By-LA,,11,Bed and breakfast
E06000021,2013 Q4,Households-Accommodated-By-LA,,19,All temporary housing types
E06000021,2016 Q2,Households-Accommodated-By-LA,,7,Bed and breakfast
E06000021,2013 Q4,Households-Accommodated-By-LA,,6,LA / HA stock
E06000021,2013 Q4,Households-Accommodated-By-LA,,13,Bed and breakfast
E06000021,2013 Q1,Households-Accommodated-By-LA,,24,All temporary housing types
E06000021,2016 Q2,Households-Accommodated-By-LA,,11,LA / HA stock
E06000021,2011 Q2,Households-Accommodated-By-LA,,11,Bed and breakfast
E06000021,2016 Q4,Households-Accommodated-By-LA,,16,All temporary housing types
E06000021,2015 Q3,Households-Accommodated-By-LA,,8,LA / HA stock
E06000021,2015 Q1,Households-Accommodated-By-LA,,5,Bed and breakfast
E06000021,2013 Q2,Households-Accommodated-By-LA,,24,All temporary housing types
E06000021,2014 Q1,Households-Accommodated-By-LA,,11,Bed and breakfast
E06000021,2012 Q1,Households-Accommodated-By-LA,,18,All temporary housing types
E06000021,2015 Q4,Households-Accommodated-By-LA,,11,All temporary housing types
E06000021,2011 Q3,Households-Accommodated-By-LA,,12,All temporary housing types
E06000021,2017 Q2,Households-Accommodated-By-LA,,11,LA / HA stock
E06000021,2017 Q2,Households-Accommodated-By-LA,,15,All temporary housing types
E06000021,2016 Q4,Households-Accommodated-By-LA,,9,LA / HA stock
E06000021,2014 Q1,Households-Accommodated-By-LA,,21,All temporary housing types
E06000021,2016 Q3,Households-Accommodated-By-LA,,10,Bed and breakfast
E06000021,2014 Q2,Households-Accommodated-By-LA,,12,All temporary housing types
E06000021,2015 Q1,Households-Accommodated-By-LA,,13,LA / HA stock
E06000021,2013 Q1,Households-Accommodated-By-LA,,20,Bed and breakfast
E06000021,2011 Q4,Households-Accommodated-By-LA,,13,All temporary housing types
E92000001,2018 Q1,Households-Accommodated-By-LA,,15710,LA / HA stock
E92000001,2012 Q2,Households-Accommodated-By-LA,,4350,Hostels and womens refuge
E92000001,2017 Q3,Households-Accommodated-By-LA,,6420,Bed and breakfast
E92000001,2015 Q3,Households-Accommodated-By-LA,,5910,Bed and breakfast
E92000001,2012 Q4,Households-Accommodated-By-LA,,3820,Bed and breakfast
E92000001,2012 Q2,Households-Accommodated-By-LA,,4230,Bed and breakfast
E92000001,2011 Q3,Households-Accommodated-By-LA,,7090,Other (including private landlord)
E92000001,2011 Q4,Households-Accommodated-By-LA,,3170,Bed and breakfast
E92000001,2011 Q4,Households-Accommodated-By-LA,,26080,Private sector leased
E92000001,2012 Q2,Households-Accommodated-By-LA,,51630,All temporary housing types
E92000001,2015 Q4,Households-Accommodated-By-LA,,69140,All temporary housing types
E92000001,2018 Q1,Households-Accommodated-By-LA,,27490,Other (including private landlord)
E92000001,2014 Q1,Households-Accommodated-By-LA,,9880,LA / HA stock
E92000001,2013 Q4,Households-Accommodated-By-LA,,3920,Bed and breakfast
E92000001,2011 Q3,Households-Accommodated-By-LA,,7890,LA / HA stock
E92000001,2017 Q4,Households-Accommodated-By-LA,,15490,LA / HA stock
E92000001,2013 Q2,Households-Accommodated-By-LA,,55840,All temporary housing types
E92000001,2015 Q2,Households-Accommodated-By-LA,,5630,Bed and breakfast
E92000001,2013 Q4,Households-Accommodated-By-LA,,9560,LA / HA stock
E92000001,2015 Q4,Households-Accommodated-By-LA,,20610,Other (including private landlord)
E92000001,2013 Q1,Households-Accommodated-By-LA,,26260,Private sector leased
E92000001,2018 Q1,Households-Accommodated-By-LA,,79880,All temporary housing types
E92000001,2012 Q4,Households-Accommodated-By-LA,,9630,Other (including private landlord)
E92000001,2012 Q4,Households-Accommodated-By-LA,,26310,Private sector leased
E92000001,2014 Q1,Households-Accommodated-By-LA,,4370,Bed and breakfast
E92000001,2015 Q2,Households-Accommodated-By-LA,,5180,Hostels and womens refuge
E92000001,2011 Q4,Households-Accommodated-By-LA,,7370,Other (including private landlord)
E92000001,2013 Q1,Households-Accommodated-By-LA,,10810,Other (including private landlord)
E92000001,2016 Q2,Households-Accommodated-By-LA,,22540,Other (including private landlord)
E92000001,2013 Q2,Households-Accommodated-By-LA,,4590,Hostels and womens refuge
E92000001,2011 Q3,Households-Accommodated-By-LA,,3370,Bed and breakfast
E92000001,2011 Q4,Households-Accommodated-By-LA,,4310,Hostels and womens refuge
E92000001,2017 Q2,Households-Accommodated-By-LA,,28130,Other (including private landlord)
E92000001,2015 Q2,Households-Accommodated-By-LA,,66980,All temporary housing types
E92000001,2015 Q3,Households-Accommodated-By-LA,,5310,Hostels and womens refuge
E92000001,2016 Q1,Households-Accommodated-By-LA,,5570,Hostels and womens refuge
E92000001,2011 Q3,Households-Accommodated-By-LA,,4380,Hostels and womens refuge
E92000001,2016 Q1,Households-Accommodated-By-LA,,71670,All temporary housing types
E92000001,2013 Q3,Households-Accommodated-By-LA,,12630,Other (including private landlord)
E92000001,2015 Q3,Households-Accommodated-By-LA,,21620,Other (including private landlord)
E92000001,2017 Q4,Households-Accommodated-By-LA,,29080,Other (including private landlord)
E92000001,2013 Q4,Households-Accommodated-By-LA,,4710,Hostels and womens refuge
E92000001,2013 Q4,Households-Accommodated-By-LA,,13280,Other (including private landlord)
E92000001,2017 Q4,Households-Accommodated-By-LA,,5340,Hostels and womens refuge
E92000001,2013 Q2,Households-Accommodated-By-LA,,10060,LA / HA stock
E92000001,2016 Q3,Households-Accommodated-By-LA,,74750,All temporary housing types
E92000001,2013 Q3,Households-Accommodated-By-LA,,4610,Bed and breakfast
E92000001,2011 Q4,Households-Accommodated-By-LA,,48920,All temporary housing types
E92000001,2014 Q4,Households-Accommodated-By-LA,,61930,All temporary housing types
E92000001,2013 Q3,Households-Accommodated-By-LA,,25660,Private sector leased
E92000001,2011 Q2,Households-Accommodated-By-LA,,7050,Other (including private landlord)
E92000001,2017 Q3,Households-Accommodated-By-LA,,15360,LA / HA stock
E92000001,2015 Q3,Households-Accommodated-By-LA,,23520,Private sector leased
E92000001,2017 Q4,Households-Accommodated-By-LA,,5710,Bed and breakfast
E92000001,2013 Q4,Households-Accommodated-By-LA,,56940,All temporary housing types
E92000001,2016 Q4,Households-Accommodated-By-LA,,5990,Bed and breakfast
E92000001,2013 Q4,Households-Accommodated-By-LA,,25460,Private sector leased
E92000001,2018 Q1,Households-Accommodated-By-LA,,5940,Bed and breakfast
E92000001,2013 Q2,Households-Accommodated-By-LA,,12070,Other (including private landlord)
E92000001,2011 Q4,Households-Accommodated-By-LA,,7990,LA / HA stock
E92000001,2016 Q1,Households-Accommodated-By-LA,,22590,Other (including private landlord)
E92000001,2014 Q3,Households-Accommodated-By-LA,,5010,Hostels and womens refuge
E92000001,2014 Q4,Households-Accommodated-By-LA,,5090,Hostels and womens refuge
E92000001,2016 Q3,Households-Accommodated-By-LA,,6680,Bed and breakfast
E92000001,2016 Q4,Households-Accommodated-By-LA,,5700,Hostels and womens refuge
E92000001,2012 Q1,Households-Accommodated-By-LA,,4360,Hostels and womens refuge
E92000001,2014 Q2,Households-Accommodated-By-LA,,59570,All temporary housing types
E92000001,2015 Q1,Households-Accommodated-By-LA,,5040,Hostels and womens refuge
E92000001,2016 Q4,Households-Accommodated-By-LA,,24150,Private sector leased
E92000001,2015 Q1,Households-Accommodated-By-LA,,10920,LA / HA stock
E92000001,2017 Q2,Households-Accommodated-By-LA,,5660,Hostels and womens refuge
E92000001,2016 Q4,Households-Accommodated-By-LA,,75740,All temporary housing types
E92000001,2011 Q2,Households-Accommodated-By-LA,,7570,LA / HA stock
E92000001,2015 Q1,Households-Accommodated-By-LA,,19480,Other (including private landlord)
E92000001,2015 Q1,Households-Accommodated-By-LA,,23990,Private sector leased
E92000001,2014 Q2,Households-Accommodated-By-LA,,4590,Bed and breakfast
E92000001,2012 Q3,Households-Accommodated-By-LA,,4120,Bed and breakfast
E92000001,2015 Q2,Households-Accommodated-By-LA,,20850,Other (including private landlord)
E92000001,2014 Q3,Households-Accommodated-By-LA,,23290,Private sector leased
E92000001,2012 Q3,Households-Accommodated-By-LA,,8930,LA / HA stock
E92000001,2012 Q1,Households-Accommodated-By-LA,,7810,Other (including private landlord)
E92000001,2016 Q4,Households-Accommodated-By-LA,,25860,Other (including private landlord)
E92000001,2012 Q3,Households-Accommodated-By-LA,,26290,Private sector leased
E92000001,2011 Q2,Households-Accommodated-By-LA,,3120,Bed and breakfast
E92000001,2012 Q1,Households-Accommodated-By-LA,,26040,Private sector leased
E92000001,2016 Q2,Households-Accommodated-By-LA,,13540,LA / HA stock
E92000001,2011 Q2,Households-Accommodated-By-LA,,26240,Private sector leased
E92000001,2014 Q4,Households-Accommodated-By-LA,,10530,LA / HA stock
E92000001,2012 Q1,Households-Accommodated-By-LA,,3960,Bed and breakfast
E92000001,2011 Q2,Households-Accommodated-By-LA,,48330,All temporary housing types
E92000001,2016 Q3,Households-Accommodated-By-LA,,24480,Other (including private landlord)
E92000001,2017 Q2,Households-Accommodated-By-LA,,23000,Private sector leased
E92000001,2011 Q2,Households-Accommodated-By-LA,,4370,Hostels and womens refuge
E92000001,2016 Q2,Households-Accommodated-By-LA,,5490,Hostels and womens refuge
E92000001,2015 Q1,Households-Accommodated-By-LA,,5270,Bed and breakfast
E92000001,2012 Q1,Households-Accommodated-By-LA,,8270,LA / HA stock
E92000001,2012 Q1,Households-Accommodated-By-LA,,50430,All temporary housing types
E92000001,2014 Q1,Households-Accommodated-By-LA,,4880,Hostels and womens refuge
E92000001,2014 Q3,Households-Accommodated-By-LA,,10070,LA / HA stock
E92000001,2014 Q1,Households-Accommodated-By-LA,,14010,Other (including private landlord)
E92000001,2016 Q2,Households-Accommodated-By-LA,,6490,Bed and breakfast
E92000001,2014 Q2,Households-Accommodated-By-LA,,4980,Hostels and womens refuge
E92000001,2016 Q2,Households-Accommodated-By-LA,,24990,Private sector leased
E92000001,2014 Q2,Households-Accommodated-By-LA,,15090,Other (including private landlord)
E92000001,2016 Q3,Households-Accommodated-By-LA,,5690,Hostels and womens refuge
E92000001,2013 Q2,Households-Accommodated-By-LA,,4350,Bed and breakfast
E92000001,2013 Q2,Households-Accommodated-By-LA,,24780,Private sector leased
E92000001,2012 Q4,Households-Accommodated-By-LA,,9090,LA / HA stock
E92000001,2017 Q1,Households-Accommodated-By-LA,,14370,LA / HA stock
E92000001,2017 Q4,Households-Accommodated-By-LA,,23320,Private sector leased
E92000001,2014 Q1,Households-Accommodated-By-LA,,25270,Private sector leased
E92000001,2013 Q3,Households-Accommodated-By-LA,,4700,Hostels and womens refuge
E92000001,2014 Q3,Households-Accommodated-By-LA,,17850,Other (including private landlord)
E92000001,2014 Q4,Households-Accommodated-By-LA,,18320,Other (including private landlord)
E92000001,2012 Q4,Households-Accommodated-By-LA,,4280,Hostels and womens refuge
E92000001,2017 Q1,Households-Accommodated-By-LA,,77220,All temporary housing types
E92000001,2012 Q4,Households-Accommodated-By-LA,,53140,All temporary housing types
E92000001,2014 Q4,Households-Accommodated-By-LA,,23460,Private sector leased
E92000001,2018 Q1,Households-Accommodated-By-LA,,5460,Hostels and womens refuge
E92000001,2017 Q3,Households-Accommodated-By-LA,,79200,All temporary housing types
E92000001,2017 Q3,Households-Accommodated-By-LA,,28630,Other (including private landlord)
E92000001,2013 Q3,Households-Accommodated-By-LA,,57410,All temporary housing types
E92000001,2017 Q3,Households-Accommodated-By-LA,,5480,Hostels and womens refuge
E92000001,2016 Q2,Households-Accommodated-By-LA,,73050,All temporary housing types
E92000001,2014 Q4,Households-Accommodated-By-LA,,4540,Bed and breakfast
E92000001,2017 Q4,Households-Accommodated-By-LA,,78930,All temporary housing types
E92000001,2018 Q1,Households-Accommodated-By-LA,,25280,Private sector leased
E92000001,2015 Q2,Households-Accommodated-By-LA,,23820,Private sector leased
E92000001,2016 Q4,Households-Accommodated-By-LA,,14040,LA / HA stock
E92000001,2014 Q2,Households-Accommodated-By-LA,,24800,Private sector leased
E92000001,2017 Q1,Households-Accommodated-By-LA,,5740,Hostels and womens refuge
E92000001,2017 Q1,Households-Accommodated-By-LA,,6580,Bed and breakfast
E92000001,2014 Q1,Households-Accommodated-By-LA,,58410,All temporary housing types
E92000001,2017 Q1,Households-Accommodated-By-LA,,24510,Private sector leased
E92000001,2012 Q3,Households-Accommodated-By-LA,,4390,Hostels and womens refuge
E92000001,2014 Q2,Households-Accommodated-By-LA,,10120,LA / HA stock
E92000001,2015 Q1,Households-Accommodated-By-LA,,64710,All temporary housing types
E92000001,2012 Q2,Households-Accommodated-By-LA,,8600,LA / HA stock
E92000001,2014 Q3,Households-Accommodated-By-LA,,4680,Bed and breakfast
E92000001,2013 Q3,Households-Accommodated-By-LA,,9810,LA / HA stock
E92000001,2012 Q2,Households-Accommodated-By-LA,,25960,Private sector leased
E92000001,2016 Q1,Households-Accommodated-By-LA,,13130,LA / HA stock
E92000001,2017 Q3,Households-Accommodated-By-LA,,23300,Private sector leased
E92000001,2014 Q3,Households-Accommodated-By-LA,,60900,All temporary housing types
E92000001,2012 Q3,Households-Accommodated-By-LA,,9230,Other (including private landlord)
E92000001,2012 Q2,Households-Accommodated-By-LA,,8500,Other (including private landlord)
E92000001,2012 Q3,Households-Accommodated-By-LA,,52960,All temporary housing types
E92000001,2016 Q3,Households-Accommodated-By-LA,,24300,Private sector leased
E92000001,2017 Q1,Households-Accommodated-By-LA,,26020,Other (including private landlord)
E92000001,2016 Q3,Households-Accommodated-By-LA,,13610,LA / HA stock
E92000001,2017 Q2,Households-Accommodated-By-LA,,14890,LA / HA stock
E92000001,2015 Q4,Households-Accommodated-By-LA,,5120,Bed and breakfast
E92000001,2015 Q3,Households-Accommodated-By-LA,,68560,All temporary housing types
E92000001,2013 Q1,Households-Accommodated-By-LA,,55320,All temporary housing types
E92000001,2013 Q1,Households-Accommodated-By-LA,,9270,LA / HA stock
E92000001,2017 Q2,Households-Accommodated-By-LA,,6490,Bed and breakfast
E92000001,2013 Q1,Households-Accommodated-By-LA,,4510,Bed and breakfast
E92000001,2015 Q4,Households-Accommodated-By-LA,,25580,Private sector leased
E92000001,2016 Q1,Households-Accommodated-By-LA,,5960,Bed and breakfast
E92000001,2015 Q3,Households-Accommodated-By-LA,,12210,LA / HA stock
E92000001,2015 Q4,Households-Accommodated-By-LA,,5360,Hostels and womens refuge
E92000001,2011 Q3,Households-Accommodated-By-LA,,49100,All temporary housing types
E92000001,2016 Q1,Households-Accommodated-By-LA,,24420,Private sector leased
E92000001,2011 Q3,Households-Accommodated-By-LA,,26380,Private sector leased
E92000001,2017 Q2,Households-Accommodated-By-LA,,78170,All temporary housing types
E92000001,2015 Q4,Households-Accommodated-By-LA,,12480,LA / HA stock
E92000001,2013 Q1,Households-Accommodated-By-LA,,4480,Hostels and womens refuge
E92000001,2015 Q2,Households-Accommodated-By-LA,,11500,LA / HA stock
E07000198,2013 Q2,Households-Accommodated-By-LA,,5,Other (including private landlord)
E07000198,2015 Q3,Households-Accommodated-By-LA,,6,Hostels and womens refuge
E07000198,2014 Q1,Households-Accommodated-By-LA,,15,All temporary housing types
E07000198,2016 Q4,Households-Accommodated-By-LA,,6,Hostels and womens refuge
E07000198,2013 Q3,Households-Accommodated-By-LA,,12,All temporary housing types
E07000198,2016 Q1,Households-Accommodated-By-LA,,12,All temporary housing types
E07000198,2015 Q4,Households-Accommodated-By-LA,,10,Other (including private landlord)
E07000198,2012 Q2,Households-Accommodated-By-LA,,9,Hostels and womens refuge
E07000198,2015 Q1,Households-Accommodated-By-LA,,9,Other (including private landlord)
E07000198,2013 Q2,Households-Accommodated-By-LA,,11,All temporary housing types
E07000198,2011 Q2,Households-Accommodated-By-LA,,7,Hostels and womens refuge
E07000198,2016 Q4,Households-Accommodated-By-LA,,6,Other (including private landlord)
E07000198,2017 Q2,Households-Accommodated-By-LA,,8,LA / HA stock
E07000198,2011 Q2,Households-Accommodated-By-LA,,19,All temporary housing types
E07000198,2018 Q1,Households-Accommodated-By-LA,,11,All temporary housing types
E07000198,2017 Q2,Households-Accommodated-By-LA,,10,All temporary housing types
E07000198,2011 Q4,Households-Accommodated-By-LA,,9,LA / HA stock
E07000198,2015 Q2,Households-Accommodated-By-LA,,18,All temporary housing types
E07000198,2013 Q4,Households-Accommodated-By-LA,,5,All temporary housing types
E07000198,2017 Q3,Households-Accommodated-By-LA,,9,LA / HA stock
E07000198,2012 Q3,Households-Accommodated-By-LA,,5,Hostels and womens refuge
E07000198,2014 Q3,Households-Accommodated-By-LA,,13,All temporary housing types
E07000198,2016 Q3,Households-Accommodated-By-LA,,16,All temporary housing types
E07000198,2013 Q1,Households-Accommodated-By-LA,,6,Other (including private landlord)
E07000198,2014 Q2,Households-Accommodated-By-LA,,12,All temporary housing types
E07000198,2015 Q1,Households-Accommodated-By-LA,,12,All temporary housing types
E07000198,2011 Q3,Households-Accommodated-By-LA,,16,All temporary housing types
E07000198,2013 Q1,Households-Accommodated-By-LA,,5,Hostels and womens refuge
E07000198,2012 Q2,Households-Accommodated-By-LA,,12,LA / HA stock
E07000198,2013 Q1,Households-Accommodated-By-LA,,7,LA / HA stock
E07000198,2015 Q3,Households-Accommodated-By-LA,,7,Other (including private landlord)
E07000198,2012 Q3,Households-Accommodated-By-LA,,15,All temporary housing types
E07000198,2016 Q3,Households-Accommodated-By-LA,,6,Hostels and womens refuge
E07000198,2016 Q1,Households-Accommodated-By-LA,,7,Other (including private landlord)
E07000198,2012 Q4,Households-Accommodated-By-LA,,8,Hostels and womens refuge
E07000198,2017 Q4,Households-Accommodated-By-LA,,10,All temporary housing types
E07000198,2016 Q2,Households-Accommodated-By-LA,,13,All temporary housing types
E07000198,2014 Q4,Households-Accommodated-By-LA,,5,Other (including private landlord)
E07000198,2011 Q2,Households-Accommodated-By-LA,,10,LA / HA stock
E07000198,2016 Q4,Households-Accommodated-By-LA,,14,All temporary housing types
E07000198,2017 Q4,Households-Accommodated-By-LA,,9,LA / HA stock
E07000198,2015 Q4,Households-Accommodated-By-LA,,14,All temporary housing types
E07000198,2015 Q2,Households-Accommodated-By-LA,,9,Hostels and womens refuge
E07000198,2012 Q4,Households-Accommodated-By-LA,,6,Other (including private landlord)
E07000198,2017 Q1,Households-Accommodated-By-LA,,11,Other (including private landlord)
E07000198,2012 Q1,Households-Accommodated-By-LA,,15,All temporary housing types
E07000198,2012 Q2,Households-Accommodated-By-LA,,23,All temporary housing types
E07000198,2012 Q1,Households-Accommodated-By-LA,,7,LA / HA stock
E07000198,2016 Q3,Households-Accommodated-By-LA,,9,Other (including private landlord)
E07000198,2017 Q3,Households-Accommodated-By-LA,,12,All temporary housing types
E07000198,2012 Q1,Households-Accommodated-By-LA,,7,Hostels and womens refuge
E07000198,2018 Q1,Households-Accommodated-By-LA,,10,LA / HA stock
E07000198,2014 Q2,Households-Accommodated-By-LA,,11,Other (including private landlord)
E07000198,2014 Q1,Households-Accommodated-By-LA,,11,Other (including private landlord)
E07000198,2012 Q4,Households-Accommodated-By-LA,,17,All temporary housing types
E07000198,2014 Q3,Households-Accommodated-By-LA,,10,Other (including private landlord)
E07000198,2012 Q3,Households-Accommodated-By-LA,,6,Other (including private landlord)
E07000198,2015 Q2,Households-Accommodated-By-LA,,6,Other (including private landlord)
E07000198,2017 Q1,Households-Accommodated-By-LA,,12,All temporary housing types
E07000198,2011 Q4,Households-Accommodated-By-LA,,17,All temporary housing types
E07000198,2016 Q2,Households-Accommodated-By-LA,,7,Other (including private landlord)
E07000198,2013 Q1,Households-Accommodated-By-LA,,21,All temporary housing types
E07000198,2014 Q4,Households-Accommodated-By-LA,,9,All temporary housing types
E07000198,2011 Q3,Households-Accommodated-By-LA,,11,LA / HA stock
E07000198,2015 Q3,Households-Accommodated-By-LA,,16,All temporary housing types
E07000198,2013 Q3,Households-Accommodated-By-LA,,6,LA / HA stock
E07000193,2016 Q4,Households-Accommodated-By-LA,,17,All temporary housing types
E07000193,2012 Q2,Households-Accommodated-By-LA,,5,All temporary housing types
E07000193,2016 Q1,Households-Accommodated-By-LA,,5,All temporary housing types
E07000193,2013 Q4,Households-Accommodated-By-LA,,9,All temporary housing types
E07000193,2016 Q3,Households-Accommodated-By-LA,,15,All temporary housing types
E07000193,2016 Q2,Households-Accommodated-By-LA,,19,Bed and breakfast
E07000193,2015 Q3,Households-Accommodated-By-LA,,9,All temporary housing types
E07000193,2014 Q4,Households-Accommodated-By-LA,,13,All temporary housing types
E07000193,2015 Q4,Households-Accommodated-By-LA,,8,All temporary housing types
E07000193,2017 Q2,Households-Accommodated-By-LA,,20,All temporary housing types
E07000193,2014 Q3,Households-Accommodated-By-LA,,7,Bed and breakfast
E07000193,2016 Q4,Households-Accommodated-By-LA,,12,Bed and breakfast
E07000193,2016 Q3,Households-Accommodated-By-LA,,12,Bed and breakfast
E07000193,2011 Q2,Households-Accommodated-By-LA,,5,All temporary housing types
E07000193,2014 Q2,Households-Accommodated-By-LA,,6,Hostels and womens refuge
E07000193,2015 Q1,Households-Accommodated-By-LA,,9,All temporary housing types
E07000193,2013 Q3,Households-Accommodated-By-LA,,9,All temporary housing types
E07000193,2015 Q3,Households-Accommodated-By-LA,,7,Bed and breakfast
E07000193,2017 Q3,Households-Accommodated-By-LA,,15,Bed and breakfast
E07000193,2014 Q1,Households-Accommodated-By-LA,,5,Bed and breakfast
E07000193,2014 Q2,Households-Accommodated-By-LA,,11,Bed and breakfast
E07000193,2013 Q2,Households-Accommodated-By-LA,,9,All temporary housing types
E07000193,2016 Q2,Households-Accommodated-By-LA,,22,All temporary housing types
E07000193,2015 Q2,Households-Accommodated-By-LA,,9,All temporary housing types
E07000193,2012 Q4,Households-Accommodated-By-LA,,8,All temporary housing types
E07000193,2015 Q2,Households-Accommodated-By-LA,,8,Bed and breakfast
E07000193,2014 Q1,Households-Accommodated-By-LA,,9,All temporary housing types
E07000193,2017 Q4,Households-Accommodated-By-LA,,19,Bed and breakfast
E07000193,2017 Q1,Households-Accommodated-By-LA,,23,All temporary housing types
E07000193,2013 Q1,Households-Accommodated-By-LA,,7,All temporary housing types
E07000193,2017 Q4,Households-Accommodated-By-LA,,25,All temporary housing types
E07000193,2017 Q3,Households-Accommodated-By-LA,,20,All temporary housing types
E07000193,2013 Q2,Households-Accommodated-By-LA,,5,Hostels and womens refuge
E07000193,2014 Q3,Households-Accommodated-By-LA,,12,All temporary housing types
E07000193,2018 Q1,Households-Accommodated-By-LA,,16,Bed and breakfast
E07000193,2017 Q1,Households-Accommodated-By-LA,,18,Bed and breakfast
E07000193,2015 Q1,Households-Accommodated-By-LA,,6,Bed and breakfast
E07000193,2017 Q2,Households-Accommodated-By-LA,,13,Bed and breakfast
E07000193,2014 Q4,Households-Accommodated-By-LA,,9,Bed and breakfast
E07000193,2014 Q2,Households-Accommodated-By-LA,,20,All temporary housing types
E07000193,2018 Q1,Households-Accommodated-By-LA,,21,All temporary housing types
E07000197,2016 Q4,Households-Accommodated-By-LA,,5,All temporary housing types
E07000197,2011 Q3,Households-Accommodated-By-LA,,5,All temporary housing types
E07000197,2017 Q3,Households-Accommodated-By-LA,,5,All temporary housing types
E07000197,2018 Q1,Households-Accommodated-By-LA,,5,All temporary housing types
E07000197,2015 Q2,Households-Accommodated-By-LA,,6,All temporary housing types
E07000197,2017 Q4,Households-Accommodated-By-LA,,5,Bed and breakfast
E07000197,2017 Q4,Households-Accommodated-By-LA,,7,All temporary housing types
E07000035,2014 Q1,Households-Accommodated-By-LA,,14,All temporary housing types
E07000035,2016 Q3,Households-Accommodated-By-LA,,10,LA / HA stock
E07000035,2011 Q3,Households-Accommodated-By-LA,,13,All temporary housing types
E07000035,2012 Q4,Households-Accommodated-By-LA,,8,All temporary housing types
E07000035,2012 Q2,Households-Accommodated-By-LA,,11,All temporary housing types
E07000035,2016 Q2,Households-Accommodated-By-LA,,9,All temporary housing types
E07000035,2013 Q4,Households-Accommodated-By-LA,,12,All temporary housing types
E07000035,2017 Q4,Households-Accommodated-By-LA,,8,All temporary housing types
E07000035,2014 Q3,Households-Accommodated-By-LA,,7,All temporary housing types
