,,All HRPs,White: Total,White: Scottish	,White: Other British	,White: Irish	,White: Other (1)	,Mixed or multiple ethnic groups	,Asian Asian Scottish or Asian British	,African,Caribbean or Black,Other ethnic groups
S01006529,One family household: Lone parent,31,30,29,0,1,0,0,0,0,0,1
S01006529,Other household types,60,47,36,3,5,3,0,7,6,0,0
S01006530,All households,356,331,311,15,1,4,0,13,11,0,1
S01006530,One person household,133,127,121,5,0,1,0,2,4,0,0
S01006530,One family household: Total,172,162,154,6,1,1,0,8,2,0,0
S01006530,One family household: All aged 65 and over,18,18,17,1,0,0,0,0,0,0,0
S01006530,One family household: Couple family,109,103,100,1,1,1,0,5,1,0,0
S01006530,One family household: Lone parent,45,41,37,4,0,0,0,3,1,0,0
S01006530,Other household types,51,42,36,4,0,2,0,3,5,0,1
S01006531,All households,429,408,356,20,7,25,1,14,4,1,1
S01006531,One person household,174,168,157,8,0,3,0,4,0,1,1
S01006531,One family household: Total,206,198,171,12,1,14,0,7,1,0,0
S01006531,One family household: All aged 65 and over,27,27,26,0,1,0,0,0,0,0,0
S01006531,One family household: Couple family,128,122,99,9,0,14,0,5,1,0,0
S01006531,One family household: Lone parent,51,49,46,3,0,0,0,2,0,0,0
S01006531,Other household types,49,42,28,0,6,8,1,3,3,0,0
S01006532,All households,337,322,268,37,7,10,1,8,3,3,0
S01006532,One person household,126,124,104,17,1,2,0,0,0,2,0
S01006532,One family household: Total,186,179,149,19,4,7,0,4,2,1,0
S01006532,One family household: All aged 65 and over,37,37,36,1,0,0,0,0,0,0,0
S01006532,One family household: Couple family,131,125,98,16,4,7,0,4,1,1,0
S01006532,One family household: Lone parent,18,17,15,2,0,0,0,0,1,0,0
S01006532,Other household types,25,19,15,1,2,1,1,4,1,0,0
S01006533,All households,305,299,242,37,1,19,0,2,0,2,2
S01006533,One person household,88,87,79,8,0,0,0,0,0,0,1
S01006533,One family household: Total,200,197,150,29,1,17,0,1,0,2,0
S01006533,One family household: All aged 65 and over,31,29,25,3,1,0,0,1,0,1,0
S01006533,One family household: Couple family,158,157,116,24,0,17,0,0,0,1,0
S01006533,One family household: Lone parent,11,11,9,2,0,0,0,0,0,0,0
S01006533,Other household types,17,15,13,0,0,2,0,1,0,0,1
S01006534,All households,398,387,300,60,5,22,0,7,3,0,1
S01006534,One person household,117,117,87,21,3,6,0,0,0,0,0
S01006534,One family household: Total,264,256,201,39,2,14,0,6,1,0,1
S01006534,One family household: All aged 65 and over,35,35,30,5,0,0,0,0,0,0,0
S01006534,One family household: Couple family,214,206,160,30,2,14,0,6,1,0,1
S01006534,One family household: Lone parent,15,15,11,4,0,0,0,0,0,0,0
S01006534,Other household types,17,14,12,0,0,2,0,1,2,0,0
S01006535,All households,564,527,422,64,3,38,4,20,9,2,2
S01006535,One person household,268,263,222,26,1,14,1,2,0,1,1
S01006535,One family household: Total,272,245,189,35,2,19,3,16,7,0,1
S01006535,One family household: All aged 65 and over,23,23,21,2,0,0,0,0,0,0,0
S01006535,One family household: Couple family,220,195,145,32,2,16,3,14,7,0,1
S01006535,One family household: Lone parent,29,27,23,1,0,3,0,2,0,0,0
S01006535,Other household types,24,19,11,3,0,5,0,2,2,1,0
S01006536,All households,589,557,439,56,4,58,4,16,8,4,0
S01006536,One person household,312,302,252,26,2,22,1,2,3,4,0
S01006536,One family household: Total,230,213,156,27,2,28,1,11,5,0,0
S01006536,One family household: All aged 65 and over,11,11,10,1,0,0,0,0,0,0,0
S01006536,One family household: Couple family,205,188,133,25,2,28,1,11,5,0,0
S01006536,One family household: Lone parent,14,14,13,1,0,0,0,0,0,0,0
S01006536,Other household types,47,42,31,3,0,8,2,3,0,0,0
S01006537,All households,341,332,288,33,4,7,1,5,2,0,1
S01006537,One person household,100,99,92,7,0,0,0,1,0,0,0
S01006537,One family household: Total,234,226,189,26,4,7,1,4,2,0,1
S01006537,One family household: All aged 65 and over,63,62,58,2,1,1,0,1,0,0,0
S01006537,One family household: Couple family,156,150,118,24,3,5,1,2,2,0,1
S01006537,One family household: Lone parent,15,14,13,0,0,1,0,1,0,0,0
S01006537,Other household types,7,7,7,0,0,0,0,0,0,0,0
S01006538,All households,240,235,203,21,2,9,0,3,2,0,0
S01006538,One person household,52,52,46,4,0,2,0,0,0,0,0
S01006538,One family household: Total,181,177,152,16,2,7,0,2,2,0,0
S01006538,One family household: All aged 65 and over,37,37,32,5,0,0,0,0,0,0,0
S01006538,One family household: Couple family,130,126,108,9,2,7,0,2,2,0,0
S01006538,One family household: Lone parent,14,14,12,2,0,0,0,0,0,0,0
S01006538,Other household types,7,6,5,1,0,0,0,1,0,0,0
S01006539,All households,330,324,274,35,3,12,0,3,2,0,1
S01006539,One person household,105,104,93,8,0,3,0,1,0,0,0
S01006539,One family household: Total,212,208,172,26,2,8,0,2,1,0,1
S01006539,One family household: All aged 65 and over,36,36,31,5,0,0,0,0,0,0,0
S01006539,One family household: Couple family,159,156,131,18,2,5,0,1,1,0,1
S01006539,One family household: Lone parent,17,16,10,3,0,3,0,1,0,0,0
S01006539,Other household types,13,12,9,1,1,1,0,0,1,0,0
S01006540,All households,451,426,357,47,8,14,2,15,7,1,0
S01006540,One person household,149,144,126,12,3,3,2,1,2,0,0
S01006540,One family household: Total,281,263,223,32,4,4,0,13,4,1,0
S01006540,One family household: All aged 65 and over,49,49,48,1,0,0,0,0,0,0,0
S01006540,One family household: Couple family,218,201,164,29,4,4,0,12,4,1,0
S01006540,One family household: Lone parent,14,13,11,2,0,0,0,1,0,0,0
S01006540,Other household types,21,19,8,3,1,7,0,1,1,0,0
S01006541,All households,392,387,341,32,2,12,1,3,0,1,0
S01006541,One person household,157,156,145,10,0,1,0,0,0,1,0
S01006541,One family household: Total,225,221,188,22,1,10,1,3,0,0,0
S01006541,One family household: All aged 65 and over,47,47,42,3,1,1,0,0,0,0,0
S01006541,One family household: Couple family,168,164,136,19,0,9,1,3,0,0,0
S01006541,One family household: Lone parent,10,10,10,0,0,0,0,0,0,0,0
S01006541,Other household types,10,10,8,0,1,1,0,0,0,0,0
S01006542,All households,496,473,385,58,6,24,1,11,8,0,3
S01006542,One person household,172,169,139,21,3,6,0,3,0,0,0
S01006542,One family household: Total,312,294,237,36,3,18,1,8,6,0,3
S01006542,One family household: All aged 65 and over,82,82,79,3,0,0,0,0,0,0,0
S01006542,One family household: Couple family,207,190,137,33,3,17,1,8,5,0,3
S01006542,One family household: Lone parent,23,22,21,0,0,1,0,0,1,0,0
S01006542,Other household types,12,10,9,1,0,0,0,0,2,0,0
S01006543,All households,363,356,322,27,3,4,0,6,1,0,0
S01006543,One person household,106,105,93,11,0,1,0,0,1,0,0
S01006543,One family household: Total,249,245,223,16,3,3,0,4,0,0,0
S01006543,One family household: All aged 65 and over,65,65,61,1,3,0,0,0,0,0,0
S01006543,One family household: Couple family,170,166,150,13,0,3,0,4,0,0,0
S01006543,One family household: Lone parent,14,14,12,2,0,0,0,0,0,0,0
S01006543,Other household types,8,6,6,0,0,0,0,2,0,0,0
S01006544,All households,507,454,336,71,6,41,1,32,7,1,12
S01006544,One person household,192,175,126,26,2,21,0,7,2,0,8
S01006544,One family household: Total,279,251,193,39,2,17,1,18,4,1,4
S01006544,One family household: All aged 65 and over,33,33,31,2,0,0,0,0,0,0,0
S01006544,One family household: Couple family,221,196,144,34,2,16,1,15,4,1,4
S01006544,One family household: Lone parent,25,22,18,3,0,1,0,3,0,0,0
S01006544,Other household types,36,28,17,6,2,3,0,7,1,0,0
S01006545,All households,586,549,468,54,5,22,1,23,8,3,2
S01006545,One person household,288,279,238,32,2,7,0,4,2,3,0
S01006545,One family household: Total,273,248,214,18,3,13,1,17,6,0,1
S01006545,One family household: All aged 65 and over,57,57,53,4,0,0,0,0,0,0,0
S01006545,One family household: Couple family,195,171,142,13,3,13,1,16,6,0,1
S01006545,One family household: Lone parent,21,20,19,1,0,0,0,1,0,0,0
S01006545,Other household types,25,22,16,4,0,2,0,2,0,0,1
S01006546,All households,262,258,228,23,2,5,0,1,2,1,0
S01006546,One person household,70,70,64,5,0,1,0,0,0,0,0
S01006546,One family household: Total,181,177,156,16,2,3,0,1,2,1,0
S01006546,One family household: All aged 65 and over,36,36,35,1,0,0,0,0,0,0,0
S01006546,One family household: Couple family,139,135,116,15,1,3,0,1,2,1,0
S01006546,One family household: Lone parent,6,6,5,0,1,0,0,0,0,0,0
S01006546,Other household types,11,11,8,2,0,1,0,0,0,0,0
S01006547,All households,442,425,377,29,4,15,2,11,2,1,1
S01006547,One person household,177,174,162,8,0,4,0,3,0,0,0
S01006547,One family household: Total,246,234,204,19,4,7,2,6,2,1,1
S01006547,One family household: All aged 65 and over,52,51,48,2,1,0,0,1,0,0,0
S01006547,One family household: Couple family,162,151,126,15,3,7,2,5,2,1,1
S01006547,One family household: Lone parent,32,32,30,2,0,0,0,0,0,0,0
S01006547,Other household types,19,17,11,2,0,4,0,2,0,0,0
S01006548,All households,312,307,273,24,2,8,0,3,1,1,0
S01006548,One person household,71,70,65,3,0,2,0,0,0,1,0
S01006548,One family household: Total,236,232,203,21,2,6,0,3,1,0,0
S01006548,One family household: All aged 65 and over,71,70,64,6,0,0,0,1,0,0,0
S01006548,One family household: Couple family,153,150,128,14,2,6,0,2,1,0,0
S01006548,One family household: Lone parent,12,12,11,1,0,0,0,0,0,0,0
S01006548,Other household types,5,5,5,0,0,0,0,0,0,0,0
S01006549,All households,366,352,296,37,2,17,4,7,2,1,0
S01006549,One person household,108,101,93,7,0,1,2,4,1,0,0
S01006549,One family household: Total,245,238,191,30,2,15,2,3,1,1,0
S01006549,One family household: All aged 65 and over,59,58,54,3,0,1,0,1,0,0,0
S01006549,One family household: Couple family,176,171,130,25,2,14,1,2,1,1,0
S01006549,One family household: Lone parent,10,9,7,2,0,0,1,0,0,0,0
S01006549,Other household types,13,13,12,0,0,1,0,0,0,0,0
S01006550,All households,389,379,324,37,5,13,1,6,2,1,0
S01006550,One person household,79,78,70,4,2,2,1,0,0,0,0
S01006550,One family household: Total,301,294,249,31,3,11,0,5,2,0,0
S01006550,One family household: All aged 65 and over,74,74,69,5,0,0,0,0,0,0,0
S01006550,One family household: Couple family,211,204,164,26,3,11,0,5,2,0,0
S01006550,One family household: Lone parent,16,16,16,0,0,0,0,0,0,0,0
S01006550,Other household types,9,7,5,2,0,0,0,1,0,1,0
S01006551,All households,392,381,340,22,3,16,1,7,2,1,0
S01006551,One person household,220,220,203,12,0,5,0,0,0,0,0
S01006551,One family household: Total,162,153,136,9,3,5,1,7,1,0,0
S01006551,One family household: All aged 65 and over,36,35,34,0,1,0,0,1,0,0,0
S01006551,One family household: Couple family,93,85,74,5,2,4,1,6,1,0,0
S01006551,One family household: Lone parent,33,33,28,4,0,1,0,0,0,0,0
S01006551,Other household types,10,8,1,1,0,6,0,0,1,1,0
S01006552,All households,417,398,346,33,1,18,0,11,5,0,3
S01006552,One person household,136,133,121,8,0,4,0,2,0,0,1
S01006552,One family household: Total,265,249,214,22,1,12,0,9,5,0,2
S01006552,One family household: All aged 65 and over,38,38,34,4,0,0,0,0,0,0,0
S01006552,One family household: Couple family,184,170,142,16,1,11,0,8,5,0,1
S01006552,One family household: Lone parent,43,41,38,2,0,1,0,1,0,0,1
S01006552,Other household types,16,16,11,3,0,2,0,0,0,0,0
S01006553,All households,407,387,358,21,4,4,5,11,1,2,1
S01006553,One person household,161,160,149,8,1,2,1,0,0,0,0
S01006553,One family household: Total,231,213,197,11,3,2,4,10,1,2,1
S01006553,One family household: All aged 65 and over,63,63,59,3,0,1,0,0,0,0,0
S01006553,One family household: Couple family,147,133,121,8,3,1,3,10,1,0,0
S01006553,One family household: Lone parent,21,17,17,0,0,0,1,0,0,2,1
S01006553,Other household types,15,14,12,2,0,0,0,1,0,0,0
S01006554,All households,330,306,268,31,0,7,0,13,9,2,0
S01006554,One person household,107,101,92,8,0,1,0,3,1,2,0
S01006554,One family household: Total,206,189,163,21,0,5,0,10,7,0,0
S01006554,One family household: All aged 65 and over,39,39,37,2,0,0,0,0,0,0,0
S01006554,One family household: Couple family,139,123,104,15,0,4,0,9,7,0,0
S01006554,One family household: Lone parent,28,27,22,4,0,1,0,1,0,0,0
S01006554,Other household types,17,16,13,2,0,1,0,0,1,0,0
S01006555,All households,374,338,298,18,4,18,0,24,8,4,0
S01006555,One person household,152,146,132,7,2,5,0,0,3,3,0
S01006555,One family household: Total,196,173,154,8,2,9,0,17,5,1,0
S01006555,One family household: All aged 65 and over,11,11,10,1,0,0,0,0,0,0,0
S01006555,One family household: Couple family,130,108,93,6,2,7,0,16,5,1,0
S01006555,One family household: Lone parent,55,54,51,1,0,2,0,1,0,0,0
S01006555,Other household types,26,19,12,3,0,4,0,7,0,0,0
S01006556,All households,399,379,357,12,1,9,1,14,4,1,0
S01006556,One person household,146,143,137,6,0,0,0,2,1,0,0
S01006556,One family household: Total,237,221,207,4,1,9,1,12,2,1,0
S01006556,One family household: All aged 65 and over,41,41,40,0,1,0,0,0,0,0,0
S01006556,One family household: Couple family,145,131,118,4,0,9,0,11,2,1,0
S01006556,One family household: Lone parent,51,49,49,0,0,0,1,1,0,0,0
S01006556,Other household types,16,15,13,2,0,0,0,0,1,0,0
S01006557,All households,338,326,289,24,1,12,0,6,3,3,0
S01006557,One person household,133,130,120,9,0,1,0,0,1,2,0
S01006557,One family household: Total,193,184,163,10,1,10,0,6,2,1,0
S01006557,One family household: All aged 65 and over,18,18,15,3,0,0,0,0,0,0,0
S01006557,One family household: Couple family,125,117,104,5,1,7,0,6,1,1,0
S01006557,One family household: Lone parent,50,49,44,2,0,3,0,0,1,0,0
S01006557,Other household types,12,12,6,5,0,1,0,0,0,0,0
S01006558,All households,354,343,270,40,12,21,1,8,1,0,1
S01006558,One person household,180,175,149,18,6,2,1,4,0,0,0
S01006558,One family household: Total,150,145,105,20,4,16,0,3,1,0,1
S01006558,One family household: All aged 65 and over,14,14,12,2,0,0,0,0,0,0,0
S01006558,One family household: Couple family,125,120,83,17,4,16,0,3,1,0,1
S01006558,One family household: Lone parent,11,11,10,1,0,0,0,0,0,0,0
S01006558,Other household types,24,23,16,2,2,3,0,1,0,0,0
S01006559,All households,272,258,193,32,4,29,0,12,1,0,1
S01006559,One person household,90,88,75,8,2,3,0,2,0,0,0
S01006559,One family household: Total,160,152,113,22,1,16,0,6,1,0,1
S01006559,One family household: All aged 65 and over,13,12,11,1,0,0,0,1,0,0,0
S01006559,One family household: Couple family,133,126,90,20,1,15,0,5,1,0,1
S01006559,One family household: Lone parent,14,14,12,1,0,1,0,0,0,0,0
S01006559,Other household types,22,18,5,2,1,10,0,4,0,0,0
S01006560,All households,432,410,339,49,4,18,3,9,5,1,4
S01006560,One person household,151,150,134,13,0,3,0,0,1,0,0
S01006560,One family household: Total,252,236,190,34,3,9,3,4,4,1,4
S01006560,One family household: All aged 65 and over,35,35,34,1,0,0,0,0,0,0,0
S01006560,One family household: Couple family,195,180,139,29,3,9,3,4,4,1,3
S01006560,One family household: Lone parent,22,21,17,4,0,0,0,0,0,0,1
S01006560,Other household types,29,24,15,2,1,6,0,5,0,0,0
S01006561,All households,323,309,263,34,1,11,0,9,2,1,2
S01006561,One person household,94,92,77,11,0,4,0,0,2,0,0
S01006561,One family household: Total,218,209,182,22,1,4,0,6,0,1,2
S01006561,One family household: All aged 65 and over,28,28,27,1,0,0,0,0,0,0,0
S01006561,One family household: Couple family,168,159,135,19,1,4,0,6,0,1,2
S01006561,One family household: Lone parent,22,22,20,2,0,0,0,0,0,0,0
S01006561,Other household types,11,8,4,1,0,3,0,3,0,0,0
S01006562,All households,334,316,278,27,2,9,2,10,4,1,1
