FeatureCode,DateCode,Measurement,Units,Value,DCLG Homelessness Decsion Type Concept Scheme
E92000001,2013 Q2,Homelessness-Decisions,,28230,All
E92000001,2011 Q3,Homelessness-Decisions,,8060,Rejected not homeless
E92000001,2017 Q3,Homelessness-Decisions,,29350,All
E92000001,2016 Q4,Homelessness-Decisions,,2430,Rejected intentionally homeless
E92000001,2015 Q4,Homelessness-Decisions,,7280,Rejected not homeless
E92000001,2012 Q4,Homelessness-Decisions,,29070,All
E92000001,2015 Q1,Homelessness-Decisions,,6730,Rejected not homeless
E92000001,2016 Q1,Homelessness-Decisions,,14760,Accepted Total
E92000001,2012 Q2,Homelessness-Decisions,,1850,Rejected intentionally homeless
E92000001,2017 Q4,Homelessness-Decisions,,26880,All
E92000001,2011 Q3,Homelessness-Decisions,,12510,Accepted Total
E92000001,2013 Q4,Homelessness-Decisions,,5210,Rejected not in priority need
E92000001,2016 Q1,Homelessness-Decisions,,2410,Rejected intentionally homeless
E92000001,2016 Q1,Homelessness-Decisions,,29090,All
E92000001,2012 Q4,Homelessness-Decisions,,13570,Accepted Total
E92000001,2016 Q3,Homelessness-Decisions,,2530,Rejected intentionally homeless
E92000001,2017 Q2,Homelessness-Decisions,,2320,Rejected intentionally homeless
E92000001,2016 Q1,Homelessness-Decisions,,5160,Rejected not in priority need
E92000001,2014 Q2,Homelessness-Decisions,,2060,Rejected intentionally homeless
E92000001,2014 Q3,Homelessness-Decisions,,28510,All
E92000001,2012 Q3,Homelessness-Decisions,,2210,Rejected intentionally homeless
E92000001,2017 Q1,Homelessness-Decisions,,2370,Rejected intentionally homeless
E92000001,2014 Q2,Homelessness-Decisions,,13190,Accepted Total
E92000001,2013 Q2,Homelessness-Decisions,,7460,Rejected not homeless
E92000001,2015 Q3,Homelessness-Decisions,,2460,Rejected intentionally homeless
E92000001,2014 Q2,Homelessness-Decisions,,27550,All
E92000001,2013 Q3,Homelessness-Decisions,,28100,All
E92000001,2012 Q3,Homelessness-Decisions,,29140,All
E92000001,2017 Q2,Homelessness-Decisions,,6230,Rejected not homeless
E92000001,2015 Q4,Homelessness-Decisions,,29280,All
E92000001,2014 Q1,Homelessness-Decisions,,5360,Rejected not in priority need
E92000001,2014 Q4,Homelessness-Decisions,,13680,Accepted Total
E92000001,2011 Q2,Homelessness-Decisions,,1880,Rejected intentionally homeless
E92000001,2018 Q1,Homelessness-Decisions,,6070,Rejected not homeless
E92000001,2018 Q1,Homelessness-Decisions,,4390,Rejected not in priority need
E92000001,2017 Q1,Homelessness-Decisions,,6550,Rejected not homeless
E92000001,2015 Q2,Homelessness-Decisions,,13840,Accepted Total
E92000001,2012 Q2,Homelessness-Decisions,,4680,Rejected not in priority need
E92000001,2011 Q2,Homelessness-Decisions,,7320,Rejected not homeless
E92000001,2013 Q3,Homelessness-Decisions,,7240,Rejected not homeless
E92000001,2015 Q3,Homelessness-Decisions,,4840,Rejected not in priority need
E92000001,2016 Q2,Homelessness-Decisions,,15150,Accepted Total
E92000001,2016 Q3,Homelessness-Decisions,,14930,Accepted Total
E92000001,2013 Q3,Homelessness-Decisions,,13420,Accepted Total
E92000001,2015 Q1,Homelessness-Decisions,,27640,All
E92000001,2015 Q1,Homelessness-Decisions,,13520,Accepted Total
E92000001,2012 Q2,Homelessness-Decisions,,26780,All
E92000001,2013 Q3,Homelessness-Decisions,,5310,Rejected not in priority need
E92000001,2011 Q3,Homelessness-Decisions,,4820,Rejected not in priority need
E92000001,2013 Q3,Homelessness-Decisions,,2120,Rejected intentionally homeless
E92000001,2014 Q3,Homelessness-Decisions,,7140,Rejected not homeless
E92000001,2016 Q4,Homelessness-Decisions,,4570,Rejected not in priority need
E92000001,2011 Q2,Homelessness-Decisions,,11820,Accepted Total
E92000001,2017 Q2,Homelessness-Decisions,,14360,Accepted Total
E92000001,2016 Q4,Homelessness-Decisions,,14420,Accepted Total
E92000001,2011 Q3,Homelessness-Decisions,,27390,All
E92000001,2015 Q4,Homelessness-Decisions,,2550,Rejected intentionally homeless
E92000001,2011 Q2,Homelessness-Decisions,,25980,All
E92000001,2016 Q2,Homelessness-Decisions,,5090,Rejected not in priority need
E92000001,2014 Q3,Homelessness-Decisions,,2220,Rejected intentionally homeless
E92000001,2014 Q4,Homelessness-Decisions,,5210,Rejected not in priority need
E92000001,2013 Q1,Homelessness-Decisions,,5120,Rejected not in priority need
E92000001,2014 Q1,Homelessness-Decisions,,12500,Accepted Total
E92000001,2017 Q2,Homelessness-Decisions,,27480,All
E92000001,2017 Q1,Homelessness-Decisions,,14610,Accepted Total
E92000001,2013 Q1,Homelessness-Decisions,,2150,Rejected intentionally homeless
E92000001,2013 Q1,Homelessness-Decisions,,28520,All
E92000001,2012 Q3,Homelessness-Decisions,,13890,Accepted Total
E92000001,2014 Q3,Homelessness-Decisions,,14040,Accepted Total
E92000001,2016 Q2,Homelessness-Decisions,,7000,Rejected not homeless
E92000001,2014 Q1,Homelessness-Decisions,,2040,Rejected intentionally homeless
E92000001,2013 Q1,Homelessness-Decisions,,7830,Rejected not homeless
E92000001,2014 Q4,Homelessness-Decisions,,28640,All
E92000001,2013 Q1,Homelessness-Decisions,,13420,Accepted Total
E92000001,2017 Q1,Homelessness-Decisions,,28490,All
E92000001,2014 Q4,Homelessness-Decisions,,7300,Rejected not homeless
E92000001,2018 Q1,Homelessness-Decisions,,13300,Accepted Total
E92000001,2017 Q3,Homelessness-Decisions,,15280,Accepted Total
E92000001,2013 Q4,Homelessness-Decisions,,28070,All
E92000001,2016 Q2,Homelessness-Decisions,,29760,All
E92000001,2014 Q4,Homelessness-Decisions,,2450,Rejected intentionally homeless
E92000001,2017 Q4,Homelessness-Decisions,,2160,Rejected intentionally homeless
E92000001,2016 Q3,Homelessness-Decisions,,7040,Rejected not homeless
E92000001,2013 Q4,Homelessness-Decisions,,2220,Rejected intentionally homeless
E92000001,2016 Q3,Homelessness-Decisions,,29390,All
E92000001,2015 Q2,Homelessness-Decisions,,4600,Rejected not in priority need
E92000001,2012 Q2,Homelessness-Decisions,,12890,Accepted Total
E92000001,2015 Q3,Homelessness-Decisions,,7000,Rejected not homeless
E92000001,2012 Q1,Homelessness-Decisions,,7640,Rejected not homeless
E92000001,2017 Q4,Homelessness-Decisions,,4550,Rejected not in priority need
E92000001,2017 Q4,Homelessness-Decisions,,13640,Accepted Total
E92000001,2015 Q3,Homelessness-Decisions,,14660,Accepted Total
E92000001,2017 Q3,Homelessness-Decisions,,6840,Rejected not homeless
E92000001,2011 Q2,Homelessness-Decisions,,4960,Rejected not in priority need
E92000001,2012 Q4,Homelessness-Decisions,,5030,Rejected not in priority need
E92000001,2014 Q2,Homelessness-Decisions,,7330,Rejected not homeless
E92000001,2013 Q2,Homelessness-Decisions,,13470,Accepted Total
E92000001,2014 Q3,Homelessness-Decisions,,5120,Rejected not in priority need
E92000001,2017 Q1,Homelessness-Decisions,,4950,Rejected not in priority need
E92000001,2012 Q3,Homelessness-Decisions,,8140,Rejected not homeless
E92000001,2012 Q4,Homelessness-Decisions,,8250,Rejected not homeless
E92000001,2015 Q4,Homelessness-Decisions,,4980,Rejected not in priority need
E92000001,2012 Q3,Homelessness-Decisions,,4910,Rejected not in priority need
E92000001,2012 Q1,Homelessness-Decisions,,27880,All
E92000001,2017 Q3,Homelessness-Decisions,,2320,Rejected intentionally homeless
E92000001,2013 Q2,Homelessness-Decisions,,2150,Rejected intentionally homeless
E92000001,2012 Q1,Homelessness-Decisions,,5200,Rejected not in priority need
E92000001,2015 Q4,Homelessness-Decisions,,14480,Accepted Total
E92000001,2016 Q4,Homelessness-Decisions,,6550,Rejected not homeless
E07000198,2014 Q2,Homelessness-Decisions,,24,All
E07000198,2017 Q1,Homelessness-Decisions,,20,All
E07000198,2011 Q4,Homelessness-Decisions,,14,Rejected not homeless
E07000198,2012 Q1,Homelessness-Decisions,,35,All
E07000198,2012 Q1,Homelessness-Decisions,,21,Accepted Total
E07000198,2014 Q2,Homelessness-Decisions,,20,Accepted Total
E07000198,2012 Q2,Homelessness-Decisions,,25,All
E07000198,2017 Q2,Homelessness-Decisions,,22,All
E07000198,2016 Q3,Homelessness-Decisions,,19,Accepted Total
E07000198,2014 Q1,Homelessness-Decisions,,23,Accepted Total
E07000198,2014 Q4,Homelessness-Decisions,,14,Accepted Total
E07000198,2013 Q4,Homelessness-Decisions,,21,All
E07000198,2014 Q3,Homelessness-Decisions,,22,Accepted Total
E07000198,2012 Q3,Homelessness-Decisions,,13,Rejected not homeless
E07000198,2013 Q2,Homelessness-Decisions,,7,Rejected not homeless
E07000198,2018 Q1,Homelessness-Decisions,,15,Accepted Total
E07000198,2015 Q4,Homelessness-Decisions,,15,Accepted Total
E07000198,2015 Q4,Homelessness-Decisions,,18,All
E07000198,2016 Q4,Homelessness-Decisions,,7,Accepted Total
E07000198,2014 Q1,Homelessness-Decisions,,7,Rejected not homeless
E07000198,2015 Q1,Homelessness-Decisions,,17,Accepted Total
E07000198,2011 Q3,Homelessness-Decisions,,17,Rejected not homeless
E07000198,2011 Q4,Homelessness-Decisions,,50,All
E07000198,2017 Q2,Homelessness-Decisions,,21,Accepted Total
E07000198,2013 Q2,Homelessness-Decisions,,26,All
E07000198,2017 Q3,Homelessness-Decisions,,15,Accepted Total
E07000198,2015 Q3,Homelessness-Decisions,,19,All
E07000198,2013 Q3,Homelessness-Decisions,,18,Accepted Total
E07000198,2011 Q2,Homelessness-Decisions,,21,Accepted Total
E07000198,2016 Q2,Homelessness-Decisions,,17,All
E07000198,2013 Q3,Homelessness-Decisions,,7,Rejected not homeless
E07000198,2015 Q1,Homelessness-Decisions,,25,All
E07000198,2013 Q1,Homelessness-Decisions,,19,Accepted Total
E07000198,2015 Q2,Homelessness-Decisions,,35,All
E07000198,2015 Q2,Homelessness-Decisions,,27,Accepted Total
E07000198,2013 Q1,Homelessness-Decisions,,26,All
E07000198,2017 Q4,Homelessness-Decisions,,10,Rejected not in priority need
E07000198,2017 Q3,Homelessness-Decisions,,21,All
E07000198,2014 Q4,Homelessness-Decisions,,16,All
E07000198,2016 Q3,Homelessness-Decisions,,6,Rejected not homeless
E07000198,2013 Q3,Homelessness-Decisions,,26,All
E07000198,2017 Q1,Homelessness-Decisions,,17,Accepted Total
E07000198,2011 Q2,Homelessness-Decisions,,8,Rejected not homeless
E07000198,2018 Q1,Homelessness-Decisions,,10,Rejected not homeless
E07000198,2012 Q1,Homelessness-Decisions,,9,Rejected not homeless
E07000198,2012 Q2,Homelessness-Decisions,,18,Accepted Total
E07000198,2011 Q4,Homelessness-Decisions,,23,Accepted Total
E07000198,2013 Q2,Homelessness-Decisions,,17,Accepted Total
E07000198,2017 Q4,Homelessness-Decisions,,27,All
E07000198,2016 Q2,Homelessness-Decisions,,13,Accepted Total
E07000198,2011 Q2,Homelessness-Decisions,,33,All
E07000198,2013 Q4,Homelessness-Decisions,,9,Accepted Total
E07000198,2016 Q4,Homelessness-Decisions,,11,All
E07000198,2012 Q3,Homelessness-Decisions,,41,All
E07000198,2016 Q3,Homelessness-Decisions,,28,All
E07000198,2014 Q1,Homelessness-Decisions,,31,All
E07000198,2015 Q1,Homelessness-Decisions,,5,Rejected not homeless
E07000198,2012 Q3,Homelessness-Decisions,,19,Accepted Total
E07000198,2014 Q3,Homelessness-Decisions,,27,All
E07000198,2013 Q1,Homelessness-Decisions,,6,Rejected not homeless
E07000198,2018 Q1,Homelessness-Decisions,,34,All
E07000198,2017 Q4,Homelessness-Decisions,,10,Accepted Total
E07000198,2012 Q4,Homelessness-Decisions,,18,Accepted Total
E07000198,2012 Q4,Homelessness-Decisions,,33,All
E07000198,2016 Q1,Homelessness-Decisions,,17,All
E07000198,2011 Q3,Homelessness-Decisions,,25,Accepted Total
E07000198,2011 Q3,Homelessness-Decisions,,55,All
E07000198,2016 Q1,Homelessness-Decisions,,16,Accepted Total
E07000198,2015 Q3,Homelessness-Decisions,,13,Accepted Total
E07000198,2013 Q4,Homelessness-Decisions,,10,Rejected not homeless
E07000198,2012 Q4,Homelessness-Decisions,,8,Rejected not in priority need
E07000193,2013 Q4,Homelessness-Decisions,,9,Rejected not in priority need
E07000193,2011 Q2,Homelessness-Decisions,,6,Rejected not in priority need
E07000193,2017 Q3,Homelessness-Decisions,,10,Rejected not homeless
E07000193,2014 Q3,Homelessness-Decisions,,49,All
E07000193,2012 Q2,Homelessness-Decisions,,11,Rejected not homeless
E07000193,2012 Q4,Homelessness-Decisions,,14,Rejected not in priority need
E07000193,2011 Q2,Homelessness-Decisions,,6,Rejected intentionally homeless
E07000193,2013 Q3,Homelessness-Decisions,,9,Rejected not in priority need
E07000193,2012 Q3,Homelessness-Decisions,,5,Rejected not in priority need
E07000193,2012 Q3,Homelessness-Decisions,,26,Rejected not homeless
E07000193,2016 Q2,Homelessness-Decisions,,52,All
E07000193,2011 Q2,Homelessness-Decisions,,10,Accepted Total
E07000193,2016 Q4,Homelessness-Decisions,,51,All
E07000193,2012 Q4,Homelessness-Decisions,,13,Rejected not homeless
E07000193,2014 Q1,Homelessness-Decisions,,22,Rejected not in priority need
E07000193,2014 Q3,Homelessness-Decisions,,30,Accepted Total
E07000193,2011 Q4,Homelessness-Decisions,,8,Rejected not homeless
E07000193,2013 Q4,Homelessness-Decisions,,5,Rejected intentionally homeless
E07000193,2014 Q1,Homelessness-Decisions,,65,All
E07000193,2012 Q2,Homelessness-Decisions,,25,All
E07000193,2017 Q1,Homelessness-Decisions,,61,All
E07000193,2015 Q2,Homelessness-Decisions,,27,Accepted Total
E07000193,2017 Q2,Homelessness-Decisions,,6,Rejected intentionally homeless
E07000193,2015 Q2,Homelessness-Decisions,,46,All
E07000193,2012 Q1,Homelessness-Decisions,,24,All
E07000193,2013 Q2,Homelessness-Decisions,,10,Rejected not in priority need
E07000193,2017 Q1,Homelessness-Decisions,,13,Rejected not in priority need
E07000193,2014 Q4,Homelessness-Decisions,,50,All
E07000193,2018 Q1,Homelessness-Decisions,,43,All
E07000193,2015 Q1,Homelessness-Decisions,,66,All
E07000193,2014 Q2,Homelessness-Decisions,,10,Rejected not homeless
E07000193,2011 Q2,Homelessness-Decisions,,10,Rejected not homeless
E07000193,2012 Q4,Homelessness-Decisions,,10,Accepted Total
E07000193,2014 Q1,Homelessness-Decisions,,7,Rejected not homeless
E07000193,2014 Q3,Homelessness-Decisions,,12,Rejected not in priority need
E07000193,2013 Q3,Homelessness-Decisions,,22,Accepted Total
E07000193,2015 Q4,Homelessness-Decisions,,9,Rejected intentionally homeless
E07000193,2015 Q4,Homelessness-Decisions,,9,Rejected not homeless
E07000193,2015 Q4,Homelessness-Decisions,,38,Accepted Total
E07000193,2016 Q2,Homelessness-Decisions,,8,Rejected not homeless
E07000193,2015 Q1,Homelessness-Decisions,,26,Rejected not in priority need
E07000193,2011 Q4,Homelessness-Decisions,,5,Rejected not in priority need
E07000193,2015 Q3,Homelessness-Decisions,,28,Accepted Total
E07000193,2017 Q1,Homelessness-Decisions,,34,Accepted Total
E07000193,2015 Q3,Homelessness-Decisions,,6,Rejected not homeless
E07000193,2016 Q2,Homelessness-Decisions,,33,Accepted Total
E07000193,2012 Q3,Homelessness-Decisions,,9,Accepted Total
E07000193,2014 Q2,Homelessness-Decisions,,28,Accepted Total
E07000193,2013 Q4,Homelessness-Decisions,,5,Rejected not homeless
E07000193,2018 Q1,Homelessness-Decisions,,29,Accepted Total
E07000193,2012 Q3,Homelessness-Decisions,,9,Rejected intentionally homeless
E07000193,2016 Q4,Homelessness-Decisions,,8,Rejected not homeless
E07000193,2015 Q4,Homelessness-Decisions,,14,Rejected not in priority need
E07000193,2012 Q1,Homelessness-Decisions,,8,Rejected not homeless
E07000193,2013 Q1,Homelessness-Decisions,,8,Accepted Total
E07000193,2014 Q2,Homelessness-Decisions,,57,All
E07000193,2016 Q4,Homelessness-Decisions,,27,Accepted Total
E07000193,2016 Q1,Homelessness-Decisions,,39,All
E07000193,2012 Q2,Homelessness-Decisions,,7,Accepted Total
E07000193,2011 Q4,Homelessness-Decisions,,22,All
E07000193,2016 Q1,Homelessness-Decisions,,22,Accepted Total
E07000193,2017 Q2,Homelessness-Decisions,,41,All
E07000193,2011 Q4,Homelessness-Decisions,,5,Rejected intentionally homeless
E07000193,2013 Q1,Homelessness-Decisions,,27,All
E07000193,2016 Q3,Homelessness-Decisions,,44,Accepted Total
E07000193,2017 Q2,Homelessness-Decisions,,23,Accepted Total
E07000193,2016 Q3,Homelessness-Decisions,,11,Rejected not in priority need
E07000193,2013 Q1,Homelessness-Decisions,,9,Rejected intentionally homeless
E07000193,2014 Q1,Homelessness-Decisions,,27,Accepted Total
E07000193,2017 Q2,Homelessness-Decisions,,6,Rejected not homeless
E07000193,2016 Q4,Homelessness-Decisions,,9,Rejected not in priority need
E07000193,2015 Q4,Homelessness-Decisions,,70,All
E07000193,2016 Q3,Homelessness-Decisions,,64,All
E07000193,2015 Q3,Homelessness-Decisions,,10,Rejected not in priority need
E07000193,2017 Q1,Homelessness-Decisions,,9,Rejected not homeless
E07000193,2013 Q3,Homelessness-Decisions,,37,All
