time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,Neglect_Initial,Physical_Initial,Sexual_Initial,Emotional_Initial,Multiple_Initial,Neglect_Latest,Physical_Latest,Sexual_Latest,Emotional_Latest,Multiple_Latest
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Child Protection Plans by Initial and Latest Category of Abuse,185,102,c,c,59,0,99,c,c,65,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Child Protection Plans by Initial and Latest Category of Abuse,199,114,24,8,53,0,98,18,8,75,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Child Protection Plans by Initial and Latest Category of Abuse,1248,422,141,75,561,49,388,126,68,588,78
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Child Protection Plans by Initial and Latest Category of Abuse,673,302,51,32,288,0,304,43,c,293,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Child Protection Plans by Initial and Latest Category of Abuse,849,300,39,16,247,247,274,c,c,224,329
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Child Protection Plans by Initial and Latest Category of Abuse,432,217,25,24,166,0,204,13,24,191,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Child Protection Plans by Initial and Latest Category of Abuse,335,190,12,7,126,0,181,c,c,138,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Child Protection Plans by Initial and Latest Category of Abuse,543,261,40,11,231,0,254,31,7,251,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Child Protection Plans by Initial and Latest Category of Abuse,310,101,48,22,139,0,104,42,20,144,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Child Protection Plans by Initial and Latest Category of Abuse,281,118,54,24,79,6,121,46,22,86,6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Child Protection Plans by Initial and Latest Category of Abuse,299,93,13,7,186,0,98,10,c,181,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Child Protection Plans by Initial and Latest Category of Abuse,411,180,18,15,198,0,169,17,c,207,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Child Protection Plans by Initial and Latest Category of Abuse,234,96,14,23,101,0,89,14,22,109,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Child Protection Plans by Initial and Latest Category of Abuse,169,68,23,10,68,0,65,25,11,68,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Child Protection Plans by Initial and Latest Category of Abuse,475,231,36,c,189,c,231,36,c,188,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Child Protection Plans by Initial and Latest Category of Abuse,371,194,37,12,120,8,186,38,12,128,7
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Child Protection Plans by Initial and Latest Category of Abuse,400,164,31,19,147,39,151,31,19,161,38
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Child Protection Plans by Initial and Latest Category of Abuse,1186,376,116,57,613,24,385,106,58,623,14
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Child Protection Plans by Initial and Latest Category of Abuse,307,138,49,17,97,6,131,44,c,114,c
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Child Protection Plans by Initial and Latest Category of Abuse,404,161,45,20,178,0,147,35,c,202,c
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Child Protection Plans by Initial and Latest Category of Abuse,302,117,60,12,113,0,116,62,12,112,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Child Protection Plans by Initial and Latest Category of Abuse,606,365,75,23,110,33,376,69,22,114,25
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Child Protection Plans by Initial and Latest Category of Abuse,605,380,62,34,129,0,374,52,33,146,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Child Protection Plans by Initial and Latest Category of Abuse,796,160,157,58,421,0,158,146,57,435,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Child Protection Plans by Initial and Latest Category of Abuse,462,205,65,8,184,0,197,50,8,207,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Child Protection Plans by Initial and Latest Category of Abuse,125,67,23,7,28,0,64,24,7,30,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Child Protection Plans by Initial and Latest Category of Abuse,471,225,39,33,148,26,220,40,33,150,28
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Child Protection Plans by Initial and Latest Category of Abuse,676,235,c,74,336,c,235,c,68,343,c
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Child Protection Plans by Initial and Latest Category of Abuse,939,325,130,45,433,6,327,128,43,435,6
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Child Protection Plans by Initial and Latest Category of Abuse,742,566,16,31,129,0,568,13,30,131,0
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Child Protection Plans by Initial and Latest Category of Abuse,334,218,15,c,84,c,197,18,c,101,c
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Child Protection Plans by Initial and Latest Category of Abuse,431,191,90,15,135,0,198,95,c,122,c
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Child Protection Plans by Initial and Latest Category of Abuse,1143,663,251,50,179,0,661,224,58,200,0
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Child Protection Plans by Initial and Latest Category of Abuse,491,163,160,35,120,13,171,154,36,116,14
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Child Protection Plans by Initial and Latest Category of Abuse,720,372,74,24,190,60,379,60,27,202,52
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Child Protection Plans by Initial and Latest Category of Abuse,506,384,51,13,58,0,388,46,14,58,0
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Child Protection Plans by Initial and Latest Category of Abuse,1088,536,63,28,418,43,567,66,32,423,0
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Child Protection Plans by Initial and Latest Category of Abuse,725,289,120,34,282,0,283,118,36,288,0
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Child Protection Plans by Initial and Latest Category of Abuse,1031,464,23,19,252,273,462,20,22,281,246
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Child Protection Plans by Initial and Latest Category of Abuse,40,18,c,0,c,0,c,c,0,21,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Child Protection Plans by Initial and Latest Category of Abuse,1481,492,132,54,803,0,481,126,54,820,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Child Protection Plans by Initial and Latest Category of Abuse,515,174,59,c,269,c,194,31,c,277,c
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Child Protection Plans by Initial and Latest Category of Abuse,424,154,20,18,232,0,155,15,14,240,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Child Protection Plans by Initial and Latest Category of Abuse,212,97,0,9,106,0,78,0,7,127,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Child Protection Plans by Initial and Latest Category of Abuse,732,312,33,20,367,0,301,26,22,383,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Child Protection Plans by Initial and Latest Category of Abuse,316,176,23,20,97,0,170,21,21,104,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Child Protection Plans by Initial and Latest Category of Abuse,178,81,24,c,58,c,83,24,c,60,c
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Child Protection Plans by Initial and Latest Category of Abuse,894,509,10,28,347,0,510,13,28,343,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Child Protection Plans by Initial and Latest Category of Abuse,746,480,27,28,211,0,479,22,22,223,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Child Protection Plans by Initial and Latest Category of Abuse,307,108,25,41,133,0,102,24,39,142,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Child Protection Plans by Initial and Latest Category of Abuse,441,197,38,c,192,c,187,25,10,219,0
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Child Protection Plans by Initial and Latest Category of Abuse,425,145,22,9,151,98,138,18,11,175,83
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Child Protection Plans by Initial and Latest Category of Abuse,345,206,15,c,112,c,231,c,12,90,c
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Child Protection Plans by Initial and Latest Category of Abuse,757,532,42,44,112,27,522,32,42,108,53
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Child Protection Plans by Initial and Latest Category of Abuse,197,112,c,c,81,0,119,c,c,73,0
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Child Protection Plans by Initial and Latest Category of Abuse,564,355,33,c,160,c,355,33,c,160,c
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Child Protection Plans by Initial and Latest Category of Abuse,166,77,c,c,60,23,79,c,c,62,19
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Child Protection Plans by Initial and Latest Category of Abuse,748,553,8,8,23,156,553,8,8,23,156
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Child Protection Plans by Initial and Latest Category of Abuse,629,299,69,17,244,0,291,57,17,264,0
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Child Protection Plans by Initial and Latest Category of Abuse,315,142,21,c,127,c,143,c,c,127,23
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Child Protection Plans by Initial and Latest Category of Abuse,812,477,40,14,226,55,468,33,13,257,41
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Child Protection Plans by Initial and Latest Category of Abuse,263,158,15,9,71,10,166,13,c,71,c
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Child Protection Plans by Initial and Latest Category of Abuse,188,145,0,c,25,c,134,0,c,42,c
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Child Protection Plans by Initial and Latest Category of Abuse,678,479,15,24,160,0,473,15,23,167,0
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Child Protection Plans by Initial and Latest Category of Abuse,215,152,c,c,54,0,146,c,c,60,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Child Protection Plans by Initial and Latest Category of Abuse,184,69,19,12,84,0,74,19,12,79,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Child Protection Plans by Initial and Latest Category of Abuse,392,120,24,16,219,13,125,23,13,221,10
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Child Protection Plans by Initial and Latest Category of Abuse,734,443,14,23,254,0,420,13,22,279,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Child Protection Plans by Initial and Latest Category of Abuse,591,249,16,c,307,c,253,16,c,302,c
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Child Protection Plans by Initial and Latest Category of Abuse,1343,824,91,50,378,0,834,72,49,388,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Child Protection Plans by Initial and Latest Category of Abuse,147,113,6,9,19,0,115,c,c,18,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Child Protection Plans by Initial and Latest Category of Abuse,1520,635,135,90,611,49,635,127,85,636,37
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Child Protection Plans by Initial and Latest Category of Abuse,583,337,28,26,192,0,332,c,25,206,c
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Child Protection Plans by Initial and Latest Category of Abuse,224,161,c,c,49,0,162,c,c,48,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Child Protection Plans by Initial and Latest Category of Abuse,747,534,23,12,178,0,511,21,13,202,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Child Protection Plans by Initial and Latest Category of Abuse,299,220,c,c,57,0,223,c,c,54,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Child Protection Plans by Initial and Latest Category of Abuse,252,101,c,c,125,0,101,c,c,128,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Child Protection Plans by Initial and Latest Category of Abuse,317,181,14,6,116,0,172,c,c,129,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Child Protection Plans by Initial and Latest Category of Abuse,562,282,71,19,190,0,282,71,19,190,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Child Protection Plans by Initial and Latest Category of Abuse,697,468,21,23,164,21,467,20,23,171,16
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Child Protection Plans by Initial and Latest Category of Abuse,170,73,11,6,80,0,73,11,6,80,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Child Protection Plans by Initial and Latest Category of Abuse,1125,627,59,37,349,53,637,67,40,337,44
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Child Protection Plans by Initial and Latest Category of Abuse,213,96,17,10,90,0,96,19,10,88,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Child Protection Plans by Initial and Latest Category of Abuse,178,99,7,c,67,c,99,7,c,61,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Child Protection Plans by Initial and Latest Category of Abuse,137,68,c,c,62,0,c,0,c,77,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,Bournemouth Christchurch and Poole,Child Protection Plans by Initial and Latest Category of Abuse,339,207,46,13,73,0,194,41,13,91,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Child Protection Plans by Initial and Latest Category of Abuse,423,197,28,19,179,0,204,27,18,174,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Child Protection Plans by Initial and Latest Category of Abuse,471,258,68,25,120,0,259,60,23,129,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Child Protection Plans by Initial and Latest Category of Abuse,635,326,47,24,238,0,322,49,23,241,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Child Protection Plans by Initial and Latest Category of Abuse,393,242,56,53,42,0,248,56,50,39,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Child Protection Plans by Initial and Latest Category of Abuse,952,450,68,34,400,0,441,62,c,421,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Child Protection Plans by Initial and Latest Category of Abuse,0,0,0,0,0,0,0,0,0,0,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Child Protection Plans by Initial and Latest Category of Abuse,118,66,12,7,33,0,60,10,7,41,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Child Protection Plans by Initial and Latest Category of Abuse,333,178,46,14,95,0,177,41,15,100,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Child Protection Plans by Initial and Latest Category of Abuse,270,129,c,19,106,c,125,c,17,117,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Child Protection Plans by Initial and Latest Category of Abuse,259,79,64,12,104,0,74,61,13,111,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Child Protection Plans by Initial and Latest Category of Abuse,233,105,60,10,58,0,105,61,10,57,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Child Protection Plans by Initial and Latest Category of Abuse,289,168,7,8,106,0,168,7,8,106,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Child Protection Plans by Initial and Latest Category of Abuse,479,249,56,28,146,0,230,47,c,173,c
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Child Protection Plans by Initial and Latest Category of Abuse,266,100,c,c,115,0,96,c,c,121,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Child Protection Plans by Initial and Latest Category of Abuse,c,0,0,0,c,0,0,0,0,c,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Child Protection Plans by Initial and Latest Category of Abuse,374,114,34,19,193,14,111,38,18,201,6
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Child Protection Plans by Initial and Latest Category of Abuse,172,64,c,c,76,0,61,c,c,81,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Child Protection Plans by Initial and Latest Category of Abuse,222,85,34,16,87,0,90,31,17,84,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Child Protection Plans by Initial and Latest Category of Abuse,202,39,34,6,123,0,43,33,6,120,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Child Protection Plans by Initial and Latest Category of Abuse,70,32,10,0,28,0,32,10,0,28,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Child Protection Plans by Initial and Latest Category of Abuse,335,128,57,18,132,0,120,60,15,140,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Child Protection Plans by Initial and Latest Category of Abuse,327,135,22,c,158,c,127,20,c,162,c
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Child Protection Plans by Initial and Latest Category of Abuse,424,176,39,34,175,0,172,37,32,183,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Child Protection Plans by Initial and Latest Category of Abuse,279,122,23,10,110,14,127,26,c,112,c
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Child Protection Plans by Initial and Latest Category of Abuse,394,280,c,c,96,0,279,c,c,100,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Child Protection Plans by Initial and Latest Category of Abuse,314,111,38,9,156,0,106,23,13,172,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Child Protection Plans by Initial and Latest Category of Abuse,79,26,24,0,29,0,26,23,0,30,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Child Protection Plans by Initial and Latest Category of Abuse,376,149,29,6,192,0,143,25,c,199,c
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Child Protection Plans by Initial and Latest Category of Abuse,203,90,35,6,72,0,90,34,7,72,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Child Protection Plans by Initial and Latest Category of Abuse,218,88,28,c,96,c,87,27,c,98,c
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Child Protection Plans by Initial and Latest Category of Abuse,333,100,108,12,113,0,102,84,10,137,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Child Protection Plans by Initial and Latest Category of Abuse,414,256,14,8,136,0,262,9,8,135,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Child Protection Plans by Initial and Latest Category of Abuse,667,314,34,c,298,c,314,34,c,298,c
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Child Protection Plans by Initial and Latest Category of Abuse,264,116,c,c,131,0,119,c,c,132,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Child Protection Plans by Initial and Latest Category of Abuse,283,117,46,c,97,c,105,44,c,103,c
