time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Episodes_with_assessment_factor,Alcohol_Misuse_child,Alcohol_Misuse_parent,Alcohol_Misuse_person,Drug_Misuse_child,Drug_Misuse_parent,Drug_Misuse_person,Domestic_Violence_child,Domestic_Violence_parent,Domestic_Violence_person,Mental_Health_child,Mental_Health_parent,Mental_Health_person,Learning_Disability_child,Learning_Disability_parent,Learning_Disability_person,Physical_Disability_child,Physical_Disability_parent,Physical_Disability_person,Young_Carer,Privately_fostered,Unaccompanied_asylum_seeker,Going_missing,Child_sexual_exploitation,Trafficking,Gangs,Socially_unacceptable_behaviour,Self_harm,Neglect,Emotional_Abuse,Physical_Abuse,Sexual_Abuse,Female_Genital_Mutilation,Faith_linked_abuse,Other
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Factors identified at the end of assessment,36270,360,2650,360,1440,2570,650,2700,9930,1700,3770,7330,1010,3250,630,350,1800,1700,380,860,190,450,1220,1070,280,1840,3850,1410,4920,5040,4750,1180,100,140,9790
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Factors identified at the end of assessment,52500,730,5970,780,2650,5040,1300,5200,16500,2670,6550,13310,1840,5480,1200,630,2360,2380,580,1910,170,670,1940,1810,410,2260,5100,2710,6970,9860,6910,1750,120,250,10150
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Factors identified at the end of assessment,731,20,122,17,19,153,26,97,269,28,167,288,28,38,18,12,10,30,13,29,0,0,53,39,c,c,93,59,120,191,127,61,0,c,102
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Factors identified at the end of assessment,4066,135,861,140,176,897,154,557,1648,219,701,1848,242,352,159,40,195,210,26,164,24,c,157,263,22,46,468,325,904,699,470,215,c,11,508
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Factors identified at the end of assessment,1614,107,337,42,119,318,45,318,654,80,117,524,59,342,80,18,141,114,21,138,c,c,65,55,10,28,208,122,332,361,431,226,c,7,1278
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Factors identified at the end of assessment,1423,29,246,24,82,342,44,195,524,58,216,496,28,73,44,19,50,67,8,62,12,c,47,40,c,28,139,48,246,174,185,95,0,0,176
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Factors identified at the end of assessment,2535,48,359,52,159,537,92,282,828,90,413,898,95,125,63,15,82,88,c,80,16,c,97,99,11,44,220,121,575,646,333,106,c,14,549
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Factors identified at the end of assessment,3923,112,584,249,180,581,312,c,1634,406,777,1439,435,359,89,82,274,284,82,81,0,8,176,69,17,46,402,264,1128,1441,811,397,22,0,2386
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Factors identified at the end of assessment,1016,47,247,30,59,207,30,121,433,31,234,518,25,119,30,14,53,59,6,101,c,c,42,41,c,14,76,72,140,145,57,18,c,c,73
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Factors identified at the end of assessment,2818,117,564,64,192,554,125,370,1081,182,851,1316,174,322,107,34,186,211,28,130,11,c,136,205,15,33,281,273,544,599,356,239,6,c,402
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Factors identified at the end of assessment,1937,50,405,48,99,455,101,292,756,99,327,786,104,180,47,20,86,92,13,103,c,13,80,90,c,37,137,120,535,441,361,157,c,6,171
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Factors identified at the end of assessment,1026,38,173,27,68,182,21,146,417,30,219,455,43,78,40,12,47,69,c,70,0,c,46,44,c,16,109,52,237,177,89,36,c,c,98
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Factors identified at the end of assessment,2902,54,422,27,109,595,87,358,1158,97,285,765,75,159,38,16,98,98,21,90,6,c,68,66,22,48,216,51,577,427,505,274,c,14,281
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Factors identified at the end of assessment,2776,139,575,70,199,567,108,347,1057,120,576,1013,114,437,88,35,183,127,25,132,c,c,186,157,35,64,362,221,530,536,431,156,c,6,334
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Factors identified at the end of assessment,2264,81,463,26,134,416,51,210,851,60,329,847,73,165,67,12,104,81,10,50,10,0,44,97,10,24,132,85,418,531,241,150,17,24,210
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Factors identified at the end of assessment,3078,54,401,129,171,390,179,314,756,253,310,1041,249,292,98,83,99,207,105,86,c,c,94,159,6,35,161,54,508,518,211,109,0,0,992
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Factors identified at the end of assessment,2970,57,518,78,138,577,99,368,1056,124,375,925,112,285,89,24,124,122,36,67,14,10,142,103,25,63,243,168,653,914,532,290,26,13,421
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Factors identified at the end of assessment,1855,62,286,31,164,312,44,231,666,97,453,792,75,237,55,64,93,144,21,92,7,18,99,82,c,61,225,141,296,317,165,76,11,18,119
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Factors identified at the end of assessment,2291,107,444,55,233,365,70,367,810,82,535,847,103,310,55,33,153,151,48,140,13,6,184,166,11,100,242,209,589,559,317,140,0,17,347
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Factors identified at the end of assessment,2032,45,450,73,128,425,109,320,879,103,416,920,106,326,97,46,133,165,26,140,23,c,73,82,6,35,193,146,326,503,268,117,c,16,109
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Factors identified at the end of assessment,4187,118,729,104,239,580,152,491,1187,192,761,1495,233,465,119,52,209,203,44,277,0,c,163,163,15,45,374,243,727,853,387,187,0,0,812
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Factors identified at the end of assessment,1384,41,277,63,89,266,89,189,597,154,173,489,97,178,31,19,77,82,30,71,0,6,48,32,c,23,80,63,295,351,179,116,0,0,122
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Factors identified at the end of assessment,1577,26,270,21,135,318,49,207,574,53,257,561,51,202,61,38,96,81,25,91,7,c,77,70,14,103,162,107,198,265,200,76,c,0,397
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Factors identified at the end of assessment,11322,263,2063,286,720,2312,446,1570,3761,424,2093,4423,452,1425,439,181,600,711,117,400,35,20,436,495,61,276,975,683,1894,3311,1624,850,25,69,2541
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Factors identified at the end of assessment,6964,83,684,67,278,781,125,381,1326,150,657,1409,104,327,112,53,87,185,29,72,10,70,174,124,62,206,369,211,653,951,441,158,25,41,3905
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Factors identified at the end of assessment,6002,136,658,136,309,689,182,809,1774,409,780,1464,227,518,168,63,273,340,71,97,37,78,268,168,72,250,530,270,1092,1603,1050,341,25,43,1396
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Factors identified at the end of assessment,3934,124,433,99,252,406,117,409,1079,252,377,922,126,316,81,27,131,141,30,63,11,c,230,111,12,103,425,156,518,738,525,190,53,24,390
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Factors identified at the end of assessment,3110,80,514,63,227,537,91,376,1297,148,552,997,134,275,106,46,137,117,30,80,6,19,103,136,15,83,263,126,549,612,313,147,9,23,396
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Factors identified at the end of assessment,3534,112,638,108,236,631,151,511,1600,299,681,1483,201,520,94,78,177,275,45,81,0,c,127,60,9,134,233,170,662,1106,441,172,c,0,164
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Factors identified at the end of assessment,2245,54,591,59,195,595,96,349,939,87,568,948,108,218,70,26,90,115,23,66,c,c,67,55,c,90,201,184,338,636,291,132,c,c,295
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Factors identified at the end of assessment,1999,79,376,57,178,447,89,202,793,110,397,871,70,248,57,15,104,163,11,104,12,c,71,97,6,38,171,167,411,500,212,94,c,10,404
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Factors identified at the end of assessment,2651,52,502,69,160,444,69,287,1063,102,412,950,114,230,76,41,113,124,23,152,10,c,164,90,16,97,214,182,337,366,185,72,11,19,394
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Factors identified at the end of assessment,2577,90,455,50,207,456,104,371,885,122,505,993,119,174,66,34,99,99,19,110,c,7,140,121,9,103,323,210,553,808,391,203,0,c,248
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Factors identified at the end of assessment,1958,44,300,42,129,287,60,215,577,72,343,565,91,193,53,19,28,48,6,86,8,c,119,53,7,49,147,0,292,302,188,79,c,18,730
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Factors identified at the end of assessment,1512,59,196,52,142,170,58,135,452,131,237,495,84,119,39,25,66,85,12,0,0,8,75,91,c,27,163,98,226,320,266,141,13,9,148
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Factors identified at the end of assessment,4413,64,869,96,182,876,178,542,1637,268,703,1685,0,608,138,63,320,227,40,217,10,c,141,181,13,79,356,288,766,875,542,271,11,9,718
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Factors identified at the end of assessment,3061,93,527,91,189,545,110,334,991,137,582,976,140,513,127,51,245,135,27,133,22,15,121,107,16,83,246,184,684,699,634,292,c,12,210
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Factors identified at the end of assessment,2057,16,198,20,53,266,20,30,507,37,159,400,31,116,35,18,34,21,8,28,c,c,62,60,c,36,96,21,367,387,206,169,0,c,472
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Factors identified at the end of assessment,10723,154,1158,214,452,1168,250,1268,3028,534,1292,2286,362,645,187,105,350,320,91,305,36,8,454,394,82,201,737,368,1246,2217,1296,425,13,68,6564
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Factors identified at the end of assessment,3290,68,576,55,121,575,71,361,1291,73,317,835,74,165,31,c,102,62,15,80,c,c,109,125,18,20,153,52,722,650,614,446,0,15,336
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Factors identified at the end of assessment,4295,32,727,63,166,745,126,160,1164,82,455,1211,108,330,114,50,147,178,42,64,22,c,164,86,8,88,327,218,358,715,560,280,7,14,738
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Factors identified at the end of assessment,2350,10,214,15,37,173,22,88,585,27,88,244,38,80,c,c,41,19,c,c,c,0,11,36,0,7,41,14,278,395,546,230,c,0,174
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Factors identified at the end of assessment,3059,46,492,74,203,590,157,391,1374,130,463,970,100,228,68,34,195,83,12,104,9,19,184,119,32,79,285,234,608,896,673,296,c,31,363
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Factors identified at the end of assessment,3961,86,546,64,260,588,115,425,1338,165,628,1090,171,420,81,64,210,138,54,121,8,11,180,170,15,268,340,228,606,650,434,241,8,43,759
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Factors identified at the end of assessment,9652,262,615,153,328,555,199,2643,1657,436,554,1170,248,187,85,25,200,178,38,79,39,120,135,204,47,103,456,82,1689,2344,2439,786,53,106,2387
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Factors identified at the end of assessment,3378,114,709,130,231,715,207,527,1444,224,592,1243,185,257,105,52,166,187,44,160,29,15,196,167,37,139,326,225,801,1197,848,397,c,12,217
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Factors identified at the end of assessment,1394,35,278,0,113,316,63,148,607,54,130,447,31,137,27,17,65,56,17,63,18,7,87,36,15,16,157,50,489,901,613,268,7,8,69
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Factors identified at the end of assessment,2922,77,500,64,178,428,83,346,933,87,389,886,91,250,46,36,116,110,25,110,30,8,95,133,32,27,188,184,441,568,461,209,c,7,516
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Factors identified at the end of assessment,4031,49,630,92,193,615,140,315,1422,192,580,1385,160,236,154,46,107,178,37,85,15,c,113,283,39,129,281,199,724,1267,641,427,c,18,764
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Factors identified at the end of assessment,5710,74,711,68,237,675,113,405,1821,178,847,1546,180,463,109,95,245,219,46,202,26,17,129,167,46,229,382,163,667,891,652,349,46,41,804
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Factors identified at the end of assessment,7625,48,582,43,157,580,88,419,577,496,336,831,118,423,56,12,138,55,18,48,8,34,154,181,c,36,264,88,1540,876,603,732,0,0,2902
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Factors identified at the end of assessment,2007,21,177,57,37,112,60,130,312,145,132,367,91,70,15,c,27,81,6,11,c,c,23,25,7,6,62,41,237,268,102,84,0,c,1200
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Factors identified at the end of assessment,2975,52,453,49,164,423,75,340,1089,112,441,889,83,216,68,56,66,143,28,61,10,c,137,199,15,118,250,177,532,599,394,156,19,c,378
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Factors identified at the end of assessment,10189,180,1079,118,380,1150,179,1119,2439,212,2228,2519,230,747,117,78,731,351,134,131,0,8,105,226,c,50,479,229,1451,2200,1842,731,0,17,3044
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Factors identified at the end of assessment,2369,57,330,74,114,409,120,296,823,172,312,769,212,187,82,73,69,81,47,56,28,6,104,92,25,92,167,121,416,537,441,160,20,8,440
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Factors identified at the end of assessment,3825,70,536,50,172,452,67,312,1546,62,494,1203,59,402,87,27,148,137,35,69,17,c,101,105,c,113,261,155,403,405,245,115,c,c,600
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Factors identified at the end of assessment,6322,90,891,109,262,823,158,1078,2158,287,410,1567,111,324,123,54,194,252,29,106,12,17,101,104,9,15,197,104,1398,1329,981,675,c,c,590
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Factors identified at the end of assessment,7104,295,1214,266,579,1252,451,1065,2923,754,1287,2836,467,713,221,119,376,382,87,354,163,52,290,377,49,354,703,438,1988,3179,1301,538,10,31,454
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Factors identified at the end of assessment,4405,94,584,71,311,720,150,478,1436,157,689,1323,151,514,173,92,244,262,79,127,23,24,201,277,36,244,551,369,915,1293,986,363,43,82,662
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Factors identified at the end of assessment,9238,138,1056,237,349,913,301,575,3108,838,879,2449,599,728,142,142,521,415,164,0,10,11,197,230,8,77,1727,386,799,1088,998,599,c,c,922
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Factors identified at the end of assessment,289,c,19,c,18,39,7,23,91,17,63,100,11,53,18,c,21,29,c,17,0,c,c,14,c,13,16,28,39,63,23,c,c,0,48
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Factors identified at the end of assessment,6179,159,968,193,505,1012,246,991,2775,533,1001,2358,329,898,293,186,424,389,95,255,86,68,416,294,155,335,589,354,1274,2269,1136,349,19,65,369
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Factors identified at the end of assessment,3828,94,726,154,212,641,165,613,1430,233,626,1177,180,440,168,95,192,153,40,103,7,19,184,137,36,218,388,304,761,1346,812,248,13,33,155
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Factors identified at the end of assessment,3318,15,163,15,31,173,29,178,665,68,123,286,45,146,18,c,111,14,c,c,c,0,15,41,8,25,80,23,307,225,349,180,26,c,906
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Factors identified at the end of assessment,1416,34,160,26,54,109,0,184,314,74,108,338,41,79,28,6,60,42,c,20,c,c,35,81,c,c,141,22,361,318,290,82,c,c,89
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Factors identified at the end of assessment,4622,87,882,108,213,808,174,572,2174,258,677,1571,194,301,153,73,151,208,58,161,28,12,164,214,46,168,433,264,768,1001,565,213,20,18,402
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Factors identified at the end of assessment,2093,125,571,135,236,547,176,309,944,242,460,976,173,309,125,40,151,178,28,76,23,21,146,96,34,73,242,204,847,880,483,240,0,0,137
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Factors identified at the end of assessment,1321,16,166,16,67,180,32,109,370,53,234,385,51,141,44,27,62,88,18,73,0,17,40,43,22,50,82,87,154,237,114,32,0,c,485
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Factors identified at the end of assessment,6013,395,1253,364,621,1260,401,1287,2332,669,969,2285,439,493,213,71,258,403,85,138,32,16,220,274,27,135,443,311,1364,1568,708,424,7,20,925
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Factors identified at the end of assessment,5115,144,1255,254,332,1090,323,774,2063,445,1018,2039,407,545,205,118,330,317,82,334,61,22,238,283,47,318,559,331,1001,1560,838,399,12,41,621
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Factors identified at the end of assessment,1802,31,299,67,89,251,82,174,621,93,228,558,95,132,37,17,101,90,10,52,17,c,57,49,10,42,133,79,256,363,252,128,0,c,304
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Factors identified at the end of assessment,3467,61,313,83,125,260,100,447,1216,286,218,676,114,192,52,18,99,156,38,33,12,7,60,69,6,41,224,51,516,892,79,26,9,12,1169
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Factors identified at the end of assessment,4711,144,656,146,333,553,132,691,1607,349,686,1341,212,399,81,24,206,184,39,147,28,50,219,242,30,84,402,220,635,1006,739,279,c,c,574
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Factors identified at the end of assessment,2155,c,184,17,24,246,29,82,715,28,73,437,20,138,60,11,84,63,7,29,8,0,29,52,6,73,140,38,379,198,149,54,c,c,511
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Factors identified at the end of assessment,4831,136,798,252,260,707,296,576,1757,900,763,1659,385,364,182,73,172,286,93,173,55,17,168,164,30,81,478,377,870,1091,475,411,64,51,3396
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Factors identified at the end of assessment,1822,10,209,7,52,260,19,86,674,50,146,518,20,251,54,c,113,56,8,112,0,19,62,64,12,93,202,104,373,454,262,152,0,0,397
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Factors identified at the end of assessment,4477,107,776,157,270,830,248,784,1749,326,754,2050,328,508,179,100,237,352,71,379,c,12,142,192,29,112,493,306,1172,1295,709,276,c,c,260
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Factors identified at the end of assessment,2019,42,298,59,130,313,90,244,699,141,275,742,107,155,54,28,56,148,32,75,11,23,101,71,11,76,209,82,408,480,63,64,c,8,277
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Factors identified at the end of assessment,6908,162,918,280,294,995,362,975,2498,861,600,2554,492,673,168,115,423,417,133,114,15,c,178,161,8,130,421,219,1763,1347,835,403,7,18,816
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Factors identified at the end of assessment,5013,54,840,97,180,950,191,871,1872,240,772,2101,240,559,192,106,194,191,60,141,36,53,179,117,35,82,393,301,1126,1190,807,382,17,31,782
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Factors identified at the end of assessment,1561,17,163,31,69,151,33,198,397,101,148,339,49,108,23,14,40,59,9,0,c,6,48,45,12,61,96,44,270,307,141,49,0,7,746
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Factors identified at the end of assessment,6058,154,927,201,406,884,261,817,2073,364,1679,2476,368,725,296,125,351,518,137,456,15,60,228,349,32,169,704,524,935,1099,628,342,11,30,737
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Factors identified at the end of assessment,2038,44,321,38,94,346,48,257,745,83,297,762,76,283,97,50,115,136,48,87,18,29,93,106,26,80,213,162,465,521,302,141,8,12,220
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Factors identified at the end of assessment,1925,50,266,39,127,316,76,307,684,98,426,782,77,299,43,41,137,90,21,125,c,8,105,141,19,109,245,151,366,348,204,105,0,13,168
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Factors identified at the end of assessment,5149,141,895,134,305,941,295,812,2088,362,1039,2239,333,586,233,122,322,424,91,397,39,c,216,256,20,195,471,376,1299,1587,846,348,6,21,396
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Factors identified at the end of assessment,2794,43,383,37,145,397,90,352,965,153,440,833,98,362,104,54,177,170,27,219,15,85,129,166,35,134,329,179,506,625,474,157,c,15,441
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Factors identified at the end of assessment,1410,20,156,36,88,141,42,115,346,101,148,225,43,62,16,20,48,45,6,31,c,c,34,107,0,34,111,36,216,232,286,145,0,7,472
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Factors identified at the end of assessment,2013,47,312,100,161,666,118,227,666,204,467,854,161,325,71,36,168,225,75,205,28,0,142,108,c,49,293,234,524,799,256,138,6,10,273
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Factors identified at the end of assessment,4157,156,755,247,277,715,302,973,1761,610,701,1700,343,701,205,100,357,319,99,298,17,18,140,138,23,115,372,233,882,1181,477,188,c,18,324
