time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,Referrals,Referrals_rate,Re_referrals,Re_referrals_percent,No_Further_Action,No_Further_Action_percent,Not_in_Need,Not_in_Need_percent,Referrals_child,Referrals_child_rate,Re_referrals_child,Re_referrals_child_percent
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Referrals and Re-referrals,4322,752.3,877,20.3,343,7.9,1332,30.8,3903,679.3,788,20.2
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Referrals and Re-referrals,2660,492.1,449,16.9,c,c,1136,42.7,2472,457.3,404,16.3
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Referrals and Re-referrals,2949,799.9,692,23.5,100,3.4,1442,48.9,2602,705.8,597,22.9
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Referrals and Re-referrals,3345,526.6,696,20.8,52,1.6,1201,35.9,3046,479.5,618,20.3
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Referrals and Re-referrals,2627,518.5,561,21.4,102,3.9,895,34.1,2376,469,489,20.6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Referrals and Re-referrals,2828,500.4,900,31.8,216,7.6,556,19.7,2261,400.1,673,29.8
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Referrals and Re-referrals,1667,375.5,332,19.9,82,4.9,518,31.1,1518,342,290,19.1
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Referrals and Re-referrals,5549,805.2,1201,21.6,200,3.6,1261,22.7,4875,707.4,1038,21.3
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Referrals and Re-referrals,3997,592.1,1105,27.6,181,4.5,1574,39.4,3442,509.9,906,26.3
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Referrals and Re-referrals,2739,536.2,461,16.8,39,1.4,323,11.8,2578,504.7,431,16.7
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Referrals and Re-referrals,9934,696.7,2272,22.9,784,7.9,2254,22.7,8705,610.5,1918,22
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Referrals and Re-referrals,3088,669.6,767,24.8,c,c,25,0.8,2694,584.2,633,23.5
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Referrals and Re-referrals,4193,626.6,1158,27.6,24,0.6,1615,38.5,3643,544.4,970,26.6
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Referrals and Re-referrals,3300,523.4,682,20.7,c,c,26,0.8,2962,469.8,593,20
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Referrals and Re-referrals,4375,762.6,930,21.3,70,1.6,485,11.1,3945,687.6,817,20.7
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Referrals and Re-referrals,4400,439.6,1074,24.4,0,0,1477,33.6,3894,389,911,23.4
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Referrals and Re-referrals,10916,644.3,2958,27.1,1594,14.6,5043,46.2,9449,557.7,2332,24.7
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Referrals and Re-referrals,3867,1120.3,645,16.7,0,0,706,18.3,3446,998.3,557,16.2
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Referrals and Re-referrals,1417,397.6,271,19.1,36,2.5,621,43.8,1287,361.1,234,18.2
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Referrals and Re-referrals,3827,325.9,618,16.1,c,c,1202,31.4,3537,301.2,567,16
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Referrals and Re-referrals,3766,654.7,780,20.7,22,0.6,1289,34.2,3412,593.2,685,20.1
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Referrals and Re-referrals,7080,601.3,1952,27.6,1150,16.2,1551,21.9,6210,527.5,1642,26.4
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Referrals and Re-referrals,7511,1017.1,2250,30,206,2.7,1726,23,6296,852.6,1795,28.5
2020,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Referrals and Re-referrals,2152,587.6,422,19.6,197,9.2,0,0,1854,506.2,369,19.9
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Referrals and Re-referrals,4600,768.2,899,19.5,456,9.9,1756,38.2,4138,691.1,801,19.4
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Referrals and Re-referrals,11320,733.8,2944,26,169,1.5,4862,43,9791,634.7,2441,24.9
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Referrals and Re-referrals,2708,322.1,309,11.4,50,1.8,799,29.5,2542,302.3,277,10.9
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Referrals and Re-referrals,5523,389.3,1151,20.8,288,5.2,1709,30.9,4942,348.4,971,19.6
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Referrals and Re-referrals,6628,452.7,1504,22.7,447,6.7,2632,39.7,5980,408.4,1300,21.7
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Referrals and Re-referrals,13504,786.6,4427,32.8,4711,34.9,3747,27.7,10542,614,3221,30.6
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Referrals and Re-referrals,4368,632.4,815,18.7,130,3,399,9.1,4021,582.2,728,18.1
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Referrals and Re-referrals,11184,667.5,3281,29.3,0,0,6485,58,9574,571.4,2621,27.4
2020,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Referrals and Re-referrals,323,411.3,85,26.3,c,c,118,36.5,298,379.4,76,25.5
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Referrals and Re-referrals,13299,462.7,2373,17.8,387,2.9,5019,37.7,12149,422.7,2076,17.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Referrals and Re-referrals,5382,674.7,1325,24.6,40,0.7,1654,30.7,4648,582.7,1073,23.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Referrals and Re-referrals,4018,577.8,1172,29.2,309,7.7,238,5.9,3485,501.1,946,27.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Referrals and Re-referrals,1321,366.5,123,9.3,0,0,53,4,1321,366.5,123,9.3
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Referrals and Re-referrals,6381,773.9,1585,24.8,0,0,1883,29.5,5589,677.9,1293,23.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Referrals and Re-referrals,1882,313.6,315,16.7,119,6.3,405,21.5,1733,288.8,279,16.1
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Referrals and Re-referrals,3061,643.8,996,32.5,1334,43.6,562,18.4,2589,544.5,794,30.7
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Referrals and Re-referrals,7211,423.7,1352,18.7,738,10.2,2241,31.1,6653,390.9,1220,18.3
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Referrals and Re-referrals,5956,1028.5,1977,33.2,291,4.9,2269,38.1,5102,881,1633,32
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Referrals and Re-referrals,2068,502.9,437,21.1,8,0.4,490,23.7,1840,447.5,367,19.9
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Referrals and Re-referrals,4367,633.2,1148,26.3,305,7,1996,45.7,3738,542,930,24.9
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Referrals and Re-referrals,5046,428.6,970,19.2,11,0.2,2031,40.2,4577,388.8,858,18.7
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Referrals and Re-referrals,3327,534.2,696,20.9,74,2.2,740,22.2,2995,480.9,594,19.8
2020,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Referrals and Re-referrals,5394,453.8,1305,24.2,755,14,382,7.1,4661,392.1,1078,23.1
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Referrals and Re-referrals,1748,429.6,280,16,0,0,611,35,1622,398.6,251,15.5
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Referrals and Re-referrals,4754,348.5,1090,22.9,246,5.2,1055,22.2,4264,312.5,943,22.1
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Referrals and Re-referrals,1776,279,301,16.9,c,c,655,36.9,1614,253.5,257,15.9
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Referrals and Re-referrals,8041,255.9,1526,19,97,1.2,3591,44.7,7366,234.5,1327,18
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Referrals and Re-referrals,5377,197.3,770,14.3,0,0,2212,41.1,4995,183.3,663,13.3
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Referrals and Re-referrals,2890,502.7,492,17,27,0.9,972,33.6,2614,454.7,420,16.1
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Referrals and Re-referrals,7487,436.2,1391,18.6,58,0.8,2560,34.2,6840,398.5,1230,18
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Referrals and Re-referrals,3577,690.1,1107,30.9,1223,34.2,640,17.9,2987,576.3,878,29.4
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Referrals and Re-referrals,2721,684.7,823,30.2,113,4.2,1261,46.3,2309,581.1,665,28.8
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Referrals and Re-referrals,6538,425.7,1277,19.5,119,1.8,2325,35.6,5875,382.5,1100,18.7
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Referrals and Re-referrals,2825,632.7,439,15.5,93,3.3,1144,40.5,2612,585,381,14.6
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Referrals and Re-referrals,1699,598.6,434,25.5,308,18.1,443,26.1,1511,532.3,364,24.1
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Referrals and Re-referrals,3571,710.4,1094,30.6,472,13.2,216,6,2892,575.3,861,29.8
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Referrals and Re-referrals,8367,665.5,2180,26.1,1213,14.5,2349,28.1,7021,558.4,1783,25.4
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Referrals and Re-referrals,4167,391.9,761,18.3,56,1.3,810,19.4,3796,357,650,17.1
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Referrals and Re-referrals,20220,711.1,6536,32.3,2701,13.4,6915,34.2,16404,576.9,4827,29.4
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Referrals and Re-referrals,2670,1079.3,946,35.4,455,17,872,32.7,2153,870.3,720,33.4
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Referrals and Re-referrals,22349,650,6362,28.5,106,0.5,8598,38.5,18906,549.9,5010,26.5
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Referrals and Re-referrals,4904,754.7,1220,24.9,235,4.8,1930,39.4,4295,661,1035,24.1
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Referrals and Re-referrals,3090,449.1,521,16.9,289,9.4,694,22.5,2811,408.5,443,15.8
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Referrals and Re-referrals,7502,513.4,1325,17.7,529,7.1,3083,41.1,6790,464.7,1160,17.1
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Referrals and Re-referrals,2664,608.8,631,23.7,58,2.2,133,5,2374,542.6,536,22.6
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Referrals and Re-referrals,2564,692.8,676,26.4,24,0.9,1393,54.3,2220,599.9,527,23.7
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Referrals and Re-referrals,2540,589.2,429,16.9,73,2.9,640,25.2,2337,542.1,375,16
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Referrals and Re-referrals,4840,943.9,1109,22.9,885,18.3,1015,21,4170,813.3,956,22.9
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Referrals and Re-referrals,8519,323,1832,21.5,271,3.2,495,5.8,7624,289.1,1547,20.3
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Referrals and Re-referrals,1654,464.7,443,26.8,0,0,132,8,1424,400.1,357,25.1
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Referrals and Re-referrals,9993,567.4,2654,26.6,0,0,4393,44,8648,491.1,2203,25.5
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Referrals and Re-referrals,1356,390.5,214,15.8,77,5.7,410,30.2,1236,355.9,179,14.5
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Referrals and Re-referrals,1774,438.9,436,24.6,44,2.5,622,35.1,1555,384.7,365,23.5
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Referrals and Re-referrals,931,256.8,169,18.2,10,1.1,259,27.8,857,236.4,145,16.9
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,Bournemouth Christchurch and Poole,Referrals and Re-referrals,3416,452,:,:,c,c,1238,36.2,3340,442,:,:
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Referrals and Re-referrals,4560,484.4,1340,29.4,642,14.1,1274,27.9,3963,421,1088,27.5
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Referrals and Re-referrals,5196,478.8,1063,20.5,94,1.8,1856,35.7,4700,433.1,932,19.8
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Referrals and Re-referrals,3861,262.9,664,17.2,217,5.6,1091,28.3,3592,244.6,580,16.1
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Referrals and Re-referrals,3137,462.2,:,:,37,1.2,1058,33.7,2871,423,:,:
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Referrals and Re-referrals,8410,652.4,2524,30,539,6.4,3211,38.2,7022,544.7,1967,28
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Referrals and Re-referrals,21,623.1,c,c,0,0,9,42.9,20,593.5,c,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Referrals and Re-referrals,1029,235.4,260,25.3,67,6.5,232,22.5,903,206.6,232,25.7
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Referrals and Re-referrals,3164,598.1,773,24.4,237,7.5,1333,42.1,2788,527.1,629,22.6
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Referrals and Re-referrals,3619,325.5,718,19.8,228,6.3,819,22.6,3279,294.9,614,18.7
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Referrals and Re-referrals,1983,334.7,454,22.9,0,0,657,33.1,1780,300.5,380,21.3
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Referrals and Re-referrals,3026,600.9,893,29.5,389,12.9,1347,44.5,2549,506.2,718,28.2
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Referrals and Re-referrals,1869,731.2,414,22.2,240,12.8,89,4.8,1635,639.7,342,20.9
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Referrals and Re-referrals,3860,363.9,826,21.4,190,4.9,1304,33.8,3511,331,735,20.9
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Referrals and Re-referrals,1499,286,131,8.7,52,3.5,212,14.1,1434,273.6,128,8.9
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Referrals and Re-referrals,100,616.9,15,15,16,16,6,6,93,573.7,14,15.1
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Referrals and Re-referrals,5031,787.7,789,15.7,0,0,2158,42.9,4650,728.1,706,15.2
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Referrals and Re-referrals,1670,451,148,8.9,113,6.8,486,29.1,1667,450.2,147,8.8
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Referrals and Re-referrals,3376,564.1,601,17.8,707,20.9,804,23.8,3064,512,517,16.9
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Referrals and Re-referrals,2250,530.4,392,17.4,55,2.4,370,16.4,2083,491,346,16.6
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Referrals and Re-referrals,2427,839.1,665,27.4,1184,48.8,0,0,2040,705.3,514,25.2
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Referrals and Re-referrals,3464,557.9,709,20.5,587,16.9,1168,33.7,3036,489,585,19.3
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Referrals and Re-referrals,4036,588.7,712,17.6,149,3.7,445,11,3631,529.6,607,16.7
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Referrals and Re-referrals,4844,562.8,710,14.7,219,4.5,1444,29.8,4552,528.9,629,13.8
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Referrals and Re-referrals,3579,548.1,573,16,417,11.7,1418,39.6,3293,504.3,493,15
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Referrals and Re-referrals,5152,712.7,1205,23.4,315,6.1,464,9,4554,630,1043,22.9
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Referrals and Re-referrals,3771,585,961,25.5,349,9.3,1167,30.9,3313,513.9,784,23.7
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Referrals and Re-referrals,2012,412.4,314,15.6,105,5.2,1089,54.1,1874,384.1,305,16.3
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Referrals and Re-referrals,3571,561.9,520,14.6,117,3.3,1049,29.4,3310,520.9,470,14.2
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Referrals and Re-referrals,2814,300.4,493,17.5,163,5.8,456,16.2,2559,273.2,405,15.8
