time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,population_count,population_estimate,number,rate_per_10000
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children looked after at 31 March each year,44021,579,132
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children starting to be looked after each year,44021,163,37
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children ceasing to be looked after each year,22633,80,35
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children looked after at 31 March each year,22633,272,120
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children starting to be looked after each year,22633,82,36
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children ceasing to be looked after each year,101979,304,30
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children looked after at 31 March each year,101979,949,93
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Children starting to be looked after each year,101979,334,33
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children ceasing to be looked after each year,58801,171,29
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children looked after at 31 March each year,58801,436,74
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Children starting to be looked after each year,58801,172,29
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children ceasing to be looked after each year,58922,224,38
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children looked after at 31 March each year,58922,681,116
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Children starting to be looked after each year,58922,237,40
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children ceasing to be looked after each year,42017,113,27
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children looked after at 31 March each year,42017,290,69
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Children starting to be looked after each year,42017,103,25
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children ceasing to be looked after each year,30255,118,39
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children looked after at 31 March each year,30255,292,97
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Children starting to be looked after each year,30255,115,38
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children ceasing to be looked after each year,54965,221,40
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children looked after at 31 March each year,54965,615,112
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Children starting to be looked after each year,54965,251,46
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children ceasing to be looked after each year,39201,156,40
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children looked after at 31 March each year,39201,440,112
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,Children starting to be looked after each year,39201,179,46
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children ceasing to be looked after each year,28845,54,19
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children looked after at 31 March each year,28845,308,107
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Children starting to be looked after each year,28845,85,29
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children ceasing to be looked after each year,44177,98,22
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children looked after at 31 March each year,44177,366,83
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Children starting to be looked after each year,44177,100,23
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children ceasing to be looked after each year,38653,125,32
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children looked after at 31 March each year,38653,374,97
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Children starting to be looked after each year,38653,86,22
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children ceasing to be looked after each year,29110,226,78
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children looked after at 31 March each year,29110,610,210
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Children starting to be looked after each year,29110,181,62
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children ceasing to be looked after each year,78068,148,19
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children looked after at 31 March each year,78068,518,66
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Children starting to be looked after each year,78068,130,17
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children ceasing to be looked after each year,69178,130,19
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children looked after at 31 March each year,69178,508,73
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Children starting to be looked after each year,69178,146,21
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children ceasing to be looked after each year,68931,229,33
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children looked after at 31 March each year,68931,617,90
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Children starting to be looked after each year,68931,214,31
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children ceasing to be looked after each year,43180,107,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children looked after at 31 March each year,43180,347,80
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Children starting to be looked after each year,43180,107,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children ceasing to be looked after each year,123872,458,37
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children looked after at 31 March each year,123872,1371,111
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Children starting to be looked after each year,123872,412,33
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children ceasing to be looked after each year,59450,187,31
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children looked after at 31 March each year,59450,528,89
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Children starting to be looked after each year,59450,190,32
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children ceasing to be looked after each year,53846,141,26
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children looked after at 31 March each year,53846,559,104
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Children starting to be looked after each year,53846,165,31
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children ceasing to be looked after each year,58442,188,32
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children looked after at 31 March each year,58442,536,92
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Children starting to be looked after each year,58442,166,28
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children ceasing to be looked after each year,63903,133,21
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children looked after at 31 March each year,63903,407,64
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Children starting to be looked after each year,63903,172,27
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children ceasing to be looked after each year,50956,217,43
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children looked after at 31 March each year,50956,682,134
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Children starting to be looked after each year,50956,195,38
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children ceasing to be looked after each year,56626,106,19
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children looked after at 31 March each year,56626,390,69
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Children starting to be looked after each year,56626,117,21
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children ceasing to be looked after each year,69384,136,20
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children looked after at 31 March each year,69384,646,93
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Children starting to be looked after each year,69384,246,35
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children ceasing to be looked after each year,34437,84,24
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children looked after at 31 March each year,34437,313,91
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Children starting to be looked after each year,34437,87,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children ceasing to be looked after each year,96744,333,34
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children looked after at 31 March each year,96744,1517,157
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Children starting to be looked after each year,96744,430,44
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children ceasing to be looked after each year,36893,134,36
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children looked after at 31 March each year,36893,478,130
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Children starting to be looked after each year,36893,115,31
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children ceasing to be looked after each year,54098,134,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children looked after at 31 March each year,54098,613,113
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Children starting to be looked after each year,54098,180,33
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children ceasing to be looked after each year,67431,169,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children looked after at 31 March each year,67431,827,123
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Children starting to be looked after each year,67431,181,27
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children ceasing to be looked after each year,92373,196,21
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children looked after at 31 March each year,92373,739,80
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Children starting to be looked after each year,92373,212,23
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children ceasing to be looked after each year,252984,628,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children looked after at 31 March each year,252984,2006,79
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Children starting to be looked after each year,252984,537,21
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children ceasing to be looked after each year,57585,282,49
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children looked after at 31 March each year,57585,948,165
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,Children starting to be looked after each year,57585,362,63
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children ceasing to be looked after each year,63378,98,15
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children looked after at 31 March each year,63378,344,54
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,Children starting to be looked after each year,63378,100,16
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children ceasing to be looked after each year,34460,158,46
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children looked after at 31 March each year,34460,595,173
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,Children starting to be looked after each year,34460,179,52
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children ceasing to be looked after each year,35677,86,24
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children looked after at 31 March each year,35677,207,58
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,Children starting to be looked after each year,35677,62,17
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children ceasing to be looked after each year,36602,71,19
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children looked after at 31 March each year,36602,279,76
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,Children starting to be looked after each year,36602,84,23
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children ceasing to be looked after each year,51621,130,25
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children looked after at 31 March each year,51621,330,64
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Children starting to be looked after each year,51621,158,31
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children ceasing to be looked after each year,67362,154,23
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children looked after at 31 March each year,67362,547,81
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,Children starting to be looked after each year,67362,188,28
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children ceasing to be looked after each year,57453,186,32
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children looked after at 31 March each year,57453,595,104
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,Children starting to be looked after each year,57453,183,32
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children ceasing to be looked after each year,118398,281,24
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children looked after at 31 March each year,118398,674,57
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,Children starting to be looked after each year,118398,326,28
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,Children ceasing to be looked after each year,142619,405,28
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,Children looked after at 31 March each year,142619,1348,95
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,Children starting to be looked after each year,142619,494,35
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,Children ceasing to be looked after each year,45951,88,19
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,Children looked after at 31 March each year,45951,341,74
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,Children starting to be looked after each year,45951,96,21
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,Children ceasing to be looked after each year,100020,233,23
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,Children looked after at 31 March each year,100020,661,66
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,Children starting to be looked after each year,100020,225,22
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,Children ceasing to be looked after each year,170581,389,23
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,Children looked after at 31 March each year,170581,1279,75
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,Children starting to be looked after each year,170581,323,19
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,Children ceasing to be looked after each year,74986,221,29
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,Children looked after at 31 March each year,74986,638,85
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,Children starting to be looked after each year,74986,220,29
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E10000023,Children ceasing to be looked after each year,117670,174,15
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E10000023,Children looked after at 31 March each year,117670,422,36
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E10000023,Children starting to be looked after each year,117670,149,13
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,Children ceasing to be looked after each year,59691,182,30
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,Children looked after at 31 March each year,59691,642,108
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,Children starting to be looked after each year,59691,239,40
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,Leicester,E06000016,Children ceasing to be looked after each year,84069,142,17
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,Leicester,E06000016,Children looked after at 31 March each year,84069,620,74
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,Leicester,E06000016,Children starting to be looked after each year,84069,151,18
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,Rutland,E06000017,Children ceasing to be looked after each year,7850,25,32
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,Rutland,E06000017,Children looked after at 31 March each year,7850,34,43
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,Rutland,E06000017,Children starting to be looked after each year,7850,14,18
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,Nottingham,E06000018,Children ceasing to be looked after each year,69285,198,29
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,Nottingham,E06000018,Children looked after at 31 March each year,69285,685,99
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,Nottingham,E06000018,Children starting to be looked after each year,69285,224,32
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,Children ceasing to be looked after each year,154757,341,22
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,Children looked after at 31 March each year,154757,899,58
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,Children starting to be looked after each year,154757,373,24
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,Leicestershire,E10000018,Children ceasing to be looked after each year,143343,188,13
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,Leicestershire,E10000018,Children looked after at 31 March each year,143343,705,49
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,Leicestershire,E10000018,Children starting to be looked after each year,143343,238,17
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,Lincolnshire,E10000019,Children ceasing to be looked after each year,147332,231,16
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,Lincolnshire,E10000019,Children looked after at 31 March each year,147332,680,46
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,Lincolnshire,E10000019,Children starting to be looked after each year,147332,287,19
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,Northamptonshire,E10000021,Children ceasing to be looked after each year,173087,397,23
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,Northamptonshire,E10000021,Children looked after at 31 March each year,173087,1143,66
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,Northamptonshire,E10000021,Children starting to be looked after each year,173087,377,22
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,Nottinghamshire,E10000024,Children ceasing to be looked after each year,168481,309,18
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,Nottinghamshire,E10000024,Children looked after at 31 March each year,168481,996,59
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,Nottinghamshire,E10000024,Children starting to be looked after each year,168481,392,23
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,"Herefordshire, County of",E06000019,Children ceasing to be looked after each year,36029,123,34
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,"Herefordshire, County of",E06000019,Children looked after at 31 March each year,36029,313,87
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,"Herefordshire, County of",E06000019,Children starting to be looked after each year,36029,84,23
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,Telford and Wrekin,E06000020,Children ceasing to be looked after each year,41646,104,25
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,Telford and Wrekin,E06000020,Children looked after at 31 March each year,41646,425,102
