time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,reason_for_change,number,percentage
2021,Reporting year,National,E92000001,England,Age,16 years and over,Resignation or closure of provision,140,1
2021,Reporting year,National,E92000001,England,Age,16 years and over,Responsible/Area authority requests placement to end,210,1
2021,Reporting year,National,E92000001,England,Age,16 years and over,Standards of care concern,100,1
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,All Placements,7590,15
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Allegation (s47),150,2
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Approval removed,80,1
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement end other than due to childs behaviour,530,7
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Carer requests placement ends due to childs behaviour,690,9
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Change in the status of a placement only,1970,26
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Change to/Implementation of care plan,2460,32
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Child requests placement to end,30,~
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Custody,0,0
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Other,1400,18
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Resignation or closure of provision,60,1
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Responsible/Area authority requests placement to end,120,2
2021,Reporting year,National,E92000001,England,Age,5 to 9 years,Standards of care concern,120,2
2021,Reporting year,National,E92000001,England,Age,Total,All Placements,52080,100
2021,Reporting year,National,E92000001,England,Age,Total,Allegation (s47),580,1
2021,Reporting year,National,E92000001,England,Age,Total,Approval removed,320,1
2021,Reporting year,National,E92000001,England,Age,Total,Carer requests placement end other than due to childs behaviour,2920,6
2021,Reporting year,National,E92000001,England,Age,Total,Carer requests placement ends due to childs behaviour,5200,10
2021,Reporting year,National,E92000001,England,Age,Total,Change in the status of a placement only,9310,18
2021,Reporting year,National,E92000001,England,Age,Total,Change to/Implementation of care plan,18180,35
2021,Reporting year,National,E92000001,England,Age,Total,Child requests placement to end,2010,4
2021,Reporting year,National,E92000001,England,Age,Total,Custody,200,~
2021,Reporting year,National,E92000001,England,Age,Total,Other,11620,22
2021,Reporting year,National,E92000001,England,Age,Total,Resignation or closure of provision,370,1
2021,Reporting year,National,E92000001,England,Age,Total,Responsible/Area authority requests placement to end,770,1
2021,Reporting year,National,E92000001,England,Age,Total,Standards of care concern,600,1
2021,Reporting year,National,E92000001,England,Age,Under 1 year,All Placements,5390,10
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Allegation (s47),40,1
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Approval removed,40,1
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement end other than due to childs behaviour,270,5
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Carer requests placement ends due to childs behaviour,30,1
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Change in the status of a placement only,820,15
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Change to/Implementation of care plan,2870,53
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Child requests placement to end,10,~
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Custody,0,0
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Other,1200,22
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Resignation or closure of provision,10,~
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Responsible/Area authority requests placement to end,60,1
2021,Reporting year,National,E92000001,England,Age,Under 1 year,Standards of care concern,50,1
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,All Placements,33100,64
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Allegation (s47),440,1
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Approval removed,230,1
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement end other than due to childs behaviour,1980,6
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Carer requests placement ends due to childs behaviour,3150,10
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change in the status of a placement only,6410,19
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Change to/Implementation of care plan,11680,35
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Child requests placement to end,1070,3
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Custody,100,~
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Other,6980,21
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Resignation or closure of provision,210,1
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Responsible/Area authority requests placement to end,450,1
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,Standards of care concern,400,1
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,All Placements,930,2
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Allegation (s47),10,1
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Approval removed,c,c
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement end other than due to childs behaviour,50,5
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Carer requests placement ends due to childs behaviour,140,15
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change in the status of a placement only,160,17
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Change to/Implementation of care plan,280,30
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Child requests placement to end,20,3
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Custody,10,1
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Other,200,21
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Resignation or closure of provision,30,3
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Responsible/Area authority requests placement to end,20,2
2021,Reporting year,National,E92000001,England,Category of need,N2. Child’s disability,Standards of care concern,20,2
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,All Placements,1360,3
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Allegation (s47),10,1
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Approval removed,10,1
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement end other than due to childs behaviour,80,6
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Carer requests placement ends due to childs behaviour,100,7
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change in the status of a placement only,280,21
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Change to/Implementation of care plan,550,40
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Child requests placement to end,40,3
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Custody,0,0
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Other,250,19
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Resignation or closure of provision,10,1
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Responsible/Area authority requests placement to end,20,2
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,Standards of care concern,20,1
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,All Placements,4450,9
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Allegation (s47),30,1
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Approval removed,20,~
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement end other than due to childs behaviour,220,5
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Carer requests placement ends due to childs behaviour,590,13
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change in the status of a placement only,610,14
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Change to/Implementation of care plan,1390,31
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Child requests placement to end,240,5
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Custody,20,1
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Other,1150,26
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Resignation or closure of provision,30,1
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Responsible/Area authority requests placement to end,90,2
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,Standards of care concern,60,1
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,All Placements,7840,15
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Allegation (s47),70,1
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Approval removed,40,1
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement end other than due to childs behaviour,410,5
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Carer requests placement ends due to childs behaviour,790,10
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change in the status of a placement only,1420,18
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Change to/Implementation of care plan,2730,35
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Child requests placement to end,340,4
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Custody,20,~
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Other,1740,22
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Resignation or closure of provision,50,1
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Responsible/Area authority requests placement to end,140,2
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,Standards of care concern,90,1
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,All Placements,1090,2
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Allegation (s47),10,1
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Approval removed,c,c
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement end other than due to childs behaviour,50,4
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Carer requests placement ends due to childs behaviour,190,18
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change in the status of a placement only,110,10
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Change to/Implementation of care plan,330,30
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Child requests placement to end,50,5
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Custody,50,4
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Other,280,25
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Resignation or closure of provision,10,1
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Responsible/Area authority requests placement to end,20,1
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,Standards of care concern,c,c
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,All Placements,50,~
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Allegation (s47),c,c
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Approval removed,0,0
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement end other than due to childs behaviour,c,c
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Carer requests placement ends due to childs behaviour,10,11
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change in the status of a placement only,10,11
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Change to/Implementation of care plan,20,43
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Child requests placement to end,c,c
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Custody,0,0
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Other,10,23
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Resignation or closure of provision,c,c
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Responsible/Area authority requests placement to end,c,c
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,Standards of care concern,0,0
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,All Placements,3250,6
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Allegation (s47),20,1
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Approval removed,10,~
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement end other than due to childs behaviour,130,4
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Carer requests placement ends due to childs behaviour,230,7
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change in the status of a placement only,320,10
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Change to/Implementation of care plan,1190,37
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Child requests placement to end,240,7
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Custody,c,c
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Other,1020,31
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Resignation or closure of provision,40,1
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Responsible/Area authority requests placement to end,40,1
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,Standards of care concern,20,1
2021,Reporting year,National,E92000001,England,Category of need,Total,All Placements,52080,100
2021,Reporting year,National,E92000001,England,Category of need,Total,Allegation (s47),580,1
2021,Reporting year,National,E92000001,England,Category of need,Total,Approval removed,320,1
2021,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement end other than due to childs behaviour,2920,6
2021,Reporting year,National,E92000001,England,Category of need,Total,Carer requests placement ends due to childs behaviour,5200,10
2021,Reporting year,National,E92000001,England,Category of need,Total,Change in the status of a placement only,9310,18
2021,Reporting year,National,E92000001,England,Category of need,Total,Change to/Implementation of care plan,18180,35
2021,Reporting year,National,E92000001,England,Category of need,Total,Child requests placement to end,2010,4
2021,Reporting year,National,E92000001,England,Category of need,Total,Custody,200,~
2021,Reporting year,National,E92000001,England,Category of need,Total,Other,11620,22
2021,Reporting year,National,E92000001,England,Category of need,Total,Resignation or closure of provision,370,1
2021,Reporting year,National,E92000001,England,Category of need,Total,Responsible/Area authority requests placement to end,770,1
2021,Reporting year,National,E92000001,England,Category of need,Total,Standards of care concern,600,1
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,All Placements,7650,15
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Allegation (s47),80,1
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Approval removed,60,1
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement end other than due to childs behaviour,430,6
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Carer requests placement ends due to childs behaviour,580,8
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change in the status of a placement only,930,12
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Change to/Implementation of care plan,2890,38
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Child requests placement to end,170,2
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Custody,30,~
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Other,2330,30
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Resignation or closure of provision,20,~
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Responsible/Area authority requests placement to end,110,1
2021,Reporting year,National,E92000001,England,Duration of Placement,1. Under 2 weeks,Standards of care concern,40,1
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,All Placements,8490,16
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Allegation (s47),70,1
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Approval removed,40,1
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement end other than due to childs behaviour,570,7
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Carer requests placement ends due to childs behaviour,1070,13
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change in the status of a placement only,1010,12
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Change to/Implementation of care plan,2900,34
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Child requests placement to end,310,4
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Custody,70,1
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Other,2170,26
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Resignation or closure of provision,40,~
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Responsible/Area authority requests placement to end,160,2
2021,Reporting year,National,E92000001,England,Duration of Placement,2. From 2 weeks to under 8 weeks,Standards of care concern,90,1
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,All Placements,12740,24
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Allegation (s47),130,1
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Approval removed,80,1
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement end other than due to childs behaviour,790,6
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Carer requests placement ends due to childs behaviour,1530,12
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change in the status of a placement only,2020,16
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Change to/Implementation of care plan,4190,33
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Child requests placement to end,570,4
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Custody,60,~
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Other,2850,22
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Resignation or closure of provision,90,1
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Responsible/Area authority requests placement to end,220,2
2021,Reporting year,National,E92000001,England,Duration of Placement,3. From 8 weeks to under 6 months,Standards of care concern,200,2
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,All Placements,9550,18
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Allegation (s47),120,1
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Approval removed,50,1
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Carer requests placement end other than due to childs behaviour,480,5
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Carer requests placement ends due to childs behaviour,920,10
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Change in the status of a placement only,1650,17
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Change to/Implementation of care plan,3770,39
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Child requests placement to end,390,4
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Custody,30,~
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Other,1820,19
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Resignation or closure of provision,90,1
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Responsible/Area authority requests placement to end,130,1
2021,Reporting year,National,E92000001,England,Duration of Placement,4. From 6 months to under 1 year,Standards of care concern,100,1
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,All Placements,8040,15
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Allegation (s47),90,1
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Approval removed,40,1
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Carer requests placement end other than due to childs behaviour,360,4
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Carer requests placement ends due to childs behaviour,620,8
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Change in the status of a placement only,1900,24
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Change to/Implementation of care plan,2980,37
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Child requests placement to end,300,4
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Custody,10,~
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Other,1520,19
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Resignation or closure of provision,70,1
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Responsible/Area authority requests placement to end,90,1
2021,Reporting year,National,E92000001,England,Duration of Placement,5. From 1 year to under 2 years,Standards of care concern,90,1
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,All Placements,2820,5
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Allegation (s47),40,1
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Approval removed,20,1
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Carer requests placement end other than due to childs behaviour,120,4
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Carer requests placement ends due to childs behaviour,210,7
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Change in the status of a placement only,880,31
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Change to/Implementation of care plan,830,29
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Child requests placement to end,120,4
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Custody,c,c
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Other,480,17
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Resignation or closure of provision,40,1
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Responsible/Area authority requests placement to end,30,1
2021,Reporting year,National,E92000001,England,Duration of Placement,6. From 2 years to under 3 years,Standards of care concern,40,2
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,All Placements,1750,3
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Allegation (s47),20,1
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Approval removed,20,1
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Carer requests placement end other than due to childs behaviour,90,5
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Carer requests placement ends due to childs behaviour,170,10
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Change in the status of a placement only,580,33
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Change to/Implementation of care plan,410,24
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Child requests placement to end,100,5
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Custody,c,c
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Other,280,16
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Resignation or closure of provision,20,1
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Responsible/Area authority requests placement to end,20,1
2021,Reporting year,National,E92000001,England,Duration of Placement,7. From 3 years to under 5 years,Standards of care concern,30,2
2021,Reporting year,National,E92000001,England,Duration of Placement,8. From 5 years to under 10 years,All Placements,960,2
