time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,in_touch,number,percentage
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Young person no longer requires services,30,1
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Young person refuses contact,10,~
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Local authority in touch with care leaver,6440,90
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Local authority not in touch with care leaver,440,6
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Total,7200,100
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Young person no longer requires services,200,3
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Young person refuses contact,110,2
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Local authority in touch with care leaver,1700,90
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Local authority not in touch with care leaver,170,9
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Total,1900,100
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Young person no longer requires services,20,1
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Young person refuses contact,10,1
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Local authority in touch with care leaver,4250,88
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Local authority not in touch with care leaver,410,8
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Total,4840,100
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Young person no longer requires services,130,3
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Young person refuses contact,60,1
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Local authority in touch with care leaver,940,94
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Local authority not in touch with care leaver,60,6
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Total,1010,100
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Young person no longer requires services,c,c
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Young person refuses contact,10,1
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Local authority in touch with care leaver,2460,93
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Local authority not in touch with care leaver,140,5
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Total,2650,100
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Young person no longer requires services,20,1
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Young person refuses contact,40,1
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Local authority in touch with care leaver,1120,96
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Local authority not in touch with care leaver,40,3
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Total,1170,100
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Young person no longer requires services,10,1
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Local authority in touch with care leaver,2790,92
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Local authority not in touch with care leaver,160,5
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Total,3030,100
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Young person no longer requires services,60,2
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Young person refuses contact,20,1
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Local authority in touch with care leaver,1300,93
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Local authority not in touch with care leaver,90,6
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Total,1410,100
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Young person no longer requires services,10,1
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Local authority in touch with care leaver,3650,88
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Local authority not in touch with care leaver,280,7
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Total,4160,100
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Young person no longer requires services,150,3
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,19 to 21 years,Young person refuses contact,100,2
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Local authority in touch with care leaver,21,91
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Total,23,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Local authority in touch with care leaver,69,85
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Local authority not in touch with care leaver,11,14
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Total,81,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,19 to 21 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Local authority in touch with care leaver,45,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Local authority not in touch with care leaver,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Total,45,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,17 to 18 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Local authority in touch with care leaver,113,98
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Total,115,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,19 to 21 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Local authority in touch with care leaver,44,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Local authority not in touch with care leaver,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Total,44,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,17 to 18 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Local authority in touch with care leaver,74,94
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Total,79,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,19 to 21 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Local authority in touch with care leaver,45,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Local authority not in touch with care leaver,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Total,45,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,17 to 18 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Local authority in touch with care leaver,107,99
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Total,108,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,19 to 21 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Local authority in touch with care leaver,18,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Local authority not in touch with care leaver,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Total,18,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,17 to 18 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Local authority in touch with care leaver,58,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Local authority not in touch with care leaver,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Total,58,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,19 to 21 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Local authority in touch with care leaver,76,97
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Total,78,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Local authority in touch with care leaver,183,93
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Total,197,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,19 to 21 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Local authority in touch with care leaver,45,96
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Total,47,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Local authority in touch with care leaver,118,97
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Total,122,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,19 to 21 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Local authority in touch with care leaver,63,98
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Total,64,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Local authority in touch with care leaver,192,91
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Local authority not in touch with care leaver,17,8
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Total,210,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,19 to 21 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Local authority in touch with care leaver,32,84
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Total,38,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Local authority in touch with care leaver,109,91
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Local authority not in touch with care leaver,8,7
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Total,120,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,19 to 21 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Local authority in touch with care leaver,35,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Local authority not in touch with care leaver,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Total,35,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,17 to 18 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Local authority in touch with care leaver,96,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Total,96,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Young person no longer requires services,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,19 to 21 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Local authority in touch with care leaver,57,98
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Local authority not in touch with care leaver,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Total,58,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Local authority in touch with care leaver,150,93
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Local authority not in touch with care leaver,11,7
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Total,161,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Young person no longer requires services,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,19 to 21 years,Young person refuses contact,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,17 to 18 years,Local authority in touch with care leaver,28,76
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,17 to 18 years,Local authority not in touch with care leaver,8,22
