time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,9060
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,120
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,40
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,50
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1130
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,130
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,5080
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,70
2018,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,15670
2018,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Foster placements,3310
2018,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Living independently,3900
2018,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Other placements,250
2018,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed with parents,70
2018,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,"Secure units, children's homes and semi-independent living accommodation",8150
2018,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,15670
2019,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,c
2019,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,3620
2019,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,9960
2019,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,20
2019,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,13610
2019,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,10
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,7810
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,110
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,40
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,50
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1220
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,160
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,4120
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,90
2019,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,13610
2019,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Foster placements,2470
2019,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Living independently,3470
2019,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Other placements,260
2019,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed with parents,80
2019,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,"Secure units, children's homes and semi-independent living accommodation",7340
2019,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,13610
2020,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,c
2020,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,3830
2020,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,9850
2020,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,10
2020,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,13690
2020,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,c
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,7820
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,160
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,70
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,60
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1380
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,180
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,3960
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,70
2020,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,13690
2020,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Foster placements,2880
2020,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Living independently,2780
2020,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Other placements,240
2020,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed with parents,80
2020,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,"Secure units, children's homes and semi-independent living accommodation",7710
2020,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,13690
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,c
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2310
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,8030
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,10
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,10360
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,c
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 1 and 2 days,5970
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 11 and 15 days,110
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 16 and 20 days,50
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 21 and 30 days,40
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 3 and 7 days,1080
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Between 8 and 10 days,110
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Less than 1 day,2900
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,More than 30 days,100
2021,Reporting year,National,E92000001,England,Durations of away from placement without authorisation periods,Total incidents,10360
2021,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Foster placements,1620
2021,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Living independently,1460
2021,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Other placements,130
2021,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed with parents,70
2021,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,"Secure units, children's homes and semi-independent living accommodation",7090
2021,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,10360
2018,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed for adoption,0
2019,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed for adoption,0
2020,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed for adoption,0
2021,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Placed for adoption,0
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,2060
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1890
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1810
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1390
2018,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total away from placement without authorisation incidents during the year,15670
2019,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total away from placement without authorisation incidents during the year,13610
2020,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total away from placement without authorisation incidents during the year,13690
2021,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total away from placement without authorisation incidents during the year,10360
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation at 31 March,50
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation at 31 March,40
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation at 31 March,40
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation at 31 March,30
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,3.8
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,4
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,3
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,3
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,2
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,1.7
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,2
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,1.9
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,2.4
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
