time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,N1_Abuse_or_neglect,N2_Childs_disability_or_illness,N3_Parents_disability_or_illness,N4_Family_in_acute_stress,N5_Family_dysfunction,N6_Socially_unacceptable_behaviour,N7_Low_income,N8_Absent_parenting,N9_Cases_other_than_CIN,N0_Not_stated
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary need at assessment,1975,1391,90,88,67,218,61,39,c,0,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Primary need at assessment,2794,2183,215,22,102,160,27,0,17,30,38
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary need at assessment,1037,710,24,21,33,188,24,0,23,c,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary need at assessment,1214,762,90,16,111,188,42,c,c,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Primary need at assessment,7602,4245,671,118,499,1832,34,23,180,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary need at assessment,4329,2888,87,65,399,449,59,c,260,c,114
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary need at assessment,5312,3644,404,91,235,253,99,9,339,10,228
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary need at assessment,2522,1325,148,24,127,749,104,0,29,7,9
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary need at assessment,2800,1956,384,28,167,225,21,c,c,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary need at assessment,2132,1100,62,7,114,761,32,0,18,13,25
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Primary need at assessment,2165,827,151,43,412,671,c,c,30,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Primary need at assessment,1516,1179,88,11,57,142,21,0,18,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary need at assessment,2438,1005,155,74,378,682,69,0,29,33,13
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary need at assessment,2353,1783,45,c,174,230,65,c,39,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary need at assessment,1467,961,52,21,242,116,40,c,26,c,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Primary need at assessment,1468,890,76,11,128,216,85,c,55,c,c
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary need at assessment,2679,1846,214,55,283,203,46,0,25,7,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Primary need at assessment,2562,1932,175,34,118,205,42,c,35,c,14
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Primary need at assessment,1818,1475,117,c,37,85,c,c,7,87,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Primary need at assessment,6328,5713,277,12,116,98,10,19,83,0,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Primary need at assessment,1248,1015,39,16,45,71,c,0,47,c,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Primary need at assessment,2482,1916,222,26,90,165,17,c,31,c,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Primary need at assessment,1901,963,363,c,65,357,23,0,40,72,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Primary need at assessment,3772,2718,170,46,185,463,16,c,120,35,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Primary need at assessment,2179,1398,129,15,230,263,13,10,46,0,75
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Primary need at assessment,5128,3218,194,104,232,216,153,45,227,0,739
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Primary need at assessment,2214,1749,128,78,c,186,18,c,47,c,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Primary need at assessment,1120,606,59,c,42,196,21,c,77,31,78
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Primary need at assessment,2800,1643,351,13,627,67,c,c,44,42,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Primary need at assessment,2235,2082,31,11,45,50,c,0,c,7,0
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Primary need at assessment,4181,2604,243,55,504,559,72,43,86,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Primary need at assessment,2703,2023,126,40,78,314,46,c,72,c,c
2021,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Primary need at assessment,1091,679,141,42,102,47,33,c,c,26,0
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Primary need at assessment,2838,1963,240,121,188,96,120,c,96,c,0
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Primary need at assessment,5588,2777,422,497,771,505,130,14,128,289,55
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Primary need at assessment,1990,1466,18,38,142,155,20,c,58,c,84
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Primary need at assessment,3088,1831,153,104,234,467,56,12,123,56,52
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Primary need at assessment,3192,2513,241,30,26,195,c,c,105,70,0
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Primary need at assessment,4877,1899,532,164,205,1155,66,22,166,615,53
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Primary need at assessment,2929,2030,135,16,140,169,33,26,39,12,329
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Primary need at assessment,4580,1347,194,149,311,752,83,25,118,196,1405
2021,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Primary need at assessment,171,93,16,13,13,12,c,0,15,c,0
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary need at assessment,8545,5442,480,96,918,722,204,53,342,10,278
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary need at assessment,3640,3172,182,23,59,88,15,7,33,61,0
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary need at assessment,2493,1642,231,28,148,327,50,c,29,27,c
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary need at assessment,1447,663,85,65,51,142,64,0,32,93,252
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary need at assessment,3411,2689,68,17,154,223,47,7,141,13,52
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Primary need at assessment,1939,1082,291,25,93,121,21,0,55,54,197
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary need at assessment,1661,583,76,85,304,344,79,c,172,9,c
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary need at assessment,5462,1231,619,30,1218,1874,c,c,183,198,106
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary need at assessment,3346,2324,262,175,129,290,67,8,44,14,33
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary need at assessment,1407,1062,236,c,24,40,18,c,19,0,0
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary need at assessment,1927,1025,65,65,87,414,85,c,83,73,c
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Primary need at assessment,4165,1527,476,c,362,1274,70,c,261,32,141
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary need at assessment,2254,997,103,61,153,575,38,10,22,13,282
2021,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary need at assessment,3210,2199,390,92,194,193,28,c,90,14,c
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Primary need at assessment,1346,825,219,18,47,141,22,6,61,7,0
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Primary need at assessment,2615,1745,219,32,196,128,40,c,248,c,0
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Primary need at assessment,1261,741,79,23,128,103,40,c,141,c,0
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Primary need at assessment,5973,3747,1197,46,267,279,45,c,335,37,c
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Primary need at assessment,5104,1613,1051,302,544,1401,58,109,17,9,0
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Primary need at assessment,1844,1278,300,15,38,81,c,17,98,0,c
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Primary need at assessment,4433,2410,213,36,406,279,52,14,138,35,850
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Primary need at assessment,1606,1267,103,14,42,81,31,c,66,0,c
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Primary need at assessment,1150,769,75,9,52,50,35,c,50,c,98
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Primary need at assessment,3937,2860,178,42,294,261,47,8,247,0,0
2021,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Primary need at assessment,1726,1124,184,7,90,121,33,6,139,14,8
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Primary need at assessment,954,548,83,42,63,100,47,0,12,0,59
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Primary need at assessment,1920,744,77,27,315,142,37,c,63,c,498
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Primary need at assessment,3453,1929,261,47,344,634,85,c,58,c,56
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Primary need at assessment,3128,1770,171,20,215,456,23,20,133,21,299
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Primary need at assessment,8561,1918,486,147,174,5539,c,c,278,0,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Primary need at assessment,1283,365,79,29,18,770,c,c,14,0,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Primary need at assessment,10853,2863,997,63,1432,3885,155,7,1417,26,8
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Primary need at assessment,1793,1158,195,70,127,166,47,c,c,0,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Primary need at assessment,2323,839,615,154,141,372,72,7,90,0,33
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Primary need at assessment,4280,2327,356,312,484,319,77,13,176,121,95
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Primary need at assessment,1633,970,68,43,128,192,41,7,177,7,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Primary need at assessment,1562,803,130,93,235,148,67,c,40,27,c
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Primary need at assessment,1634,1209,128,39,60,95,57,8,29,9,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Primary need at assessment,2210,1716,212,18,86,92,c,c,73,0,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Primary need at assessment,5777,3315,678,31,586,659,75,6,390,37,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Primary need at assessment,864,410,95,c,103,166,33,c,42,0,0
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Primary need at assessment,5853,3152,302,279,467,267,87,8,151,63,1077
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Primary need at assessment,839,292,34,17,122,187,c,c,38,13,125
2021,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Primary need at assessment,930,499,57,57,98,47,c,0,37,c,121
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Primary need at assessment,951,470,133,11,99,78,c,0,22,c,124
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Primary need at assessment,2695,1176,184,179,280,516,69,c,118,163,c
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Primary need at assessment,2325,1602,105,64,147,220,19,15,153,0,0
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Primary need at assessment,3032,1058,177,228,504,327,42,c,c,250,423
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Primary need at assessment,3279,1968,172,101,467,348,47,14,77,11,74
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Primary need at assessment,2205,1096,166,31,215,539,c,c,82,48,0
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Primary need at assessment,3753,2530,78,19,316,597,38,6,169,0,0
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Primary need at assessment,30,c,c,c,c,0,c,0,0,7,14
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Primary need at assessment,978,297,188,32,236,160,10,0,55,0,0
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Primary need at assessment,2239,1598,231,147,27,67,63,26,53,27,0
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Primary need at assessment,2203,1685,82,40,191,97,14,0,47,31,16
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Primary need at assessment,1601,477,88,53,500,338,44,6,12,29,54
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Primary need at assessment,1420,614,151,63,155,222,60,c,c,44,78
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Primary need at assessment,1434,811,80,101,81,136,28,c,c,59,123
2021,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Primary need at assessment,2453,1720,310,17,86,188,c,c,92,15,18
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Primary need at assessment,1923,888,245,98,204,214,52,10,212,0,0
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Primary need at assessment,88,10,6,c,8,c,c,0,57,0,0
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Primary need at assessment,:,:,:,:,:,:,:,:,:,:,:
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Primary need at assessment,1400,795,73,59,186,134,60,6,82,c,c
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Primary need at assessment,2245,1127,154,65,394,153,112,18,173,13,36
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Primary need at assessment,2019,1082,234,c,165,184,85,c,200,11,13
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Primary need at assessment,746,198,c,41,192,108,59,c,120,0,0
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Primary need at assessment,2803,1214,227,153,406,313,179,27,205,69,10
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Primary need at assessment,2669,1668,307,43,114,220,89,11,198,19,0
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Primary need at assessment,3150,1297,272,101,293,393,166,260,184,0,184
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Primary need at assessment,2771,1299,316,171,447,215,95,8,220,0,0
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Primary need at assessment,2928,1265,348,174,268,280,177,40,177,46,153
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Primary need at assessment,1812,837,197,161,275,113,35,15,135,36,8
2021,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Primary need at assessment,1124,281,62,96,104,112,20,18,219,21,191
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Primary need at assessment,2927,1826,78,46,75,621,95,34,123,29,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Primary need at assessment,1640,713,94,21,208,365,38,c,198,0,c
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Primary need at assessment,1890,722,250,57,272,305,70,65,142,7,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Primary need at assessment,2694,1320,401,99,339,167,99,c,200,c,44
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Primary need at assessment,2364,876,321,75,473,394,109,9,107,0,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Primary need at assessment,3701,2191,338,c,144,225,40,0,725,c,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Primary need at assessment,3503,1565,329,250,470,306,157,20,168,150,88
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Primary need at assessment,2382,1307,389,52,120,172,81,35,192,c,c
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Primary need at assessment,2164,898,391,156,90,371,111,16,108,0,23
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Primary need at assessment,1720,791,229,112,206,182,66,21,113,0,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Primary need at assessment,1792,939,299,18,83,83,139,9,114,55,53
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Primary need at assessment,2497,1543,161,52,183,165,95,c,291,c,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Primary need at assessment,1730,1157,186,17,87,72,41,c,166,c,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Primary need at assessment,981,538,50,27,149,106,c,0,86,c,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Primary need at assessment,1485,726,131,73,144,152,57,c,131,c,56
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Primary need at assessment,2176,1255,420,71,109,120,58,c,134,c,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Primary need at assessment,915,531,55,c,90,114,16,0,94,c,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Primary need at assessment,1855,642,399,44,356,215,34,8,157,0,0
2021,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Primary need at assessment,2215,1010,87,95,361,263,110,23,156,0,110
2020,Reporting year,National,E92000001,England,,,,,,Primary need at assessment,389260,217440,31940,9420,32860,54810,8180,1540,15950,4110,13010
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Primary need at assessment,24630,13740,2030,230,2380,4660,430,60,290,90,740
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Primary need at assessment,58080,37530,3710,890,4510,8090,1010,110,1280,150,800
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary need at assessment,41410,29600,2500,510,2280,3640,510,100,920,270,1080
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary need at assessment,29920,15760,1530,970,2240,3890,520,130,890,1550,2440
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary need at assessment,43950,24100,3470,920,4050,5840,1020,100,1580,470,2400
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Primary need at assessment,31790,19080,3750,640,2000,3010,440,130,1420,100,1210
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Primary need at assessment,68430,33690,7420,2850,6840,7360,2740,720,5540,560,720
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Primary need at assessment,59950,26800,5310,1410,5060,14260,980,120,3090,420,2510
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Primary need at assessment,31110,17150,2230,1010,3500,4080,530,70,940,500,1100
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Primary need at assessment,28960,13950,2780,1500,3300,2950,1330,400,2140,200,410
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Primary need at assessment,39470,19740,4640,1350,3550,4410,1400,320,3400,360,310
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary need at assessment,927,589,62,c,32,64,c,0,c,c,166
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary need at assessment,3551,2791,201,35,117,188,63,0,44,26,86
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Primary need at assessment,1516,371,194,c,94,791,17,0,19,c,20
