time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,ReportGroup,Description,AllocatedDSGFunding,Plannedspend,Net
201920,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),418.88649292,465.14954785,-46.26305493
201920,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,DSG Funding Allocation,Schools (after academy recoupment),991.92819873,980.26155272,11.66664601
201920,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,DSG Funding Allocation,Total DSG,1735.83291139,1767.10005447,-31.26714308
201920,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,DSG Funding Allocation,Central School Services,55.97447995,55.74639534,0.22808461
201920,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,DSG Funding Allocation,Early Years,379.05250495,375.52521341,3.52729154
201920,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),564.48397591,571.0365206,-6.55254469
201920,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,DSG Funding Allocation,Schools (after academy recoupment),1616.35797964,1611.08364344,5.2743362
201920,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,DSG Funding Allocation,Total DSG,2615.86894045,2613.39177279,2.47716765999999
201920,Financial year,Regional,England,E92000001,East of England,E12000006,,,,DSG Funding Allocation,Central School Services,49.687452,48.29158297,1.39586903
201920,Financial year,Regional,England,E92000001,East of England,E12000006,,,,DSG Funding Allocation,Early Years,373.52432,368.34783668,5.17648332
201920,Financial year,Regional,England,E92000001,East of England,E12000006,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),522.876056,567.47496991,-44.59891391
201920,Financial year,Regional,England,E92000001,East of England,E12000006,,,,DSG Funding Allocation,Schools (after academy recoupment),1311.526004,1305.05937061,6.46663339
201920,Financial year,Regional,England,E92000001,East of England,E12000006,,,,DSG Funding Allocation,Total DSG,2257.613832,2289.17376017,-31.55992817
201920,Financial year,Regional,England,E92000001,South East,E12000008,,,,DSG Funding Allocation,Central School Services,70.93153686,66.09860763,4.83292923
201920,Financial year,Regional,England,E92000001,South East,E12000008,,,,DSG Funding Allocation,Early Years,540.84875214,532.53099465,8.31775749
201920,Financial year,Regional,England,E92000001,South East,E12000008,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),920.41831824,1059.33748256,-138.91916432
201920,Financial year,Regional,England,E92000001,South East,E12000008,,,,DSG Funding Allocation,Schools (after academy recoupment),2652.9776145,2625.64628533,27.33132917
201920,Financial year,Regional,England,E92000001,South East,E12000008,,,,DSG Funding Allocation,Total DSG,4185.17622174,4283.61337017,-98.43714843
201920,Financial year,Regional,England,E92000001,South West,E12000009,,,,DSG Funding Allocation,Central School Services,41.58925945,40.71984538,0.86941407
201920,Financial year,Regional,England,E92000001,South West,E12000009,,,,DSG Funding Allocation,Early Years,305.72564469,303.83564146,1.89000323
201920,Financial year,Regional,England,E92000001,South West,E12000009,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),475.13473207,545.37799705,-70.24326498
201920,Financial year,Regional,England,E92000001,South West,E12000009,,,,DSG Funding Allocation,Schools (after academy recoupment),1022.45106726,1014.77421099,7.67685627
201920,Financial year,Regional,England,E92000001,South West,E12000009,,,,DSG Funding Allocation,Total DSG,1844.90070347,1904.70769488,-59.80699141
201920,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,DSG Funding Allocation,Central School Services,33.16972674,30.5877639,2.58196284
201920,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,DSG Funding Allocation,Early Years,295.79164382,291.89186271,3.89978111
201920,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),460.34305808,516.95872189,-56.61566381
201920,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,DSG Funding Allocation,Schools (after academy recoupment),1491.76223697,1484.39373606,7.36850091
201920,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,DSG Funding Allocation,Total DSG,2281.06666561,2323.83208456,-42.76541895
201920,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,DSG Funding Allocation,Central School Services,50.65985686,50.91080977,-0.25095291
201920,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,DSG Funding Allocation,Early Years,411.80795297,404.19054359,7.61740938
201920,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),687.61335649,764.56989918,-76.95654269
201920,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,DSG Funding Allocation,Schools (after academy recoupment),1863.73287087,1874.14987148,-10.41700061
201920,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,DSG Funding Allocation,Total DSG,3013.81403719,3093.82112402,-80.00708683
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,DSG Funding Allocation,Central School Services,0.91807541,0.55217837,0.36589704
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,DSG Funding Allocation,Early Years,6.13843904,6.23406956,-0.09563052
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),8.95589237,10.08985936,-1.13396699
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,DSG Funding Allocation,Schools (after academy recoupment),32.12761469,31.83023629,0.2973784
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,DSG Funding Allocation,Total DSG,48.14002151,48.70634358,-0.56632207
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,DSG Funding Allocation,Central School Services,1.136252,1.045304,0.090948
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,DSG Funding Allocation,Early Years,11.2043,11.203234,0.001066
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),17.93559,19.90206,-1.96647
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,DSG Funding Allocation,Schools (after academy recoupment),18.342291,17.267239,1.075052
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,DSG Funding Allocation,Total DSG,48.618433,49.417837,-0.799404
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,DSG Funding Allocation,Central School Services,0.8574,0.8574,0
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,DSG Funding Allocation,Early Years,7.64354,7.650925,-0.007385
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),13.424705,16.100994,-2.676289
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,DSG Funding Allocation,Schools (after academy recoupment),21.87606,21.460179,0.415881
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,DSG Funding Allocation,Total DSG,43.801705,46.069498,-2.267793
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,DSG Funding Allocation,Central School Services,0.876289,1.021589,-0.1453
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,DSG Funding Allocation,Early Years,13.180343,12.904532,0.275811
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),16.824208,20.529684,-3.705476
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,DSG Funding Allocation,Schools (after academy recoupment),41.34916,39.674684,1.674476
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,DSG Funding Allocation,Total DSG,72.23,74.130489,-1.900489
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,DSG Funding Allocation,Central School Services,1.459432,1.359064,0.100368
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,DSG Funding Allocation,Early Years,7.087952,7.011136,0.076816
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),8.789198,11.207238,-2.41804
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,DSG Funding Allocation,Schools (after academy recoupment),6.027156,5.561501,0.465655
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,DSG Funding Allocation,Total DSG,23.363738,25.138939,-1.775201
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,DSG Funding Allocation,Central School Services,2.85617,2.84017,0.016
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,DSG Funding Allocation,Early Years,31.833236,31.928236,-0.095
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),48.522123,57.120123,-8.598
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,DSG Funding Allocation,Schools (after academy recoupment),197.750094,197.402527,0.347567
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Durham,840,E06000047,DSG Funding Allocation,Total DSG,280.961623,289.291056,-8.329433
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,DSG Funding Allocation,Central School Services,3.12761,3.241148,-0.113538
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,DSG Funding Allocation,Early Years,16.994411,17.175024,-0.180613
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),30.306708,24.666741,5.639967
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,DSG Funding Allocation,Schools (after academy recoupment),87.553423,92.140795,-4.587372
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,DSG Funding Allocation,Total DSG,137.982152,137.223708,0.758444
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,DSG Funding Allocation,Central School Services,1.632,1.420015,0.211985
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,DSG Funding Allocation,Early Years,20.972,20.44337417,0.52862583
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),27.765,25.42281441,2.34218559
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,DSG Funding Allocation,Schools (after academy recoupment),71.862,72.07279634,-0.21079634
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,DSG Funding Allocation,Total DSG,122.231,119.35899992,2.87200008
201920,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,DSG Funding Allocation,Central School Services,2.343094,2.343094,0
201920,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,DSG Funding Allocation,Early Years,13.487601,13.936987,-0.449386
201920,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),20.030508,23.655832,-3.625324
201920,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,DSG Funding Allocation,Schools (after academy recoupment),105.749791,105.682637,0.067154
201920,Financial year,Local authority,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,DSG Funding Allocation,Total DSG,141.610994,145.61855,-4.007556
201920,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,DSG Funding Allocation,Central School Services,3.398781,3.398781,0
201920,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,DSG Funding Allocation,Early Years,10.132285,9.878327,0.253958
201920,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),16.606307,18.427129,-1.820822
201920,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,DSG Funding Allocation,Schools (after academy recoupment),63.291222,63.225299,0.065923
201920,Financial year,Local authority,England,E92000001,North East,E12000001,South Tyneside,393,E08000023,DSG Funding Allocation,Total DSG,93.428595,94.929536,-1.500941
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,DSG Funding Allocation,Central School Services,1.27505,1.25596019,0.01908981
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,DSG Funding Allocation,Early Years,19.227526,18.57194505,0.65558095
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),17.205452,20.74302114,-3.53756914
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,DSG Funding Allocation,Schools (after academy recoupment),53.152972,51.97862258,1.17434942
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Sunderland,394,E08000024,DSG Funding Allocation,Total DSG,90.861,92.54954896,-1.68854896
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,DSG Funding Allocation,Central School Services,1.72857835,1.47916469,0.24941366
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,DSG Funding Allocation,Early Years,14.03564671,13.08149905,0.95414766
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),19.61868917,21.30415566,-1.68546649
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,DSG Funding Allocation,Schools (after academy recoupment),67.02323544,65.73967356,1.28356188
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Gateshead,390,E08000037,DSG Funding Allocation,Total DSG,102.40614967,101.60449296,0.80165671
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,DSG Funding Allocation,Central School Services,0.667546,0.817451,-0.149905
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,DSG Funding Allocation,Early Years,9.951247,9.59194,0.359307
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),13.858523,15.251281,-1.392758
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,DSG Funding Allocation,Schools (after academy recoupment),51.229594,50.257337,0.972257
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,DSG Funding Allocation,Total DSG,75.70691,75.918009,-0.211099
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,DSG Funding Allocation,Central School Services,0.88546,0.88382767,0.00163233
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,DSG Funding Allocation,Early Years,13.956515,13.22796697,0.72854803
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),18.16898,19.42792445,-1.25894445
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,DSG Funding Allocation,Schools (after academy recoupment),69.396045,69.396045,0
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,DSG Funding Allocation,Total DSG,102.407,102.93576409,-0.52876409
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,DSG Funding Allocation,Central School Services,2.630571,3.341956,-0.711385
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,DSG Funding Allocation,Early Years,11.34708,11.452017,-0.104937
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),18.442962,20.567437,-2.124475
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,DSG Funding Allocation,Schools (after academy recoupment),67.74992,67.101802,0.648118
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackburn with Darwen,889,E06000008,DSG Funding Allocation,Total DSG,100.170533,102.463212,-2.292679
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,DSG Funding Allocation,Central School Services,1.606139,1.573659,0.03248
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,DSG Funding Allocation,Early Years,8.583321,8.614957,-0.031636
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),16.166116,19.249225,-3.083109
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,DSG Funding Allocation,Schools (after academy recoupment),19.459637,19.04399,0.415647
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Blackpool,890,E06000009,DSG Funding Allocation,Total DSG,45.815213,48.481831,-2.666618
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,DSG Funding Allocation,Central School Services,2.98853686,2.92853686,0.06
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,DSG Funding Allocation,Early Years,21.77872485,21.06072485,0.718
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),31.77967851,36.83367851,-5.054
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,DSG Funding Allocation,Schools (after academy recoupment),74.04895267,73.92895267,0.12
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire East,895,E06000049,DSG Funding Allocation,Total DSG,130.59589289,134.75189289,-4.156
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,DSG Funding Allocation,Central School Services,3.02782715,3.04944708,-0.02161993
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,DSG Funding Allocation,Early Years,20.885873,20.50314966,0.38272334
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),36.605215,37.94524514,-1.34003014
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,DSG Funding Allocation,Schools (after academy recoupment),141.54633763,141.60109258,-0.05475495
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Cheshire West and Chester,896,E06000050,DSG Funding Allocation,Total DSG,202.06525278,203.09893446,-1.03368168
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,DSG Funding Allocation,Central School Services,1.895,1.909087,-0.014087
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,DSG Funding Allocation,Early Years,21.493,21.329009,0.163991
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),28.452,36.07389,-7.62189
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,DSG Funding Allocation,Schools (after academy recoupment),119.158,116.887537,2.270463
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,DSG Funding Allocation,Total DSG,170.998,176.199523,-5.201523
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,DSG Funding Allocation,Central School Services,0.771,0.73204891,0.03895109
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,DSG Funding Allocation,Early Years,13.31144,13.27781292,0.03362708
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),27.107,33.31754681,-6.21054681
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,DSG Funding Allocation,Schools (after academy recoupment),93.64830795,92.92132681,0.72698114
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,DSG Funding Allocation,Total DSG,134.83774795,140.24873545,-5.4109875
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,DSG Funding Allocation,Central School Services,3.65755328,4.37018568,-0.7126324
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,DSG Funding Allocation,Early Years,41.11338958,40.4398558,0.67353378
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),68.67492616,75.0209158,-6.34598964
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,DSG Funding Allocation,Schools (after academy recoupment),198.57545913,196.47181398,2.10364515
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,DSG Funding Allocation,Total DSG,312.02132815,316.30277126,-4.28144311
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,DSG Funding Allocation,Central School Services,2.998528,0,2.998528
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,DSG Funding Allocation,Early Years,18.575251,0,18.575251
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),24.207784,0,24.207784
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,DSG Funding Allocation,Schools (after academy recoupment),98.586267,0,98.586267
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,DSG Funding Allocation,Total DSG,144.36783,0,144.36783
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,DSG Funding Allocation,Central School Services,1.202,0.949546,0.252454
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,DSG Funding Allocation,Early Years,17.11,16.655993,0.454007
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),23.301601,27.411784,-4.110183
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,DSG Funding Allocation,Schools (after academy recoupment),128.952,129.084732,-0.132732
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,DSG Funding Allocation,Total DSG,170.565601,174.102055,-3.536454
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,DSG Funding Allocation,Central School Services,2.78117938,2.93502271,-0.15384333
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,DSG Funding Allocation,Early Years,19.18849304,0.58822689,18.60026615
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),28.01625117,35.12365965,-7.10740848
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,DSG Funding Allocation,Schools (after academy recoupment),107.72641227,125.76320661,-18.03679434
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,DSG Funding Allocation,Total DSG,157.71233586,164.41011586,-6.69778
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,DSG Funding Allocation,Central School Services,1.96,1.866397,0.093603
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,DSG Funding Allocation,Early Years,20.968,20.581264,0.386736
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),29.873,33.398981,-3.525981
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,DSG Funding Allocation,Schools (after academy recoupment),128.797,128.167337,0.629663
201920,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,DSG Funding Allocation,Total DSG,181.598,184.013979,-2.415979
