time_period,time_identifier,geographic_level,country_name,country_code,school_phase,expenditure_type,expenditure_description,expenditure,expenditure_per_pupil
201516,Financial year,National,England,E92000001,All LA maintained schools,Community expenditure,Community focused school staff (E31),124.66,25
201516,Financial year,National,England,E92000001,All LA maintained schools,Community expenditure,Community focused school costs (E32),49.38,10
201516,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,Acquisition of land and existing buildings (CE01),4.16,1
201516,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,"New construction, conversion and renovation (CE02)",301.24,61
201516,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",24.11,5
201516,Financial year,National,England,E92000001,All LA maintained schools,Capital expenditure,Information and communication technology (CE04),60.96,12
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total supply staff costs,902.85,182
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total staff costs,20350.61,4108
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total premises costs,1558.49,315
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total occupation costs,2140.09,432
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total supplies and services,2526.13,510
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Community expenditure,174.05,35
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total expenditure,26904.51,5431
201516,Financial year,National,England,E92000001,All LA maintained schools,Total expenditure,Total net expenditure,26368.57,5323
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Teaching Staff (E01),67.67,2715
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Supply teaching staff (E02),1.02,41
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Education support staff (E03),85.86,3445
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Premises staff (E04),5.75,231
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Administrative and clerical staff (E05),20.48,822
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Catering staff (E06),1.07,43
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Cost of other staff (E07),7.76,311
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Indirect employee expenses (E08),1.57,63
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Development and training (E09),1.91,77
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Supply teacher insurance (E10),1.01,41
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Staff related insurance (E11),0.83,33
201516,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Building maintenance and improvement (E12),6.25,251
201516,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Grounds maintenance and improvement (E13),0.98,39
201516,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Cleaning and caretaking (E14),3.63,146
201516,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Water and sewerage (E15),0.76,30
201516,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Energy (E16),2.63,105
201516,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Rates (E17),4.06,163
201516,Financial year,National,England,E92000001,Nursery,Premises related expenditure,Other occupation costs (E18),2.16,87
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),6.28,252
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,ICT learning resources (E20),1.65,66
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Exam fees (E21),0.01,0
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Administrative supplies (E22),3.62,145
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Other insurance premiums (E23),0.92,37
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Special facilities (E24),1.45,58
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Catering supplies (E25),3.54,142
201516,Financial year,National,England,E92000001,Nursery,Staff related expenditure,Agency supply teaching staff (E26),2.76,111
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Bought in professional services – curriculum (E27),4.58,184
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201516,Financial year,National,England,E92000001,Nursery,Supplies and services expenditure,Total bought in professional services (E28a/b),8.43,338
201516,Financial year,National,England,E92000001,Nursery,Finance related expenditure,Loan interest (E29),0.01,0
201516,Financial year,National,England,E92000001,Nursery,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),1.39,56
201516,Financial year,National,England,E92000001,Nursery,Community expenditure,Community focused school staff (E31),25.49,1023
201516,Financial year,National,England,E92000001,Nursery,Community expenditure,Community focused school costs (E32),7.78,312
201516,Financial year,National,England,E92000001,Nursery,Capital expenditure,Acquisition of land and existing buildings (CE01),0.03,1
201516,Financial year,National,England,E92000001,Nursery,Capital expenditure,"New construction, conversion and renovation (CE02)",3.99,160
201516,Financial year,National,England,E92000001,Nursery,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",0.1,4
201516,Financial year,National,England,E92000001,Nursery,Capital expenditure,Information and communication technology (CE04),0.37,15
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Total supply staff costs,4.79,192
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Total staff costs,190.86,7657
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Total premises costs,16.61,666
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Total occupation costs,15.15,608
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Total supplies and services,16.14,648
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Community expenditure,33.28,1335
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Total expenditure,273.49,10973
201516,Financial year,National,England,E92000001,Nursery,Total expenditure,Total net expenditure,239.62,9613
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Teaching Staff (E01),7887.49,2141
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Supply teaching staff (E02),160.92,44
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Education support staff (E03),3204.86,870
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Premises staff (E04),397.57,108
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Administrative and clerical staff (E05),814.74,221
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Catering staff (E06),65.4,18
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Cost of other staff (E07),402.49,109
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Indirect employee expenses (E08),76.87,21
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Development and training (E09),133.44,36
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Supply teacher insurance (E10),118.59,32
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Staff related insurance (E11),33.66,9
201516,Financial year,National,England,E92000001,Primary,Premises related expenditure,Building maintenance and improvement (E12),401.82,109
201516,Financial year,National,England,E92000001,Primary,Premises related expenditure,Grounds maintenance and improvement (E13),67.89,18
201516,Financial year,National,England,E92000001,Primary,Premises related expenditure,Cleaning and caretaking (E14),188.52,51
201516,Financial year,National,England,E92000001,Primary,Premises related expenditure,Water and sewerage (E15),64.39,17
201516,Financial year,National,England,E92000001,Primary,Premises related expenditure,Energy (E16),212.4,58
201516,Financial year,National,England,E92000001,Primary,Premises related expenditure,Rates (E17),198.55,54
201516,Financial year,National,England,E92000001,Primary,Premises related expenditure,Other occupation costs (E18),94.8,26
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),785.86,213
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,ICT learning resources (E20),254.23,69
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Exam fees (E21),0.06,0
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Administrative supplies (E22),197.91,54
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Other insurance premiums (E23),102.72,28
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Special facilities (E24),81.57,22
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Catering supplies (E25),796.99,216
201516,Financial year,National,England,E92000001,Primary,Staff related expenditure,Agency supply teaching staff (E26),360.24,98
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Bought in professional services – curriculum (E27),373.97,102
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201516,Financial year,National,England,E92000001,Primary,Supplies and services expenditure,Total bought in professional services (E28a/b),403.61,110
201516,Financial year,National,England,E92000001,Primary,Finance related expenditure,Loan interest (E29),1.7,0
201516,Financial year,National,England,E92000001,Primary,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),145.53,40
201516,Financial year,National,England,E92000001,Primary,Community expenditure,Community focused school staff (E31),87.93,24
201516,Financial year,National,England,E92000001,Primary,Community expenditure,Community focused school costs (E32),33.35,9
201516,Financial year,National,England,E92000001,Primary,Capital expenditure,Acquisition of land and existing buildings (CE01),2.98,1
201516,Financial year,National,England,E92000001,Primary,Capital expenditure,"New construction, conversion and renovation (CE02)",211.28,57
201516,Financial year,National,England,E92000001,Primary,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",15.51,4
201516,Financial year,National,England,E92000001,Primary,Capital expenditure,Information and communication technology (CE04),44.86,12
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Total supply staff costs,639.76,174
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Total staff costs,13193.31,3581
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Total premises costs,1055.8,287
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Total occupation costs,1535.26,417
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Total supplies and services,1612.02,438
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Community expenditure,121.28,33
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Total expenditure,17600.95,4777
201516,Financial year,National,England,E92000001,Primary,Total expenditure,Total net expenditure,17222.7,4675
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Teaching Staff (E01),171.56,8904
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Supply teaching staff (E02),5.66,294
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Education support staff (E03),69.12,3587
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Premises staff (E04),4.4,228
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Administrative and clerical staff (E05),25.59,1328
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Catering staff (E06),0.44,23
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Cost of other staff (E07),5.53,287
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Indirect employee expenses (E08),5.05,262
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Development and training (E09),2.62,136
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Supply teacher insurance (E10),0.79,41
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Staff related insurance (E11),0.34,18
201516,Financial year,National,England,E92000001,PRU,Premises related expenditure,Building maintenance and improvement (E12),9.43,489
201516,Financial year,National,England,E92000001,PRU,Premises related expenditure,Grounds maintenance and improvement (E13),1,52
201516,Financial year,National,England,E92000001,PRU,Premises related expenditure,Cleaning and caretaking (E14),3.54,184
201516,Financial year,National,England,E92000001,PRU,Premises related expenditure,Water and sewerage (E15),0.61,32
201516,Financial year,National,England,E92000001,PRU,Premises related expenditure,Energy (E16),3.31,172
201516,Financial year,National,England,E92000001,PRU,Premises related expenditure,Rates (E17),2.49,129
201516,Financial year,National,England,E92000001,PRU,Premises related expenditure,Other occupation costs (E18),3.42,178
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),21.55,1119
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,ICT learning resources (E20),4.64,241
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Exam fees (E21),1.62,84
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Administrative supplies (E22),4.73,245
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Other insurance premiums (E23),0.83,43
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Special facilities (E24),5.39,280
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Catering supplies (E25),4.2,218
201516,Financial year,National,England,E92000001,PRU,Staff related expenditure,Agency supply teaching staff (E26),20.15,1046
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Bought in professional services – curriculum (E27),29.17,1514
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201516,Financial year,National,England,E92000001,PRU,Supplies and services expenditure,Total bought in professional services (E28a/b),10.48,544
201516,Financial year,National,England,E92000001,PRU,Finance related expenditure,Loan interest (E29),0.01,0
201516,Financial year,National,England,E92000001,PRU,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),3.46,180
201516,Financial year,National,England,E92000001,PRU,Community expenditure,Community focused school staff (E31),0.38,20
201516,Financial year,National,England,E92000001,PRU,Community expenditure,Community focused school costs (E32),0.57,29
201516,Financial year,National,England,E92000001,PRU,Capital expenditure,Acquisition of land and existing buildings (CE01),0.03,2
201516,Financial year,National,England,E92000001,PRU,Capital expenditure,"New construction, conversion and renovation (CE02)",4.12,214
201516,Financial year,National,England,E92000001,PRU,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",0.3,15
201516,Financial year,National,England,E92000001,PRU,Capital expenditure,Information and communication technology (CE04),0.71,37
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Total supply staff costs,26.61,1381
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Total staff costs,306.41,15904
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Total premises costs,18.36,953
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Total occupation costs,15.31,795
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Total supplies and services,61.71,3203
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Community expenditure,0.95,49
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Total expenditure,408.15,21184
201516,Financial year,National,England,E92000001,PRU,Total expenditure,Total net expenditure,405.74,21059
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Teaching Staff (E01),3634.47,3190
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Supply teaching staff (E02),23.96,21
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Education support staff (E03),715.03,628
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Premises staff (E04),136.61,120
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Administrative and clerical staff (E05),431.52,379
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Catering staff (E06),39.59,35
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Cost of other staff (E07),48.99,43
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Indirect employee expenses (E08),52.26,46
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Development and training (E09),28.39,25
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Supply teacher insurance (E10),17.27,15
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Staff related insurance (E11),7.3,6
201516,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Building maintenance and improvement (E12),129.03,113
201516,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Grounds maintenance and improvement (E13),18.02,16
201516,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Cleaning and caretaking (E14),76.33,67
201516,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Water and sewerage (E15),19.41,17
201516,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Energy (E16),104.81,92
201516,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Rates (E17),103.82,91
201516,Financial year,National,England,E92000001,Secondary,Premises related expenditure,Other occupation costs (E18),73.18,64
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),290.04,255
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,ICT learning resources (E20),92.57,81
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Exam fees (E21),100.79,88
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Administrative supplies (E22),93.79,82
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Other insurance premiums (E23),35.2,31
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Special facilities (E24),52.08,46
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Catering supplies (E25),110.09,97
201516,Financial year,National,England,E92000001,Secondary,Staff related expenditure,Agency supply teaching staff (E26),131.84,116
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Bought in professional services – curriculum (E27),101.16,89
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201516,Financial year,National,England,E92000001,Secondary,Supplies and services expenditure,Total bought in professional services (E28a/b),153.23,134
201516,Financial year,National,England,E92000001,Secondary,Finance related expenditure,Loan interest (E29),1.02,1
201516,Financial year,National,England,E92000001,Secondary,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),37.56,33
201516,Financial year,National,England,E92000001,Secondary,Community expenditure,Community focused school staff (E31),7.92,7
201516,Financial year,National,England,E92000001,Secondary,Community expenditure,Community focused school costs (E32),6.56,6
201516,Financial year,National,England,E92000001,Secondary,Capital expenditure,Acquisition of land and existing buildings (CE01),0.96,1
201516,Financial year,National,England,E92000001,Secondary,Capital expenditure,"New construction, conversion and renovation (CE02)",59.3,52
201516,Financial year,National,England,E92000001,Secondary,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",5.53,5
201516,Financial year,National,England,E92000001,Secondary,Capital expenditure,Information and communication technology (CE04),12.23,11
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Total supply staff costs,173.07,152
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Total staff costs,5091.01,4468
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Total premises costs,359.99,316
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Total occupation costs,486.1,427
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Total supplies and services,678.36,595
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Community expenditure,14.48,13
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Total expenditure,6683.03,5866
201516,Financial year,National,England,E92000001,Secondary,Total expenditure,Total net expenditure,6581.04,5776
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Teaching Staff (E01),715.38,8319
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Supply teaching staff (E02),11.11,129
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Education support staff (E03),622.92,7243
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Premises staff (E04),39.48,459
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Administrative and clerical staff (E05),99.03,1152
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Catering staff (E06),7.94,92
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Cost of other staff (E07),38.27,445
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Indirect employee expenses (E08),15.6,181
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Development and training (E09),14.49,169
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Supply teacher insurance (E10),7.86,91
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Staff related insurance (E11),4.71,55
201516,Financial year,National,England,E92000001,Special,Premises related expenditure,Building maintenance and improvement (E12),45.71,532
201516,Financial year,National,England,E92000001,Special,Premises related expenditure,Grounds maintenance and improvement (E13),4.65,54
201516,Financial year,National,England,E92000001,Special,Premises related expenditure,Cleaning and caretaking (E14),17.89,208
201516,Financial year,National,England,E92000001,Special,Premises related expenditure,Water and sewerage (E15),4.94,57
201516,Financial year,National,England,E92000001,Special,Premises related expenditure,Energy (E16),23.98,279
201516,Financial year,National,England,E92000001,Special,Premises related expenditure,Rates (E17),0.59,7
201516,Financial year,National,England,E92000001,Special,Premises related expenditure,Other occupation costs (E18),16.38,190
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),68.93,802
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,ICT learning resources (E20),20.48,238
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Exam fees (E21),2.64,31
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Administrative supplies (E22),21.5,250
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Other insurance premiums (E23),7.41,86
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Special facilities (E24),11.81,137
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Catering supplies (E25),27.03,314
201516,Financial year,National,England,E92000001,Special,Staff related expenditure,Agency supply teaching staff (E26),39.65,461
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Bought in professional services – curriculum (E27),44.35,516
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201516,Financial year,National,England,E92000001,Special,Supplies and services expenditure,Total bought in professional services (E28a/b),43.69,508
201516,Financial year,National,England,E92000001,Special,Finance related expenditure,Loan interest (E29),0.09,1
201516,Financial year,National,England,E92000001,Special,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),17.02,198
201516,Financial year,National,England,E92000001,Special,Community expenditure,Community focused school staff (E31),2.94,34
201516,Financial year,National,England,E92000001,Special,Community expenditure,Community focused school costs (E32),1.12,13
201516,Financial year,National,England,E92000001,Special,Capital expenditure,Acquisition of land and existing buildings (CE01),0.16,2
201516,Financial year,National,England,E92000001,Special,Capital expenditure,"New construction, conversion and renovation (CE02)",22.55,262
201516,Financial year,National,England,E92000001,Special,Capital expenditure,"Vehicles, plant, equipment and machinery (CE03)",2.68,31
201516,Financial year,National,England,E92000001,Special,Capital expenditure,Information and communication technology (CE04),2.79,32
201516,Financial year,National,England,E92000001,Special,Total expenditure,Total supply staff costs,58.62,682
201516,Financial year,National,England,E92000001,Special,Total expenditure,Total staff costs,1569.02,18245
201516,Financial year,National,England,E92000001,Special,Total expenditure,Total premises costs,107.73,1253
201516,Financial year,National,England,E92000001,Special,Total expenditure,Total occupation costs,88.28,1027
201516,Financial year,National,England,E92000001,Special,Total expenditure,Total supplies and services,157.89,1836
201516,Financial year,National,England,E92000001,Special,Total expenditure,Community expenditure,4.06,47
201516,Financial year,National,England,E92000001,Special,Total expenditure,Total expenditure,1938.89,22546
201516,Financial year,National,England,E92000001,Special,Total expenditure,Total net expenditure,1919.47,22320
201617,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Teaching Staff (E01),12241.82,2552
201617,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Supply teaching staff (E02),181.81,38
201617,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Education support staff (E03),4672.56,974
201617,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Premises staff (E04),573.77,120
201617,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Administrative and clerical staff (E05),1373.51,286
201617,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Catering staff (E06),116.08,24
