time_period,time_identifier,geographic_level,country_name,country_code,main_category,category_of_expenditure,early_years_establishments,primary_schools,secondary_schools,sen_and_special_schools,pupil_referral_units_and_alt_provision,post_16,gross_expenditure,income,net_expenditure,net_per_capita_expenditure
201516,Financial year,National,England,E92000001,Other education and community,2.3.1 Young peoples learning and development,x,x,46.34,3.31,1.91,x,51.56,22.59,28.96,4
201516,Financial year,National,England,E92000001,Other education and community,2.3.2 Adult and Community learning,x,x,x,x,x,x,337.45,284.6,52.85,6
201516,Financial year,National,England,E92000001,Other education and community,2.3.3 Pension costs,x,x,x,x,x,x,271.25,17.57,253.68,31
201516,Financial year,National,England,E92000001,Other education and community,2.3.4 Joint use arrangements,x,x,x,x,x,x,7.87,4.67,3.2,0
201516,Financial year,National,England,E92000001,Other education and community,2.3.5 Insurance,x,x,x,x,x,x,7.4,2.85,4.55,1
201516,Financial year,National,England,E92000001,Other education and community,2.4.1 Other Specific Grant,x,x,x,x,x,x,43.94,44.82,-0.88,z
201516,Financial year,National,England,E92000001,Other education and community,2.5.1 Capital Expenditure (excluding CERA),24.03,1260.16,489.51,175.29,14.74,x,1963.74,802.56,1161.18,143
201516,Financial year,National,England,E92000001,Other education and community,2.4.3 Total Other education and community expenditure,x,x,x,x,x,x,2971.05,810.18,2160.87,401
201617,Financial year,National,England,E92000001,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,9.12,0.05,x,9.17,1.54,7.62,1
201617,Financial year,National,England,E92000001,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,153.66,30.06,123.6,15
201617,Financial year,National,England,E92000001,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",1.44,108.2,150.5,242.72,42.23,149.03,694.12,3.67,690.46,53
201617,Financial year,National,England,E92000001,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,11.3,67.73,77.1,650.16,37.17,173.64,1017.11,13.21,1003.89,77
201617,Financial year,National,England,E92000001,Schools,1.1.3 Support to UPEG and bilingual learners,x,20.47,5.24,x,x,x,25.71,3.76,21.95,5
201617,Financial year,National,England,E92000001,Schools,"1.0.1 Individual Schools Budget, after academy recoupment",2517.97,13739.48,5374.97,878.75,186.04,x,22697.21,x,22697.21,4713
201617,Financial year,National,England,E92000001,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,23.5,2.58,20.92,3
201617,Financial year,National,England,E92000001,Schools,1.1.1 Contingencies,x,30.74,13.23,x,x,x,43.97,2.07,41.9,9
201617,Financial year,National,England,E92000001,Schools,1.2.1 Top-up funding – maintained schools,19.43,409.1,162.84,859.08,126.95,x,1577.4,25.05,1552.35,119
201617,Financial year,National,England,E92000001,Other education and community,2.1.5 Home to school transport (pre 16): mainstream home to school transport expenditure,1.54,93.5,247.27,3.45,5.29,x,352.41,19.02,333.38,40
201617,Financial year,National,England,E92000001,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,1.01,45.72,21.06,x,x,x,67.78,0.52,67.26,5
201617,Financial year,National,England,E92000001,Schools,1.1.2 Behaviour support services,x,25.33,4.25,x,x,x,29.58,2,27.57,6
201617,Financial year,National,England,E92000001,Schools,1.1.4 Free school meals eligibility,x,3.04,1.11,x,x,x,4.14,0.22,3.92,1
201617,Financial year,National,England,E92000001,Schools,1.1.5 Insurance,x,8.47,3.01,x,x,x,11.48,0.08,11.39,2
201617,Financial year,National,England,E92000001,Schools,1.1.6 Museum and Library services,x,2.54,0.16,x,x,x,2.7,0.14,2.56,1
201617,Financial year,National,England,E92000001,Schools,1.1.7 Licences/subscriptions,x,6.03,2.36,x,x,x,8.38,0.11,8.27,2
201617,Financial year,National,England,E92000001,Schools,1.1.8 Staff costs – supply cover excluding cover for facility time,x,25.57,7.11,x,x,x,32.68,1.68,31,6
201617,Financial year,National,England,E92000001,Schools,1.1.9 Staff costs – supply cover for facility time,x,8.91,3.98,x,x,x,12.89,1.34,11.56,2
201617,Financial year,National,England,E92000001,Schools,1.2.5 SEN support service,58.07,193.83,117.93,90.83,5.28,3.03,468.97,18.82,450.15,34
201617,Financial year,National,England,E92000001,Schools,1.2.6 Hospital education services,x,x,x,18.68,26.02,x,44.7,0.38,44.32,3
201617,Financial year,National,England,E92000001,Schools,1.2.7 Other alternative provision services,0.93,23.27,32.88,10.45,81.92,0.93,150.39,5.84,144.54,11
201617,Financial year,National,England,E92000001,Schools,1.2.8 Support for inclusion,11.7,72.73,41.98,33.17,6.61,0.66,166.84,5.44,161.4,12
201617,Financial year,National,England,E92000001,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,3.35,0.44,x,3.79,0,3.79,0
201617,Financial year,National,England,E92000001,Schools,1.2.11 Direct payments (SEN and disability),0.09,0.98,0.53,2.44,0.62,0.06,4.73,0.4,4.33,0
201617,Financial year,National,England,E92000001,Schools,1.2.12 Carbon reduction commitment allowances (PRUs),x,x,x,x,0.1,x,0.1,0,0.1,0
201617,Financial year,National,England,E92000001,Schools,1.2.13 Therapies and other health related services,x,x,x,x,x,x,15.97,5.14,10.83,1
201617,Financial year,National,England,E92000001,Schools,1.3.1 Central expenditure on early years entitlement,201.84,x,x,x,x,x,201.84,4.29,197.56,17
201617,Financial year,National,England,E92000001,Schools,1.4.1 Contribution to combined expenditure,9.41,89.65,53.41,6.88,1.29,x,160.63,6.91,153.72,19
201617,Financial year,National,England,E92000001,Schools,1.4.2 School admissions,1.12,41.4,25.2,1.1,0.2,x,69.01,1.55,67.46,8
201617,Financial year,National,England,E92000001,Schools,1.4.3 Servicing of schools forums,0.2,2.3,1.37,0.17,0.02,x,4.07,0.01,4.06,0
201617,Financial year,National,England,E92000001,Schools,1.4.4 Termination of employment costs,0.56,18.32,14.44,0.93,0.29,x,34.54,0.47,34.07,4
201617,Financial year,National,England,E92000001,Schools,1.4.5 Falling Rolls Fund,0,1.61,5.19,0.01,0,x,6.8,0,6.8,1
201617,Financial year,National,England,E92000001,Schools,1.4.6 Capital expenditure from revenue (CERA),2.73,31.89,33.15,9.72,0.3,x,77.8,9.37,68.43,8
201617,Financial year,National,England,E92000001,Schools,1.4.7 Prudential borrowing costs,0.08,12.28,12.94,5.74,0.01,x,31.04,0.02,31.02,4
201617,Financial year,National,England,E92000001,Schools,1.4.8 Fees to independent schools without SEN,0.03,3.94,4.47,0.37,0.28,x,9.09,0,9.09,1
201617,Financial year,National,England,E92000001,Schools,1.4.9 Equal pay - back pay,0.1,3.86,1.58,0.47,0.07,x,6.08,0,6.08,1
201617,Financial year,National,England,E92000001,Schools,1.4.10 Pupil growth (includes infant class sizes for years prior to 2018-19),0.67,136.85,29.25,1.64,0.04,x,168.44,0.25,168.2,20
201617,Financial year,National,England,E92000001,Schools,1.4.11 SEN transport,0.03,3.96,2.72,17.74,2.73,0.11,27.28,0,27.28,3
201617,Financial year,National,England,E92000001,Schools,1.4.12 Exceptions agreed by Secretary of State,0.3,3.73,1.15,2.01,low,0,7.2,0.43,6.77,1
201617,Financial year,National,England,E92000001,Schools,1.4.14 Other Items,1.3,23.46,14.79,0.9,0.18,x,40.67,x,39.69,5
201617,Financial year,National,England,E92000001,Schools,1.7.1 Other Specific Grants,0.26,208.93,8.82,2.34,0.08,1.41,221.83,214.69,7.15,1
201617,Financial year,National,England,E92000001,Schools,1.8.1 TOTAL SCHOOLS EXPENDITURE (after academy recoupment),2840.56,15374.31,6228.72,2848.75,518.89,328.93,28140.16,325.23,27814.93,z
201617,Financial year,National,England,E92000001,Dedicated schools grant,1.9.1 Dedicated Schools Grant for year,x,x,x,x,x,x,26991.92,x,x,z
201617,Financial year,National,England,E92000001,Dedicated schools grant,1.9.4 Grant for maintained school 6th forms,x,x,x,x,x,x,620.82,x,x,z
201617,Financial year,National,England,E92000001,Dedicated schools grant,1.9.5 Local Authority additional contribution,x,x,x,x,x,x,33.07,x,x,z
201617,Financial year,National,England,E92000001,Dedicated schools grant,1.9.6 Total funding supporting the Schools Budget,x,x,x,x,x,x,28262.57,x,x,z
201617,Financial year,National,England,E92000001,Other education and community,2.0.1 Central support services,x,x,x,x,x,x,171.09,131.63,39.46,8
201617,Financial year,National,England,E92000001,Other education and community,2.0.2 Education welfare service,x,x,x,x,x,x,69.37,14.35,55.02,11
201617,Financial year,National,England,E92000001,Other education and community,2.0.3 School improvement,x,x,x,x,x,x,221.51,87.17,134.34,28
201617,Financial year,National,England,E92000001,Other education and community,2.0.4 Asset management - education,x,x,x,x,x,x,54.14,10.86,43.28,9
201617,Financial year,National,England,E92000001,Other education and community,2.0.5 Statutory/ Regulatory duties - education,x,x,x,x,x,x,323.97,109.2,214.77,45
201617,Financial year,National,England,E92000001,Other education and community,2.0.6 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,23.2,0.82,22.38,5
201617,Financial year,National,England,E92000001,Other education and community,2.0.7 Monitoring national curriculum assessment,x,x,x,x,x,x,5.1,0.59,4.51,1
201617,Financial year,National,England,E92000001,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,126.66,22.19,104.47,13
201617,Financial year,National,England,E92000001,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,4.99,64.47,78.06,466.57,22.6,x,643.22,15.33,627.9,76
201617,Financial year,National,England,E92000001,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,x,x,x,62.87,62.87,2.49,60.38,7
201617,Financial year,National,England,E92000001,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,x,x,x,25.77,25.77,0.51,25.25,3
201617,Financial year,National,England,E92000001,Other education and community,2.1.8 Home to post-16 provision transport: mainstream home to post-16 transport expenditure,x,x,x,x,x,30.18,30.18,13.49,16.69,2
201617,Financial year,National,England,E92000001,Other education and community,2.1.9 Supply of school places,x,x,x,x,x,x,28.67,6.99,21.67,3
201617,Financial year,National,England,E92000001,Other education and community,2.3.1 Young peoples learning and development,x,x,43.03,4.73,3.04,x,50.8,17.99,32.81,4
201617,Financial year,National,England,E92000001,Other education and community,2.3.2 Adult and Community learning,x,x,x,x,x,x,295.54,253.34,42.2,5
201617,Financial year,National,England,E92000001,Other education and community,2.3.3 Pension costs,x,x,x,x,x,x,266.22,18.08,248.14,30
201617,Financial year,National,England,E92000001,Other education and community,2.3.4 Joint use arrangements,x,x,x,x,x,x,8.24,5.9,2.33,0
201617,Financial year,National,England,E92000001,Other education and community,2.3.5 Insurance,x,x,x,x,x,x,6.75,2.73,4.02,0
201617,Financial year,National,England,E92000001,Other education and community,2.4.1 Other Specific Grant,x,x,x,x,x,x,32.63,39.95,-7.32,z
201617,Financial year,National,England,E92000001,Other education and community,2.5.1 Capital Expenditure (excluding CERA),43.65,995.8,443.04,699.34,20.36,x,2202.2,699.65,1502.55,182
201617,Financial year,National,England,E92000001,Other education and community,2.4.2 Capital Expenditure from Revenue (CERA) (Non-schools budget functions),x,x,x,x,x,x,6.23,0.66,5.57,z
201617,Financial year,National,England,E92000001,Other education and community,2.4.3 Total Other education and community expenditure,x,x,x,x,x,x,2997.68,811.07,2186.62,454
201718,Financial year,National,England,E92000001,Schools,"1.0.1 Individual Schools Budget, after academy recoupment",3039.11,12855.26,4882.45,842.1,188.39,0,21807.31,x,21807.31,4780
201718,Financial year,National,England,E92000001,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,5.62,6.4,10.79,920.55,19.17,158.18,1120.72,18.81,1101.9,84
201718,Financial year,National,England,E92000001,Other education and community,2.1.5 Home to school transport (pre 16): mainstream home to school transport expenditure,1.66,92.03,230.71,14.54,6.84,x,345.88,19.44,326.44,39
201718,Financial year,National,England,E92000001,Schools,1.1.1 Contingencies,x,29.36,16.09,x,x,x,45.45,1.44,44.01,10
201718,Financial year,National,England,E92000001,Schools,1.1.3 Support to UPEG and bilingual learners,x,17.23,3.82,x,x,x,21.05,2.75,18.3,4
201718,Financial year,National,England,E92000001,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,1.09,39.9,16.59,x,x,x,57.57,0.51,57.06,4
201718,Financial year,National,England,E92000001,Schools,1.2.1 Top-up funding – maintained schools,15.33,427.41,144.46,897.15,122.36,x,1606.69,37.44,1569.26,120
201718,Financial year,National,England,E92000001,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,163.92,34.46,129.46,16
201718,Financial year,National,England,E92000001,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,9.91,0.12,0,10.03,1.54,8.48,1
201718,Financial year,National,England,E92000001,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,19.03,2.85,16.18,2
201718,Financial year,National,England,E92000001,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",1.98,150.07,180.19,309.42,56.26,160.93,858.85,5.76,853.09,65
201718,Financial year,National,England,E92000001,Schools,1.1.2 Behaviour support services,x,21.13,2.91,x,x,x,24.04,2.05,21.99,5
201718,Financial year,National,England,E92000001,Schools,1.1.4 Free school meals eligibility,x,2.78,0.83,x,x,x,3.61,0.38,3.22,1
201718,Financial year,National,England,E92000001,Schools,1.1.5 Insurance,x,7.56,2.4,x,x,x,9.96,0,9.96,2
201718,Financial year,National,England,E92000001,Schools,1.1.6 Museum and Library services,x,2.49,0.07,x,x,x,2.56,0.14,2.42,1
201718,Financial year,National,England,E92000001,Schools,1.1.7 Licences/subscriptions,x,5.72,1.44,x,x,x,7.16,0.73,6.43,1
201718,Financial year,National,England,E92000001,Schools,1.1.8 Staff costs – supply cover excluding cover for facility time,x,23.45,5.82,x,x,x,29.27,0.79,28.48,6
201718,Financial year,National,England,E92000001,Schools,1.1.9 Staff costs – supply cover for facility time,x,9.59,4.29,x,x,x,13.88,1.67,12.21,3
201718,Financial year,National,England,E92000001,Schools,1.1.10 School improvement,x,8.7,2.49,x,x,x,11.19,0.84,10.35,2
201718,Financial year,National,England,E92000001,Schools,1.2.5 SEN support service,56.12,194.23,115.14,80.05,7.68,2.83,456.05,18.93,437.12,33
201718,Financial year,National,England,E92000001,Schools,1.2.6 Hospital education services,x,x,x,20.83,23.88,x,44.71,0.75,43.96,3
201718,Financial year,National,England,E92000001,Schools,1.2.7 Other alternative provision services,1.17,28.49,33.41,7.77,81.02,1.03,152.89,7.63,145.26,11
201718,Financial year,National,England,E92000001,Schools,1.2.8 Support for inclusion,9.93,68.72,43.2,34.23,4.53,0.57,161.18,5.46,155.72,12
201718,Financial year,National,England,E92000001,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,2.27,0.53,x,2.8,0.21,2.59,0
201718,Financial year,National,England,E92000001,Schools,1.2.11 Direct payments (SEN and disability),low,0.15,0.15,6.08,0.48,0.03,6.89,0.43,6.46,0
201718,Financial year,National,England,E92000001,Schools,1.2.12 Carbon reduction commitment allowances (PRUs),x,x,x,x,0.07,x,0.07,0,0.07,0
201718,Financial year,National,England,E92000001,Schools,1.2.13 Therapies and other health related services,0.55,9.53,5.57,10.1,0.19,0.06,26,2.64,23.36,2
201718,Financial year,National,England,E92000001,Schools,1.3.1 Central expenditure on early years entitlement,154.51,x,x,x,x,x,154.51,2.61,151.9,13
201718,Financial year,National,England,E92000001,Schools,1.4.1 Contribution to combined expenditure,9.59,76.64,43.87,5.71,1.47,x,137.28,6.51,130.77,16
201718,Financial year,National,England,E92000001,Schools,1.4.2 School admissions,1.2,42.62,24.34,1.13,0.08,x,69.38,1.84,67.54,8
201718,Financial year,National,England,E92000001,Schools,1.4.3 Servicing of schools forums,0.18,2.43,1.48,0.15,0.02,x,4.25,0.04,4.21,1
201718,Financial year,National,England,E92000001,Schools,1.4.4 Termination of employment costs,0.61,16.38,12.25,0.71,0.06,x,30.01,0.93,29.08,3
201718,Financial year,National,England,E92000001,Schools,1.4.5 Falling Rolls Fund,0,1.96,4.68,0,0,x,6.64,0,6.64,1
201718,Financial year,National,England,E92000001,Schools,1.4.6 Capital expenditure from revenue (CERA),1.14,11.63,19.24,3.78,0.03,x,35.82,7.49,28.33,3
201718,Financial year,National,England,E92000001,Schools,1.4.7 Prudential borrowing costs,0.34,17.89,11.79,5.22,0.02,x,35.26,0.06,35.21,4
201718,Financial year,National,England,E92000001,Schools,1.4.8 Fees to independent schools without SEN,0.06,0.62,1.94,0.45,0.58,x,3.67,0,3.67,0
201718,Financial year,National,England,E92000001,Schools,1.4.9 Equal pay - back pay,0.05,2.57,1.34,0.2,low,x,4.16,0,4.16,0
201718,Financial year,National,England,E92000001,Schools,1.4.10 Pupil growth (includes infant class sizes for years prior to 2018-19),0.65,122.77,41.49,0.87,0.03,x,165.82,0.09,165.73,20
201718,Financial year,National,England,E92000001,Schools,1.4.11 SEN transport,0.03,2.41,2.43,19.24,1.01,0.8,25.92,low,25.92,3
201718,Financial year,National,England,E92000001,Schools,1.4.12 Exceptions agreed by Secretary of State,0.19,2.25,4.95,low,0,0,7.39,0.43,6.96,1
201718,Financial year,National,England,E92000001,Schools,1.4.14 Other Items,0.75,26.07,14.94,0.8,0.21,x,42.8,x,42.68,5
201718,Financial year,National,England,E92000001,Schools,1.5.1 Education welfare service (funded within schools budget),x,x,x,x,x,x,30.6,1.6,29,3
201718,Financial year,National,England,E92000001,Schools,1.5.2 Asset management (funded within schools budget),x,x,x,x,x,x,16.51,0.3,16.21,2
201718,Financial year,National,England,E92000001,Schools,1.5.3 Statutory/ Regulatory duties (funded within schools budget),x,x,x,x,x,x,70.36,2.51,67.85,8
201718,Financial year,National,England,E92000001,Schools,1.6.1 Central support services,x,x,x,x,x,x,2.79,0.62,2.17,0
201718,Financial year,National,England,E92000001,Schools,1.6.2 Education welfare service,x,x,x,x,x,x,3,0.09,2.9,0
201718,Financial year,National,England,E92000001,Schools,1.6.3 Asset Management (funded through maintained schools budget),x,x,x,x,x,x,5.4,0.24,5.16,1
201718,Financial year,National,England,E92000001,Schools,1.6.4 Statutory/ Regulatory duties (funded through maintained schools budget),x,x,x,x,x,x,16.07,3.32,12.75,2
201718,Financial year,National,England,E92000001,Schools,1.6.5 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,6.33,0.19,6.15,1
201718,Financial year,National,England,E92000001,Schools,1.6.6 Monitoring national curriculum assessment,x,x,x,x,x,x,0.73,0.18,0.55,0
201718,Financial year,National,England,E92000001,Schools,1.7.1 Other Specific Grants,0.27,61.82,8.8,1.28,0.1,1.85,74.11,72.33,1.78,0
