time_period,time_identifier,geographic_level,country_name,country_code,school_phase,number_schools,number_schools_with_surplus,number_schools_with_deficit,PC_schools_with_surplus,PC_schools_with_deficit,total_revenue_balance,average_revenue_balance,revenue_balance_as_pc_total_income,total_revenue_reserve_schools_surplus,total_revenue_reserve_schools_deficit,number_schools_with_surplus_over_threshold,pc_schools_with_surplus_over_threshold,school_surplus_over_threshold,school_over_threshold_av_per_school,committed_revenue_balances(B01),uncommitted_revenue_balances(B02),devolved_formula_capital_balance(B03),other_capital_balances(B05),community_focussed_school_revenue_balance(B06),outstanding_balance_of_capital_loans_to_school(B07),opening_pupil_focussed_revenue_balance(OB01),opening_community_focussed_revenue_balance(OB02),opening_capital_balance(OB03),total_income
202021,Financial year,National,England,E92000001,Nursery,382,287,94,75.1,24.6,26.26,68738,9.7,38.48,-12.23,214,74.6,36.17,169032,13.23,15.53,3.92,0.57,-2.49,x,29.25,-1.35,4.48,271.85
202021,Financial year,National,England,E92000001,Primary,10686,9929,711,92.9,6.7,1532.72,143432,9.6,1596.35,-63.63,6214,62.6,1321.29,212631,703.22,803.62,100.86,14.66,25.87,x,1077.67,32.34,125.57,15919.81
202021,Financial year,National,England,E92000001,PRU,193,150,33,77.7,17.1,33.45,173298,8.9,39.64,-6.19,101,67.3,35.75,353973,16.82,16.65,2.51,0.16,-0.02,x,22.6,low,2.76,375.25
202021,Financial year,National,England,E92000001,Secondary,778,629,147,80.8,18.9,250.99,322615,4.9,378.9,-127.9,438,69.6,339.52,775152,180.93,70.67,17.04,24.74,-0.61,x,97.28,1.76,26.86,5077.91
202021,Financial year,National,England,E92000001,Special,616,536,74,87,12,187.53,304433,9.3,214.98,-27.45,361,67.4,185.89,514920,89.21,97.23,12.18,3.9,1.09,x,126.06,1.09,15.56,2021.21
202122,Financial year,National,England,E92000001,All LA maintained schools,12221,11077,1075,90.6,8.8,2181.45,178500,9.1,2380.07,-198.62,6761,61,2020.73,298880,1098.95,1049.58,124.92,43.44,32.92,21.74,1991.75,27.1,174.09,24095.65
202122,Financial year,National,England,E92000001,Nursery,381,267,113,70.1,29.7,21.55,56565,7.8,37.7,-16.15,204,76.4,35.5,174017,11.95,10.38,3.95,0.55,-0.79,0.01,27.7,-1.49,4.48,275.96
202122,Financial year,National,England,E92000001,Primary,10335,9507,783,92,7.6,1505.68,145688,9.3,1576.58,-70.89,5595,58.9,1282.71,229259,709.45,765.16,93.83,15.23,31.07,6.94,1476.54,26.17,111.8,16186.91
202122,Financial year,National,England,E92000001,PRU,185,147,27,79.5,14.6,41.54,224539,10.9,48.13,-6.59,107,72.8,44.43,415224,18.62,22.99,2.26,0.15,-0.07,0,33.22,-0.03,2.54,381.19
202122,Financial year,National,England,E92000001,Secondary,727,628,94,86.4,12.9,391.62,538673,7.7,473.1,-81.49,483,76.9,440.37,911747,245.5,144.54,12.93,23.42,1.58,12.38,267.96,1.36,39.66,5118.09
202122,Financial year,National,England,E92000001,Special,593,528,58,89,9.8,221.06,372780,10.4,244.56,-23.51,372,70.5,217.72,585264,113.42,106.51,11.95,4.09,1.13,2.42,186.33,1.09,15.61,2133.51
