time_period,time_identifier,geographic_level,country_name,country_code,school_phase,income_type,income_description,income,income_per_pupil
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Total income from lettings facilities services (I08ab),31.06,1246
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from catering (I09),1.2,48
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Receipts supply teacher insurance claims (I10),0.78,31
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Receipts other  insurance claims (I11),0.67,27
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Income contributions visits etc (I12),2.92,117
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Donations and/or private funds (I13),2.69,108
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Pupil focussed extended school funding (I15),1.74,70
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Community focussed school funding (I16),19.27,773
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Community focused facilities income (I17),12.63,507
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Income COVID-19 catch up package (I18c),x,x
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Other additional grants (I18d),0.72,29
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Total additional grant (I18 total),0.72,29
201516,Financial year,National,England,E92000001,Nursery,Capital funding,Capital income (CI01),3.07,123
201516,Financial year,National,England,E92000001,Nursery,Capital funding,Capital voluntary private income (CI03),0.09,3
201516,Financial year,National,England,E92000001,Nursery,Capital funding,Capital direct revenue financing(CI04),1.2,48
201516,Financial year,National,England,E92000001,Nursery,Total income,Total grant funding,231.49,9288
201516,Financial year,National,England,E92000001,Nursery,Total income,Total direct grants,201.66,8091
201516,Financial year,National,England,E92000001,Nursery,Total income,Total community grants,19.98,802
201516,Financial year,National,England,E92000001,Nursery,Total income,Total targetted grants,9.85,395
201516,Financial year,National,England,E92000001,Nursery,Total income,Total self generated income,20.88,838
201516,Financial year,National,England,E92000001,Nursery,Total income,Total income,282.05,11316
201516,Financial year,National,England,E92000001,Primary,Grant funding,Funds delegated by LA Pre16 (I01),14784.85,4013
201516,Financial year,National,England,E92000001,Primary,Grant funding,Funds delegated by LA VIthForm (I02),low,low
201516,Financial year,National,England,E92000001,Primary,Grant funding,Total funds delegated by LA (I01 & I02),14784.85,4013
201516,Financial year,National,England,E92000001,Primary,Grant funding,SEN funding (I03),415.08,113
201516,Financial year,National,England,E92000001,Primary,Grant funding,Funding minority ethnic pupils (I04),21.98,6
201516,Financial year,National,England,E92000001,Primary,Grant funding,Pupil premium (I05),1238.72,336
201516,Financial year,National,England,E92000001,Primary,Grant funding,Other government grants (I06),72.36,20
201516,Financial year,National,England,E92000001,Primary,Grant funding,Other grants payments (I07),108.1,29
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Income from lettings (I08a),x,x
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Income from facilities services (I08b),x,x
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Total income from lettings facilities services (I08ab),374.59,102
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Income from catering (I09),186.31,51
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Receipts supply teacher insurance claims (I10),69.33,19
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Receipts other  insurance claims (I11),22.09,6
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Income contributions visits etc (I12),133.64,36
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Donations and/or private funds (I13),114.37,31
201516,Financial year,National,England,E92000001,Primary,Grant funding,Pupil focussed extended school funding (I15),12.53,3
201516,Financial year,National,England,E92000001,Primary,Grant funding,Community focussed school funding (I16),67.52,18
201516,Financial year,National,England,E92000001,Primary,Self generated funding,Community focused facilities income (I17),55.09,15
201516,Financial year,National,England,E92000001,Primary,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201516,Financial year,National,England,E92000001,Primary,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201516,Financial year,National,England,E92000001,Primary,Grant funding,Income COVID-19 catch up package (I18c),x,x
201516,Financial year,National,England,E92000001,Primary,Grant funding,Other additional grants (I18d),550.64,149
201516,Financial year,National,England,E92000001,Primary,Grant funding,Total additional grant (I18 total),550.64,149
201516,Financial year,National,England,E92000001,Primary,Capital funding,Capital income (CI01),123.84,34
201516,Financial year,National,England,E92000001,Primary,Capital funding,Capital voluntary private income (CI03),11.19,3
201516,Financial year,National,England,E92000001,Primary,Capital funding,Capital direct revenue financing(CI04),131.76,36
201516,Financial year,National,England,E92000001,Primary,Total income,Total grant funding,17271.78,4688
201516,Financial year,National,England,E92000001,Primary,Total income,Total direct grants,14965.31,4062
201516,Financial year,National,England,E92000001,Primary,Total income,Total community grants,618.15,168
201516,Financial year,National,England,E92000001,Primary,Total income,Total targetted grants,1688.32,458
201516,Financial year,National,England,E92000001,Primary,Total income,Total self generated income,580.83,158
201516,Financial year,National,England,E92000001,Primary,Total income,Total income,18081.67,4908
201516,Financial year,National,England,E92000001,PRU,Grant funding,Funds delegated by LA Pre16 (I01),242.06,12564
201516,Financial year,National,England,E92000001,PRU,Grant funding,Funds delegated by LA VIthForm (I02),0.51,2698
201516,Financial year,National,England,E92000001,PRU,Grant funding,Total funds delegated by LA (I01 & I02),242.57,12590
201516,Financial year,National,England,E92000001,PRU,Grant funding,SEN funding (I03),123.6,6415
201516,Financial year,National,England,E92000001,PRU,Grant funding,Funding minority ethnic pupils (I04),low,low
201516,Financial year,National,England,E92000001,PRU,Grant funding,Pupil premium (I05),8.79,456
201516,Financial year,National,England,E92000001,PRU,Grant funding,Other government grants (I06),1.85,96
201516,Financial year,National,England,E92000001,PRU,Grant funding,Other grants payments (I07),18.08,938
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Income from lettings (I08a),x,x
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Income from facilities services (I08b),x,x
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Total income from lettings facilities services (I08ab),26.92,1397
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Income from catering (I09),0.46,24
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Receipts supply teacher insurance claims (I10),0.99,51
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Receipts other  insurance claims (I11),0.39,20
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Income contributions visits etc (I12),0.01,1
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Donations and/or private funds (I13),0.51,27
201516,Financial year,National,England,E92000001,PRU,Grant funding,Pupil focussed extended school funding (I15),0.06,3
201516,Financial year,National,England,E92000001,PRU,Grant funding,Community focussed school funding (I16),0.83,43
201516,Financial year,National,England,E92000001,PRU,Self generated funding,Community focused facilities income (I17),0.12,6
201516,Financial year,National,England,E92000001,PRU,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201516,Financial year,National,England,E92000001,PRU,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201516,Financial year,National,England,E92000001,PRU,Grant funding,Income COVID-19 catch up package (I18c),x,x
201516,Financial year,National,England,E92000001,PRU,Grant funding,Other additional grants (I18d),0.43,22
201516,Financial year,National,England,E92000001,PRU,Grant funding,Total additional grant (I18 total),0.43,22
201516,Financial year,National,England,E92000001,PRU,Capital funding,Capital income (CI01),1.91,99
201516,Financial year,National,England,E92000001,PRU,Capital funding,Capital voluntary private income (CI03),0.01,1
201516,Financial year,National,England,E92000001,PRU,Capital funding,Capital direct revenue financing(CI04),3.09,160
201516,Financial year,National,England,E92000001,PRU,Total income,Total grant funding,396.21,20565
201516,Financial year,National,England,E92000001,PRU,Total income,Total direct grants,262.5,13625
201516,Financial year,National,England,E92000001,PRU,Total income,Total community grants,1.26,66
201516,Financial year,National,England,E92000001,PRU,Total income,Total targetted grants,132.45,6875
201516,Financial year,National,England,E92000001,PRU,Total income,Total self generated income,2.48,129
201516,Financial year,National,England,E92000001,PRU,Total income,Total income,422.16,21911
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Funds delegated by LA Pre16 (I01),5353.91,4699
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Funds delegated by LA VIthForm (I02),609.2,5111
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Total funds delegated by LA (I01 & I02),5963.11,5234
201516,Financial year,National,England,E92000001,Secondary,Grant funding,SEN funding (I03),120.65,106
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Funding minority ethnic pupils (I04),3.06,3
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Pupil premium (I05),316.96,278
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Other government grants (I06),30.85,27
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Other grants payments (I07),49.74,44
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from lettings (I08a),x,x
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from facilities services (I08b),x,x
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Total income from lettings facilities services (I08ab),145.24,127
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Income from catering (I09),77.04,68
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Receipts supply teacher insurance claims (I10),10.66,9
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Receipts other  insurance claims (I11),3.2,3
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Income contributions visits etc (I12),47.1,41
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Donations and/or private funds (I13),44.03,39
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Pupil focussed extended school funding (I15),0.6,1
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Community focussed school funding (I16),6.37,6
201516,Financial year,National,England,E92000001,Secondary,Self generated funding,Community focused facilities income (I17),7.93,7
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Income COVID-19 catch up package (I18c),x,x
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Other additional grants (I18d),3.79,3
201516,Financial year,National,England,E92000001,Secondary,Grant funding,Total additional grant (I18 total),3.79,3
201516,Financial year,National,England,E92000001,Secondary,Capital funding,Capital income (CI01),48.48,43
201516,Financial year,National,England,E92000001,Secondary,Capital funding,Capital voluntary private income (CI03),3.79,3
201516,Financial year,National,England,E92000001,Secondary,Capital funding,Capital direct revenue financing(CI04),29.04,25
201516,Financial year,National,England,E92000001,Secondary,Total income,Total grant funding,6495.14,5701
201516,Financial year,National,England,E92000001,Secondary,Total income,Total direct grants,6043.7,5305
201516,Financial year,National,England,E92000001,Secondary,Total income,Total community grants,10.15,9
201516,Financial year,National,England,E92000001,Secondary,Total income,Total targetted grants,441.28,387
201516,Financial year,National,England,E92000001,Secondary,Total income,Total self generated income,189.95,167
201516,Financial year,National,England,E92000001,Secondary,Total income,Total income,6792.77,5962
201516,Financial year,National,England,E92000001,Special,Grant funding,Funds delegated by LA Pre16 (I01),944.12,10979
201516,Financial year,National,England,E92000001,Special,Grant funding,Funds delegated by LA VIthForm (I02),71.3,6801
201516,Financial year,National,England,E92000001,Special,Grant funding,Total funds delegated by LA (I01 & I02),1015.42,11808
201516,Financial year,National,England,E92000001,Special,Grant funding,SEN funding (I03),799.75,9300
201516,Financial year,National,England,E92000001,Special,Grant funding,Funding minority ethnic pupils (I04),0.63,7
201516,Financial year,National,England,E92000001,Special,Grant funding,Pupil premium (I05),45.6,530
201516,Financial year,National,England,E92000001,Special,Grant funding,Other government grants (I06),13.23,154
201516,Financial year,National,England,E92000001,Special,Grant funding,Other grants payments (I07),19.56,227
201516,Financial year,National,England,E92000001,Special,Self generated funding,Income from lettings (I08a),x,x
201516,Financial year,National,England,E92000001,Special,Self generated funding,Income from facilities services (I08b),x,x
201516,Financial year,National,England,E92000001,Special,Self generated funding,Total income from lettings facilities services (I08ab),61.22,712
201516,Financial year,National,England,E92000001,Special,Self generated funding,Income from catering (I09),7.18,83
201516,Financial year,National,England,E92000001,Special,Self generated funding,Receipts supply teacher insurance claims (I10),7.44,87
201516,Financial year,National,England,E92000001,Special,Self generated funding,Receipts other  insurance claims (I11),4.72,55
201516,Financial year,National,England,E92000001,Special,Self generated funding,Income contributions visits etc (I12),2.27,26
201516,Financial year,National,England,E92000001,Special,Self generated funding,Donations and/or private funds (I13),12.09,141
201516,Financial year,National,England,E92000001,Special,Grant funding,Pupil focussed extended school funding (I15),0.79,9
201516,Financial year,National,England,E92000001,Special,Grant funding,Community focussed school funding (I16),1.45,17
201516,Financial year,National,England,E92000001,Special,Self generated funding,Community focused facilities income (I17),3.35,39
201516,Financial year,National,England,E92000001,Special,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201516,Financial year,National,England,E92000001,Special,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201516,Financial year,National,England,E92000001,Special,Grant funding,Income COVID-19 catch up package (I18c),x,x
201516,Financial year,National,England,E92000001,Special,Grant funding,Other additional grants (I18d),7.65,89
201516,Financial year,National,England,E92000001,Special,Grant funding,Total additional grant (I18 total),7.65,89
201516,Financial year,National,England,E92000001,Special,Capital funding,Capital income (CI01),10.54,123
201516,Financial year,National,England,E92000001,Special,Capital funding,Capital voluntary private income (CI03),2.11,25
201516,Financial year,National,England,E92000001,Special,Capital funding,Capital direct revenue financing(CI04),15.03,175
201516,Financial year,National,England,E92000001,Special,Total income,Total grant funding,1904.08,22141
201516,Financial year,National,England,E92000001,Special,Total income,Total direct grants,1048.2,12189
201516,Financial year,National,England,E92000001,Special,Total income,Total community grants,9.1,106
201516,Financial year,National,England,E92000001,Special,Total income,Total targetted grants,846.77,9847
201516,Financial year,National,England,E92000001,Special,Total income,Total self generated income,37.05,431
201516,Financial year,National,England,E92000001,Special,Total income,Total income,1985.32,23086
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA Pre16 (I01),20580.57,4291
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA VIthForm (I02),605.16,4925
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Total funds delegated by LA (I01 & I02),21185.74,4417
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,SEN funding (I03),1470.45,307
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funding minority ethnic pupils (I04),25.23,5
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Pupil premium (I05),1481.78,309
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other government grants (I06),109.97,23
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other grants payments (I07),191.14,40
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from lettings (I08a),x,x
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from facilities services (I08b),x,x
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Total income from lettings facilities services (I08ab),662.18,138
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from catering (I09),284.34,59
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Receipts supply teacher insurance claims (I10),88.02,18
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Receipts other  insurance claims (I11),37.2,8
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income contributions visits etc (I12),190.46,40
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Donations and/or private funds (I13),171.71,36
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Pupil focussed extended school funding (I15),15.48,3
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Community focussed school funding (I16),73.55,15
201617,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Community focused facilities income (I17),91.05,19
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Income COVID-19 catch up package (I18c),x,x
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other additional grants (I18d),572.6,119
201617,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Total additional grant (I18 total),572.6,119
201617,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital income (CI01),160.58,33
201617,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital voluntary private income (CI03),18.08,4
201617,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital direct revenue financing(CI04),127.09,26
201617,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total grant funding,25125.94,5239
201617,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total direct grants,21486.85,4480
201617,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total community grants,646.15,135
201617,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total targetted grants,2992.94,624
201617,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total self generated income,862.78,180
201617,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total income,26494.43,5524
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Funds delegated by LA Pre16 (I01),189.41,7339
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Funds delegated by LA VIthForm (I02),low,low
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Total funds delegated by LA (I01 & I02),189.41,7339
201617,Financial year,National,England,E92000001,Nursery,Grant funding,SEN funding (I03),9.01,349
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Funding minority ethnic pupils (I04),low,low
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Pupil premium (I05),2.18,85
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Other government grants (I06),4.6,178
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Other grants payments (I07),7.52,291
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from lettings (I08a),x,x
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from facilities services (I08b),x,x
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Total income from lettings facilities services (I08ab),32.9,1275
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from catering (I09),1.16,45
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Receipts supply teacher insurance claims (I10),0.85,33
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Receipts other  insurance claims (I11),0.86,33
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Income contributions visits etc (I12),2.72,105
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Donations and/or private funds (I13),1.88,73
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Pupil focussed extended school funding (I15),1.07,41
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Community focussed school funding (I16),15.57,603
201617,Financial year,National,England,E92000001,Nursery,Self generated funding,Community focused facilities income (I17),11.36,440
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Income COVID-19 catch up package (I18c),x,x
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Other additional grants (I18d),0.02,1
201617,Financial year,National,England,E92000001,Nursery,Grant funding,Total additional grant (I18 total),0.02,1
201617,Financial year,National,England,E92000001,Nursery,Capital funding,Capital income (CI01),2.23,86
201617,Financial year,National,England,E92000001,Nursery,Capital funding,Capital voluntary private income (CI03),0.15,6
201617,Financial year,National,England,E92000001,Nursery,Capital funding,Capital direct revenue financing(CI04),1.13,44
201617,Financial year,National,England,E92000001,Nursery,Total income,Total grant funding,229.37,8888
201617,Financial year,National,England,E92000001,Nursery,Total income,Total direct grants,201.52,7809
201617,Financial year,National,England,E92000001,Nursery,Total income,Total community grants,15.59,604
201617,Financial year,National,England,E92000001,Nursery,Total income,Total targetted grants,12.26,475
201617,Financial year,National,England,E92000001,Nursery,Total income,Total self generated income,18.82,729
201617,Financial year,National,England,E92000001,Nursery,Total income,Total income,280.23,10859
201617,Financial year,National,England,E92000001,Primary,Grant funding,Funds delegated by LA Pre16 (I01),14299.34,3968
201617,Financial year,National,England,E92000001,Primary,Grant funding,Funds delegated by LA VIthForm (I02),low,low
201617,Financial year,National,England,E92000001,Primary,Grant funding,Total funds delegated by LA (I01 & I02),14299.34,3968
201617,Financial year,National,England,E92000001,Primary,Grant funding,SEN funding (I03),434.01,120
201617,Financial year,National,England,E92000001,Primary,Grant funding,Funding minority ethnic pupils (I04),21.11,6
201617,Financial year,National,England,E92000001,Primary,Grant funding,Pupil premium (I05),1147.39,318
201617,Financial year,National,England,E92000001,Primary,Grant funding,Other government grants (I06),62.22,17
201617,Financial year,National,England,E92000001,Primary,Grant funding,Other grants payments (I07),99.29,28
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Income from lettings (I08a),x,x
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Income from facilities services (I08b),x,x
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Total income from lettings facilities services (I08ab),402.01,112
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Income from catering (I09),196,54
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Receipts supply teacher insurance claims (I10),70.53,20
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Receipts other  insurance claims (I11),26.44,7
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Income contributions visits etc (I12),140.49,39
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Donations and/or private funds (I13),117.3,33
201617,Financial year,National,England,E92000001,Primary,Grant funding,Pupil focussed extended school funding (I15),13.27,4
201617,Financial year,National,England,E92000001,Primary,Grant funding,Community focussed school funding (I16),52.6,15
201617,Financial year,National,England,E92000001,Primary,Self generated funding,Community focused facilities income (I17),65.78,18
201617,Financial year,National,England,E92000001,Primary,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201617,Financial year,National,England,E92000001,Primary,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201617,Financial year,National,England,E92000001,Primary,Grant funding,Income COVID-19 catch up package (I18c),x,x
201617,Financial year,National,England,E92000001,Primary,Grant funding,Other additional grants (I18d),560.01,155
201617,Financial year,National,England,E92000001,Primary,Grant funding,Total additional grant (I18 total),560.01,155
201617,Financial year,National,England,E92000001,Primary,Capital funding,Capital income (CI01),104.54,29
201617,Financial year,National,England,E92000001,Primary,Capital funding,Capital voluntary private income (CI03),10.05,3
201617,Financial year,National,England,E92000001,Primary,Capital funding,Capital direct revenue financing(CI04),93.88,26
201617,Financial year,National,England,E92000001,Primary,Total income,Total grant funding,16689.24,4631
201617,Financial year,National,England,E92000001,Primary,Total income,Total direct grants,14460.85,4013
201617,Financial year,National,England,E92000001,Primary,Total income,Total community grants,612.61,170
201617,Financial year,National,England,E92000001,Primary,Total income,Total targetted grants,1615.78,448
201617,Financial year,National,England,E92000001,Primary,Total income,Total self generated income,616.54,171
201617,Financial year,National,England,E92000001,Primary,Total income,Total income,17602.41,4885
