time_period,time_identifier,geographic_level,country_name,country_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201516,Financial year,National,England,E92000001,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,125.69,8.05,117.65,x,x,x,10
201516,Financial year,National,England,E92000001,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,9012.32,x,8291.76,x,x,x,715
201516,Financial year,National,England,E92000001,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,9138.01,x,8409.41,x,x,x,725
201617,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,356.97,42.48,22.43,78.22,500.1,52.09,448.01,10.92,17.14,419.96,38
201617,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,45.69,15.89,13.25,5.56,80.39,6.69,73.7,2.75,0.01,70.95,6
201617,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,41.93,0.28,0.09,0.03,42.34,3.22,39.12,0.48,0.03,38.61,3
201617,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,139.49,4.09,0.44,7.5,151.52,24.76,126.76,4.9,0.71,121.14,11
201617,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,584.08,62.74,36.22,91.31,774.35,86.76,687.59,19.04,17.89,650.66,59
201617,Financial year,National,England,E92000001,Children looked after,3.1.1 Residential care,379.42,753.94,24.48,42.64,1200.48,69.98,1130.5,6.29,1.61,1122.6,96
201617,Financial year,National,England,E92000001,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201617,Financial year,National,England,E92000001,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201617,Financial year,National,England,E92000001,Children looked after,3.1.2 Total Fostering services,859.74,664.87,23.6,50.98,1599.19,49.92,1549.27,32.14,0.88,1516.24,132
201617,Financial year,National,England,E92000001,Children looked after,3.1.3 Adoption services,267.34,34.7,15.77,8.06,325.86,44.87,280.99,21.17,5.85,253.97,24
201617,Financial year,National,England,E92000001,Children looked after,3.1.4 Special guardianship support,206.83,16.55,0.98,4.19,228.55,0.2,228.36,low,0.06,228.3,19
201617,Financial year,National,England,E92000001,Children looked after,3.1.5 Other children looked after services,127.48,82.99,11.58,12.1,234.15,23.16,210.99,20.35,1.13,189.5,18
201617,Financial year,National,England,E92000001,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,30.48,5.63,1.66,1.61,39.39,2.33,37.06,0.1,0,36.96,3
201617,Financial year,National,England,E92000001,Children looked after,3.1.7 Children placed with family and friends,89.41,7.94,0.78,3.6,101.73,0.79,100.95,0.06,0.08,100.8,9
201617,Financial year,National,England,E92000001,Children looked after,3.1.8 Education of looked after children,41.73,1.26,1.42,0.03,44.44,9.5,34.95,3.58,0.04,31.33,3
201617,Financial year,National,England,E92000001,Children looked after,3.1.9 Leaving care support services,201.77,95.64,6.6,15.67,319.69,17.86,301.83,16.55,0.97,284.3,26
201617,Financial year,National,England,E92000001,Children looked after,3.1.10 Asylum seeker services children,36.72,22.24,0.98,3.29,63.23,5.62,57.61,30.34,7.27,20.01,5
201617,Financial year,National,England,E92000001,Children looked after,3.1.11 Total Children Looked After,2240.92,1685.76,87.85,142.18,4156.7,224.21,3932.49,130.58,17.9,3784.01,335
201617,Financial year,National,England,E92000001,Other children and family services,3.2.1 Other children and families services,68.62,9.64,3.44,5.47,87.18,6.15,81.03,5.71,0.04,75.28,7
201617,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),1954.59,55.37,23.35,2.98,2036.29,55.26,1981.03,24.21,2.85,1953.97,169
201617,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,222.97,17.11,8.2,3,251.28,29.4,221.88,2.45,0.09,219.33,19
201617,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,42.2,2.06,1.19,1.25,46.71,18.21,28.5,0.54,0.04,27.92,2
201617,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2219.76,74.55,32.74,7.23,2334.27,102.86,2231.4,27.2,2.98,2201.22,190
201617,Financial year,National,England,E92000001,Family support services,3.4.1 Direct payments,64.9,31.38,1.32,1.3,98.9,7.42,91.48,0.11,0,91.37,8
201617,Financial year,National,England,E92000001,Family support services,3.4.2 Short breaks (respite) for disabled children,139.26,32.81,10.49,35.06,217.62,20.25,197.37,0.66,0.2,196.51,17
201617,Financial year,National,England,E92000001,Family support services,3.4.3 Other support for disabled children,30.44,5.21,1.54,1.14,38.33,1.8,36.54,0.82,0.05,35.67,3
201617,Financial year,National,England,E92000001,Family support services,3.4.4 Targeted family support,555.91,30.77,28.78,33.19,648.65,89.53,559.12,102.68,5.2,451.23,48
201617,Financial year,National,England,E92000001,Family support services,3.4.5 Universal family support,72.38,2.13,0.16,8.97,83.64,18.45,65.19,1.98,0,63.21,6
201617,Financial year,National,England,E92000001,Family support services,3.4.6 Total Family Support Services,862.89,102.29,42.3,79.66,1087.14,137.44,949.7,106.26,5.46,837.98,81
201617,Financial year,National,England,E92000001,Services for young people,3.5.1 Universal services for young people,183.83,8.19,7.39,15.94,215.36,30,185.35,5.02,0.37,179.96,16
201617,Financial year,National,England,E92000001,Services for young people,3.5.2 Targeted services for young people,196.17,15.47,6.75,13.79,232.18,29.96,202.22,5.19,1.54,195.49,17
201617,Financial year,National,England,E92000001,Services for young people,3.5.3 Total Services for young people,380,23.65,14.14,29.73,447.53,59.96,387.57,10.21,1.92,375.44,33
201617,Financial year,National,England,E92000001,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,11.01,x,x,x,x,x,0
201617,Financial year,National,England,E92000001,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,4.7,x,x,x,x,x,0
201617,Financial year,National,England,E92000001,Youth justice,3.6.1 Youth justice,x,x,x,x,271.23,118.58,152.65,x,x,x,13
201617,Financial year,National,England,E92000001,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,20.91,1.65,19.26,x,x,x,2
201617,Financial year,National,England,E92000001,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,9158.4,x,8422.43,x,x,x,718
201617,Financial year,National,England,E92000001,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,9179.31,x,8441.69,x,x,x,719
201718,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,302.37,31.14,14.4,69.62,417.53,51.02,366.51,27.32,0.27,338.93,31
201718,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,40.69,27.48,2.32,7.59,78.08,7.12,70.95,1.09,0.13,69.74,6
201718,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,36.23,0.2,0.08,0.22,36.73,2.78,33.95,0.24,0.06,33.65,3
201718,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,124.62,3.09,0.52,4.2,132.44,25.08,107.36,2.66,0.95,103.75,9
201718,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,503.91,61.91,17.32,81.63,664.78,86,578.78,31.31,1.4,546.07,49
201718,Financial year,National,England,E92000001,Children looked after,3.1.1 Residential care,410.66,926,12.59,34.58,1383.84,76.72,1307.11,17.51,0.7,1288.9,111
201718,Financial year,National,England,E92000001,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201718,Financial year,National,England,E92000001,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201718,Financial year,National,England,E92000001,Children looked after,3.1.2 Total Fostering services,862.76,718.29,10.52,58.5,1650.07,38.84,1611.23,26.83,1.36,1583.05,136
201718,Financial year,National,England,E92000001,Children looked after,3.1.3 Adoption services,253.73,31.77,15.91,7.5,308.9,35.5,273.4,13.72,1.47,258.22,23
201718,Financial year,National,England,E92000001,Children looked after,3.1.4 Special guardianship support,226.1,22.36,1.68,5.55,255.69,0.56,255.14,low,0,255.13,22
201718,Financial year,National,England,E92000001,Children looked after,3.1.5 Other children looked after services,146.3,100.39,9.28,12.16,268.13,17.73,250.41,14.58,0.41,235.42,21
201718,Financial year,National,England,E92000001,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,32.16,6,1.44,3.39,43,2.91,40.09,0.34,0.1,39.64,3
201718,Financial year,National,England,E92000001,Children looked after,3.1.7 Children placed with family and friends,85.84,8.42,0.5,3.73,98.48,1.05,97.43,0.07,0,97.36,8
201718,Financial year,National,England,E92000001,Children looked after,3.1.8 Education of looked after children,39.07,3.38,1.99,0.13,44.57,8.48,36.1,7.43,0.04,28.62,3
201718,Financial year,National,England,E92000001,Children looked after,3.1.9 Leaving care support services,244.61,115.77,4.98,13.62,378.98,19.08,359.91,21.67,1.89,336.34,30
201718,Financial year,National,England,E92000001,Children looked after,3.1.10 Asylum seeker services children,58.15,43.03,1.43,2.32,104.92,13.79,91.14,60.88,8.32,21.94,8
201718,Financial year,National,England,E92000001,Children looked after,3.1.11 Total Children Looked After,2359.38,1975.41,60.31,141.49,4536.59,214.64,4321.95,163.04,14.28,4144.62,366
201718,Financial year,National,England,E92000001,Other children and family services,3.2.1 Other children and families services,68.06,16.63,6.24,4.03,94.96,7.99,86.97,1.16,0.2,85.62,7
201718,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),1994.99,61.92,7.93,4.79,2069.63,64.22,2005.41,15.39,1.47,1988.55,170
201718,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,208.46,16.43,5.47,1.44,231.8,21.83,209.97,6.01,1.26,202.7,18
201718,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,42.75,1.2,1.33,0.1,45.37,17.52,27.85,0.68,low,27.17,2
201718,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2246.2,79.54,14.73,6.33,2346.8,103.57,2243.23,22.07,2.74,2218.42,190
201718,Financial year,National,England,E92000001,Family support services,3.4.1 Direct payments,71.9,33.63,1.13,3.16,109.82,9.37,100.45,0.09,0,100.37,8
201718,Financial year,National,England,E92000001,Family support services,3.4.2 Short breaks (respite) for disabled children,139.38,36.58,9.19,27.45,212.61,18.48,194.13,0.47,0.02,193.64,16
201718,Financial year,National,England,E92000001,Family support services,3.4.3 Other support for disabled children,26.51,5.32,2.04,2.18,36.06,2.73,33.33,0.02,0,33.31,3
201718,Financial year,National,England,E92000001,Family support services,3.4.4 Targeted family support,557.31,36.36,35.84,33.47,662.99,92.76,570.23,108.5,9.06,452.67,48
201718,Financial year,National,England,E92000001,Family support services,3.4.5 Universal family support,62.3,3.23,0.19,1.14,66.85,5.85,61,2.26,0.07,58.68,5
201718,Financial year,National,England,E92000001,Family support services,3.4.6 Total Family Support Services,857.4,115.14,48.39,67.4,1088.33,129.19,959.14,111.33,9.15,838.67,81
201718,Financial year,National,England,E92000001,Services for young people,3.5.1 Universal services for young people,153.85,10.66,4.92,11.24,180.67,25.16,155.51,4.78,0.1,150.63,13
201718,Financial year,National,England,E92000001,Services for young people,3.5.2 Targeted services for young people,196.78,7.44,9.63,21.4,235.26,38.4,196.86,8.56,8.97,179.33,17
201718,Financial year,National,England,E92000001,Services for young people,3.5.3 Total Services for young people,350.64,18.1,14.55,32.64,415.93,63.56,352.36,13.34,9.06,329.96,30
201718,Financial year,National,England,E92000001,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,10.93,x,x,x,x,x,0
201718,Financial year,National,England,E92000001,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,4.41,x,x,x,x,x,0
201718,Financial year,National,England,E92000001,Youth justice,3.6.1 Youth justice,x,x,x,x,271.62,121.86,149.76,x,x,x,13
201718,Financial year,National,England,E92000001,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,78.74,14.93,63.81,x,x,x,5
201718,Financial year,National,England,E92000001,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,9419.01,x,8692.19,x,x,x,735
201718,Financial year,National,England,E92000001,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,9497.75,x,8756,x,x,x,741
201819,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,268.02,32.13,21.49,71.59,393.24,58.62,334.62,6.22,1.04,327.36,28
201819,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,39.59,15.68,6.29,5.88,67.44,5.87,61.57,1.54,3.66,56.37,5
201819,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,31.92,0.14,0.4,0.01,32.47,4.35,28.12,0.25,0.3,27.57,2
201819,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,91.61,3.56,0.54,2.78,98.49,14.74,83.75,3.82,0.44,79.49,7
201819,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,431.14,51.51,28.72,80.26,591.64,83.58,508.06,11.83,5.43,490.8,42
201819,Financial year,National,England,E92000001,Children looked after,3.1.1 Residential care,389.87,991.28,69.19,29.57,1479.9,82.88,1397.03,6.55,11.22,1379.26,117
201819,Financial year,National,England,E92000001,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),314.79,607.6,55.47,26.61,1004.47,14.02,990.45,13.5,3.31,973.64,83
201819,Financial year,National,England,E92000001,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),534.89,126.18,19.04,17.65,697.76,9.54,688.22,8.55,5.37,674.3,58
201819,Financial year,National,England,E92000001,Children looked after,3.1.2 Total fostering services,849.67,733.79,74.51,44.27,1702.23,23.56,1678.67,22.06,8.68,1647.94,140
201819,Financial year,National,England,E92000001,Children looked after,3.1.3 Adoption services,252.38,35.89,35.75,5.75,329.78,46.61,283.16,12.4,4.3,266.47,24
201819,Financial year,National,England,E92000001,Children looked after,3.1.4 Special guardianship support,237.62,34.94,9.49,4.86,286.91,0.9,286.01,0.03,1.87,284.12,24
201819,Financial year,National,England,E92000001,Children looked after,3.1.5 Other children looked after services,153.25,128.74,11.13,8.43,301.55,19.96,281.6,18.4,1.54,261.65,24
201819,Financial year,National,England,E92000001,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,35.9,7.13,1.21,1.7,45.95,2.04,43.91,0.22,0.14,43.54,4
201819,Financial year,National,England,E92000001,Children looked after,3.1.7 Children placed with family and friends,89.12,6.19,2.27,4.05,101.62,0.63,100.99,0.01,1.46,99.52,8
201819,Financial year,National,England,E92000001,Children looked after,3.1.8 Education of looked after children,40.32,4.93,1.49,0.02,46.75,9.24,37.51,12.62,0.31,24.58,3
201819,Financial year,National,England,E92000001,Children looked after,3.1.9 Leaving care support services,256.81,146.05,14.73,11.48,429.06,17.52,411.54,32.98,5.8,372.75,34
201819,Financial year,National,England,E92000001,Children looked after,3.1.10 Asylum seeker services children,83.75,65.55,7.13,1.24,157.66,19.56,138.1,82.82,13.14,42.14,12
201819,Financial year,National,England,E92000001,Children looked after,3.1.11 Total Children Looked After,2388.68,2154.48,226.88,111.37,4881.42,222.91,4658.51,188.09,48.47,4421.96,389
201819,Financial year,National,England,E92000001,Other children and family services,3.2.1 Other children and families services,79.01,19.1,9.25,4.75,112.11,10.97,101.14,7.94,2.18,91.02,8
201819,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),1992.05,68.13,90.27,6.1,2156.55,55.02,2101.53,30.38,23.66,2047.49,176
201819,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,209.65,11.53,17.3,2.02,240.5,26.99,213.51,4.4,7.36,201.75,18
201819,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,38.45,1.89,3.83,0.09,44.26,17.69,26.57,1.08,0.21,25.29,2
201819,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2240.14,81.55,111.4,8.22,2441.31,99.69,2341.61,35.85,31.24,2274.52,196
201819,Financial year,National,England,E92000001,Family support services,3.4.1 Direct payments,74.45,33.99,2.99,3.88,115.32,9.74,105.58,0.05,0.59,104.94,9
201819,Financial year,National,England,E92000001,Family support services,3.4.2 Short breaks (respite) for disabled children,129.47,39.97,8.78,32.86,211.09,19.55,191.54,1.27,1.9,188.37,16
201819,Financial year,National,England,E92000001,Family support services,3.4.3 Other support for disabled children,29.68,8.88,3.87,2.62,45.05,2.28,42.77,low,1.27,41.5,4
201819,Financial year,National,England,E92000001,Family support services,3.4.4 Targeted family support,579.49,35.65,61.13,38.81,715.09,96.92,618.17,114.81,14.96,488.4,52
201819,Financial year,National,England,E92000001,Family support services,3.4.5 Universal family support,63.53,2,1.36,0.95,67.84,5.5,62.34,4.06,0.47,57.81,5
201819,Financial year,National,England,E92000001,Family support services,3.4.6 Total Family Support Services,876.63,120.5,78.14,79.11,1154.38,133.99,1020.39,120.19,19.18,881.01,85
201819,Financial year,National,England,E92000001,Services for young people,3.5.1 Universal services for young people,136.64,13.36,4.68,12.7,167.39,25.11,142.28,4.25,2.17,135.86,12
201819,Financial year,National,England,E92000001,Services for young people,3.5.2 Targeted services for young people,203.09,6.21,6.02,15.21,230.53,37.73,192.8,6.54,10.07,176.19,16
201819,Financial year,National,England,E92000001,Services for young people,3.5.3 Total Services for young people,339.73,19.57,10.7,27.91,397.92,62.84,335.08,10.79,12.24,312.05,28
201819,Financial year,National,England,E92000001,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,10.95,x,x,x,x,x,0
201819,Financial year,National,England,E92000001,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,3.23,x,x,x,x,x,0
201819,Financial year,National,England,E92000001,Youth justice,3.6.1 Youth justice,x,x,x,x,276.13,123.07,153.06,x,x,x,13
201819,Financial year,National,England,E92000001,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,23.15,5.64,17.51,x,x,x,1
201819,Financial year,National,England,E92000001,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,9854.91,x,9117.86,x,x,x,762
201819,Financial year,National,England,E92000001,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,9878.06,x,9135.37,x,x,x,764
201920,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,252.85,35.95,18.11,62.25,369.17,61.41,307.76,7.37,10.97,289.41,25
201920,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,42.39,11.16,4.21,6.17,63.93,4.5,59.43,2.62,1.72,55.08,5
201920,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,30.77,0.21,0.14,low,31.12,5.26,25.86,1.14,0.18,24.54,2
201920,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,81.67,2.48,5.38,3.65,93.17,16.59,76.58,4.73,0.57,71.28,6
201920,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,407.69,49.79,27.84,72.08,557.39,87.76,469.63,15.87,13.45,440.31,39
201920,Financial year,National,England,E92000001,Children looked after,3.1.1 Residential care,396.38,1127.71,54.52,30.37,1608.97,91.94,1517.03,17.43,13.29,1486.31,126
201920,Financial year,National,England,E92000001,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),300.68,693.44,36.79,25.41,1056.32,20.1,1036.22,16.59,5.34,1014.3,86
201920,Financial year,National,England,E92000001,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),565.41,143.75,19.82,14.21,743.19,7.63,735.56,6.4,5.51,723.66,61
201920,Financial year,National,England,E92000001,Children looked after,3.1.2 Total fostering services,866.09,837.18,56.61,39.62,1799.51,27.72,1771.78,22.98,10.85,1737.95,147
201920,Financial year,National,England,E92000001,Children looked after,3.1.3 Adoption services,245.26,32.2,42.3,5.63,325.37,48.06,277.32,11.05,3.08,263.19,23
201920,Financial year,National,England,E92000001,Children looked after,3.1.4 Special guardianship support,273.96,29.81,8.53,4.74,317.05,2.44,314.6,0.61,2.08,311.91,26
